ETC_20150317_000001	Kepa	케파
ETC_20150317_007707	หม้อที่น่าสงสัย (2)	수상한 항아리(2)
ETC_20150317_007708	หม้อที่น่าสงสัย (3)	수상한 항아리(3)
ETC_20150317_007709	เก้าอี้ที่น่าสงสัย	수상한 의자
ETC_20150317_007710	กระดาษที่น่าสงสัย (1)	수상한 종이(1)
ETC_20150317_007711	กระดาษที่น่าสงสัย (2)	수상한 종이(2)
ETC_20150317_007712	กล่องที่น่าสงสัย (1)	수상한 상자(1)
ETC_20150317_007713	กล่องที่น่าสงสัย (2)	수상한 상자(2)
ETC_20150317_007714	กองฟืนที่น่าสงสัย	수상한 장작 더미
ETC_20150317_007715	รถเข็นคนพิการที่น่าสงสัย	수상한 톱니 바퀴
ETC_20150317_007716	รอยสักของ Shaiman Shaw	사이면 쇼우의 문신(3)
ETC_20150317_007717	Demon Master Howbuck (1)	마왕 하우벅(1)
ETC_20150317_007718	Demon Master Howbuck (2)	마왕 하우벅(2)
ETC_20150317_007719	ช่วยชีวิต Gabija	가비야 구출
ETC_20150317_007720	รถเคเบิ้ลใกล้ๆหายไป (1)	위기일발 케이블카(1)
ETC_20150317_007721	รถเคเบิ้ลใกล้ๆหายไป  (2)	위기일발 케이블카(2)
ETC_20150317_007722	นำ lever handle latches กลับคืนมา	레버 손잡이 고정쇠 회수
ETC_20150317_007723	หลอกล่อ Baby Pantos  ด้วย sugar beets	고원 사탕무로 새끼 판토 유혹하기
ETC_20150317_007724	การซ่อมรถเคเบิ้ล (2)	케이블 카 수리를 위해 (2)
ETC_20150317_007725	ค้นหา Paladin Master อีกครั้ง (1)	다시 팔라딘 마스터를 찾아서 (1)
ETC_20150317_007726	ภารกิจของ Paladin Master	팔라딘 마스터의 임무
ETC_20150317_007727	ความเสียหายที่ตรวจสอบได้ (1)	파괴력 검증(1)
ETC_20150317_007728	เก็บสมุนไพรที่ Cleric Master ได้ร้องขอ	클레릭 마스터가 부탁한 약초 캐기
ETC_20150317_007729	สักการะบูชาที่ Statue of Goddess Vakarine ใน Fedimian	페디미안의 바카리네 여신상에 경배하기
ETC_20150317_007730	จัดการ Statue of Goddess Vakarine ใน Fedimian	페디미안의 바카리네 여신상 관리
ETC_20150317_007731	จัดการ Statue of Goddess Vakarine ใน Klaipeda	클라페다의 바카리네 여신상 관리
ETC_20150317_007732	ลบแหล่งที่มาของการทุจริต	오염원 제거
ETC_20150317_007733	ใช้ Crest of Emptiness มุ่งหน้าไปหาเด็กผู้หญิงที่อยู่ใกล้กับทางเข้า	포탈 근처에서 소녀와 함께 공간의 문장 사용
ETC_20150317_007734	Sanctum of Secrecy - ประเภท Swordsman_เงื่อนไข	밀실의 비밀 - 소드맨 계열_조건
ETC_20150317_007735	Sanctum of Secrecy - ประเภท Wizard_เงื่อนไข	밀실의 비밀 - 위저드 계열_조건
ETC_20150317_007736	Sanctum of Secrecy - ประเภท Archer_เงื่อนไข	밀실의 비밀 - 아처 계열_조건
ETC_20150317_007737	Sanctum of Secrecy - ประเภท Cleric_เงื่อนไข	밀실의 비밀 - 클레릭 계열_조건
ETC_20150317_007738	วัตถุประสงค์ของกล่องความลับ	비밀 상자의 용도
ETC_20150317_007739	ผ่านการตอบคำถามของ Magician Owyn	요술사 오윈의 퀴즈 맞추기
ETC_20150317_007740	ตอบคำถามของ Cordelier	현혹술사 코델리어의 퀴즈 맞추기
ETC_20150317_007741	ตอบคำถามของ Transmuter Furry Odd	변이술사 퍼리 오드의 퀴즈 맞추기
ETC_20150317_007742	ได้รับแผนกระดาษจากหนังสือของ wizard ภายในห้องทดลองที่ Mage Tower 3F	마법사의 탑 3층의 실험실에서 마법사의 책 낱장 구해오기
ETC_20150317_007743	สำหรับความล้มเหลวและความสำเร็จ	실패와 성공용
ETC_20150317_007744	ใส่หมายเลขหน้าต่างแชท	채팅창에 숫자를 입력하세요.
ETC_20150317_007745	สำหรับเปิด Sesame	열려라 참깨용
ETC_20150317_007746	ปกป้องตัวเองจากมอนสเตอร์	몬스터로들의 공격으로부터 스스로를 지키기
ETC_20150317_007747	อ่านที่หลุมฝังศพที่ Dykyne Fork  ด้านซ้าย	디키네 갈림길 왼쪽의 비문 읽기
ETC_20150317_007748	Evil Goddess Statue	사악한 여신상
ETC_20150317_007749	Julius ได้เปลี่ยนร่างเป็น Drapeliun จงพยายามเปลี่ยนเค้ากลับมา	드라페리운으로 변해버린 율리우스를 어떻게든 되돌리기
ETC_20150317_007750	เก็บใบอ่อนจาก Asellucho	아셀루초의 어린 잎 구해 오기
ETC_20150317_007751	ทำความสะอาดกองอาหารเน่าเสีย	썩은 음식 무지 치우기
ETC_20150317_007752	ค้นหา Tree Root Crystal Core ที่กระจัดกระจาย	흩어진 나무뿌리 수정 핵 찾기
ETC_20150317_007753	เก็บรวบรวม  back moss ผ่าน Kowak	코왁으로부터 등이끼 구하기
ETC_20150317_007754	พ่น back moss ไปที่ tree roots ที่เปลี่ยนไป	변형된 나무뿌리 수정에 등이끼 뿌리기
ETC_20150317_007755	ค้นหาและปลดปล่อย Tree Root Crystal กลายพันธ์	진짜 변형 나무뿌리 수정 찾아서 해체 하기
ETC_20150317_007756	เอาชนะมอนสเตอร์หลังจากเปลี่ยนคำสาปด้วยtransformation tree roots	변형 나무뿌리 수정의 저주를 몬스터에 전이 시킨 뒤 처치하기
ETC_20150317_007757	เข้าไปใกล้เหล่ามอนสเตอร์ที่หีบสมบัติและเอาชนะพวกมัน	보물상자 주변으로 몬스터 끌고와서 처치하기
ETC_20150317_007758	ปลดปล่อยวิญญาณที่ผูกติดอยู่กับแท่นบูชา	제단에 속박되었던 영혼들을 풀어 주기
ETC_20150317_007759	การทดสอบ Drug Experiment กับมอนสเตอร์ที่กระจัดกระจายไป	흩어진 계단의 몬스터에게 시험용 시약 실험
ETC_20150317_007760	รวบรวมดอกไม้	제단 주변의 꽃에서 제단에 바칠 꽃 구하기
ETC_20150317_007761	บูชาดอกไม้ที่แท่นบูชาเพื่อบรรเทาทุกข์ให้กับวิญญาณ	구한 꽃을 제단에 바쳐 속박당한 영혼 달래주기
ETC_20150317_007762	บริจาคเงินจำนวนที่เหมาะสมต่อแท่นบูชา	성소에 적당량의 실버 헌금하기
ETC_20150317_007763	เอาชนะเหล่ามอนสเตอร์ที่ถูกดึงดูดไปที่แท่นบูชา	성소 주변으로 몬스터를 유인뒤 처치
ETC_20150317_007764	เก็บรวบรวม Reed Dewdrops	갈대잎에 맺힌 이슬 구하기
ETC_20150317_007765	เอา monster summon circle ออก	몬스터 소환진 없애기
ETC_20150317_007766	ปกป้องแท่นบูชาจากเหล่ามอนสเตอร์ที่วิ่งเข้ามา	달려드는 몬스터로부터 성소 보호
ETC_20150317_007767	เก็บรวบรวมธงเพื่อค้นหาเหล่ามอนสเตอร์ที่ถูกสาปผ่าน faith's mark	신앙의 표식을 사용해 저주의 몬스터를 찾아 휘장 구하기
ETC_20150317_007768	ปกป้องรูปปั้นเทพธิดาจากไม้เลื้อยที่พันมันอยู่	여신상을 조여드는 덩굴로부터 여신상 지키기
ETC_20150317_007769	เก็บ wild flower ใกล้กับห้องบูชา	성소 주변의 폴꽃 꺾어 오기
ETC_20150317_007770	เก็บรวบรวม tombstone's dew	묘비의 이슬 모으기
ETC_20150317_007771	เก็บรวบรวมวัสดุยาจากมอนสเตอร์ที่อยู่บน Reed root	갈대뿌리에 기생하고 있는 몬스터에서 약 재료 구하기
ETC_20150317_007772	เตรียม Sap Pot อันที่หนึ่ง	첫 번째 수액 항아리 설치 하기
ETC_20150317_007773	เตรียม Sap Pot อันที่สอง	두 번째 수액 항아리 설치 하기
ETC_20150317_007774	เตรียม Sap Pot อันที่สาม	세 번째 수액 항아리 설치 하기
ETC_20150317_007775	เก็บรวบรวม sap pot ครั้งที่หนึ่ง	첫 번째 항아리에서 수액 채취
ETC_20150317_007776	เก็บรวบรวม sap pot ครั้งที่สอง	두 번째 항아리에서 수액 채취
ETC_20150317_007777	เก็บรวบรวม sap pot ครั้งที่สาม	세 번째 항아리에서 수액 채취
ETC_20150317_007778	Owl ที่เป็นอมตะ (1)	부엉이의 영면(1)
ETC_20150317_007779	ผู้ทำลาย (1)	파괴자들(1)
ETC_20150317_007780	ป้องกันตัวเองจากมอนสเตอร์ที่กำลังโจมตี	몰려드는 몬스터의 공격으로부터 스스로를 지키기
ETC_20150317_007781	เอาชนะ High Vubbe Archers และจะได้รับ Wooden Arrows!	하이 부베 궁수를 처치하고 나무로 된 화살 획득
ETC_20150317_007782	โยน Wooden Arrows เข้าไปในกองไฟ	나무로 된 화살을 불에 넣기
ETC_20150317_007783	เหล็กของ Siaulamb	샤울렘의 전리품 약탈
ETC_20150317_007784	#NAME?	 키로 정보창을 열어 스테이터스 사용
ETC_20150317_007785	ไปยัง Klaipeda (5)	클라페다로 가기(5)
ETC_20150317_007786	การยึด Eastern Woods คืนมา (2)	동쪽 숲 탈환(2)
ETC_20150317_007787	Guard of Royal Path(2)	왕의 길 수호(2)
ETC_20150317_007788	สถานที่ลับ (2)	비밀장소(2)
ETC_20150317_007789	ความช่วยเหลือของ Nian ผู้ส่งสาร	연락관 니안의 도움
ETC_20150317_007790	Historian Cyrenia Odell	사학자 시레니아 오델에게로
ETC_20150317_007791	วัสดุล่อ	유인 재료
ETC_20150317_007792	การหนี Odell (2)	도망온 오델 (2)
ETC_20150317_007793	Forger Sweep (5)	위조범 소탕(5)
ETC_20150317_007794	รวบรวมฟืน	장작 모아오기
ETC_20150317_007795	เอา forgeries ออกจาก Molding Pot	거푸집에서 완성된 위조품 꺼내 오기
ETC_20150317_007796	การรู้ล่วงหน้า (1)	예지몽(1)
ETC_20150317_007797	เก็บรวบรวม Shiny Tree Sap	나무 수액 채집
ETC_20150317_007798	ตำแหน่งที่เห็นในความฝัน (1)	꿈 속에서 본 위치(1)
ETC_20150317_007799	ตำแหน่งที่เห็นในความฝัน	꿈 속에서 본 위치
ETC_20150317_007800	เก็บรวบรวมยาถอนพิษจากคนของ Stone Pole Platform	석주대의 사람들에게 해독제 구하기
ETC_20150317_007801	เปิดใช้งานอุปกรณ์ที่ปิดผนึก	봉인된 장치 작동하기
ETC_20150317_007802	ตรวจสอบอุปกรณ์หลวง	왕릉 장치 확인
ETC_20150317_007803	ปลดปล่อยผนึกของ Dzurura เร็วกว่า Rexipher	렉시퍼보다 먼저 게둘라의 제대 봉인 해제
ETC_20150317_007804	ปลดปล่อยผนึกแท่นบูชาของ Sviesa	스비에사 제단의 봉인 해제
ETC_20150317_007805	อนุสรน์ของ Ruklys  (2)	루클리스의 추모비(2)
ETC_20150317_007806	ได้รับชิ้นส่วนหลุมฝังศพครั้งแรก	첫 번째 비석 조각 획득
ETC_20150317_007807	เก็บรวบรวม Dusty Fragment	먼지묻은 유적지 파편 수집
ETC_20150317_007808	ประเมิน Ruklys ใหม่ (1)	루클리스 재평가(1)
ETC_20150317_007809	ประเมิน Ruklys ใหม่ (2)	루클리스 재평가(2)
ETC_20150317_007810	เก็บรวบรวม Stumpy Tree Sap	몽당 나무의 수액 채취
ETC_20150317_007811	ได้รับ buried ruins fragment	파묻힌 유적 조각 획득
ETC_20150317_007812	Lydia Schaffen กำลังออกจาก zeolite (2)	리디아 샤펜이 남긴 비석(2)
ETC_20150317_007813	เก็บรวบรวม Long-Branched Tree Charcoal	긴팔나무에게서 목탄 수집
ETC_20150317_007814	การถูครั้งที่สาม	세 번째 탁본 작업
ETC_20150317_007815	Lydia Schaffen กำลังออกจาก zeolite (4)	리디아 샤펜이 남긴 비석(4)
ETC_20150317_007816	Lydia Schaffen กำลังออกจาก zeolite (5)	리디아 샤펜이 남긴 비석(5)
ETC_20150317_007817	คำจารึกของ Flurry (7)	플러리의 비문(7)
ETC_20150317_007818	การเรียกร้องของ solicitor Eden	잡상인 에당의 부탁
ETC_20150317_007819	interaction section 42 หอคอยนักเวทย์	마법사의탑42상호작용세션
ETC_20150317_007820	เปิดประตูด้านหน้าของวิหาร (4)	성당 정문 열기(4)
ETC_20150317_007821	ปล่อย barrier	결계 해제
ETC_20150317_007822	ย้ายไปยังสถานที่ทดลอง	실험장소로 가기
ETC_20150317_007823	ค้นหาทหารทัพหลักใน Fedimian	페디미안에서 군관계자 찾기
ETC_20150317_007824	เข้าสู่ Petrified City	석화된 도시 진입
ETC_20150317_007825	ตรวจสอบ Plaza	대광장 확인
ETC_20150317_007826	ตรวจสอบพื้นที่ B	B지역 확인
ETC_20150317_007827	ตรวจสอบพื้นที่ C	C지역 확인
ETC_20150317_007828	ตรวจสอบ collapsed plaza walls	무너진 광장 외벽 확인
ETC_20150317_007829	ตรวจสอบ blacksmith distance	대장장이 거리 확인
ETC_20150317_007830	ลบล้าง weakened Petrifying Frost	미약한 석화서리 제거
ETC_20150317_007831	การพยากรณ์ Petrification Frost (3)	석화 서리 예보(3)
ETC_20150317_007832	เอาชนะ Dico Tomb robber	디코 도굴단 제압
ETC_20150317_007833	นำอุปกรณ์ที่ถูกขโมยไปกลับคืนมา	도둑맞은 물자 회수
ETC_20150317_007834	การตรวจสอบที่ผ่านมา	과거 관찰
ETC_20150317_007835	ตรวจสอบทางเข้าของกองทัพ	군사 지구의 포탈 확인
ETC_20150317_007836	ตรวจสอบทางเข้าของขุนนาง	귀족 지구의 포탈 확인
ETC_20150317_007837	ตรวจสอบทางเข้าของ Drasa high place demolition	드라사 예배소 폐허의 포탈 확인
ETC_20150317_007838	Ruklys ตรวจสอบ large square of portal	루클리스 대광장의 포탈 확인
ETC_20150317_007839	ขนส่งเสบียงที่ปกคลุมไปด้วยกลิ่นตัว	채취 묻은 보급품 전달
ETC_20150317_007840	เสื้อโค๊ดกลิ่นตัวของมอนสเตอร์	몬스터 채취 묻히기
ETC_20150317_007841	ทำลาย Floating Petrified Records	떠내려온 석화된 기록물 파괴
ETC_20150317_007842	แนบใบปลิวกองทัพหลวง	왕국군 전단지 부착
ETC_20150317_007843	ฟังคำพูดสุดท้าย	유언 들어주기
ETC_20150317_007844	ได้รับของที่ระลึก	유품 받아 오기
ETC_20150317_007845	การปลดปล่อยเหยื่อ	피해자 해방
ETC_20150317_007846	การส่งผ่านความจริงของ Ruklys	루클리스의 진실 전달
ETC_20150317_007847	ใช้ Petrifaction Fusion	석화융해제 사용
ETC_20150317_007848	ความจริงใจของ Moses Diesel (3)	모제 디셀의 진심(3)
ETC_20150317_007849	The first Thorn Gate (1)	첫번째 가시 관문(1)
ETC_20150317_007850	The first Thorn Gate (2)	첫번째 가시 관문(2)
ETC_20150317_007851	The second Thorn Gate (1)	두번째 가시 관문(1)
ETC_20150317_007852	ล่อ Chafer	체이퍼 유인
ETC_20150317_007853	The second Thorn Gate (2)	두번째 가시 관문(2)
ETC_20150317_007854	The third Thorn Gate (1)	세번째 가시 관문(1)
ETC_20150317_007855	เติมเต็ม Magic Crystals	마력수정 충전하기
ETC_20150317_007856	The third Thorn Gate (2)	세번째 가시 관문(2)
ETC_20150317_007857	The third Thorn Gate (3)	세번째 가시 관문(3)
ETC_20150317_007858	The first Thorn Gate (3)	첫번째 가시 관문(3)
ETC_20150317_007859	หลอมละลาย thorn tunne โดยการใช้ acidity solution	산성용액으로 가시 굴 녹이기
ETC_20150317_007860	ใช้ Magic Crystal เพื่อลบ thorny vines	마력수정을 사용해서 가시덩굴 제거하기
ETC_20150317_007861	เปิดทางเข้าวัดด้านหน้า (1)	성당 정문 열기(1)
ETC_20150317_007862	เปิดทางเข้าวัดด้านหน้า (2)	성당 정문 열기(2)
ETC_20150317_007863	เปิดใช้งาน Apsauga Altar barrier	압사우가 제단 결계 작동(1)
ETC_20150317_007864	หลอกลวง Pawndel ไปที่ Apsauga Altar	폰델 압사우가 제단으로 유인
ETC_20150317_007865	หลอกลวง Pawndel ไปที่ Apsauga Altar	폰드 압사우가 제단으로 유인
ETC_20150317_007866	เปลี่ยนเป็นปีศาจ	마족 개종
ETC_20150317_007867	เปิดใช้งานเกราะป้องกันแท่นบูชา Globejas  (1)	글로베자스 제단 결계 작동(1)
ETC_20150317_007868	การกระทำที่ไม่คาดคิด	예상치 못한 짓
ETC_20150317_007869	ขโมย Seal of Space	빼앗긴 공간의 문양
ETC_20150317_007870	ใส่ชิ้นส่วนไปยัง central pillar (1)	중앙 기둥에 조각 부착(1)
ETC_20150317_007871	ใส่ชิ้นส่วนไปยัง central pillar (2)	중앙 기둥에 조각 부착(2)
ETC_20150317_007872	ใส่ชิ้นส่วนไปยัง central pillar (3)	중앙 기둥에 조각 부착(3)
ETC_20150317_007873	ใส่ชิ้นส่วนไปยัง central pillar (4)	중앙 기둥에 조각 부착(4)
ETC_20150317_007874	ใส่ชิ้นส่วนไปยัง central pillar (5)	중앙 기둥에 조각 부착(5)
ETC_20150317_007875	ใส่ชิ้นส่วนไปยัง central pillar (6)	중앙 기둥에 조각 부착(6)
ETC_20150317_007876	ใส่ชิ้นส่วนไปยัง central pillar (7)	중앙 기둥에 조각 부착(7)
ETC_20150317_007877	ใส่ชิ้นส่วนไปยัง central pillar (8)	중앙 기둥에 조각 부착(8)
ETC_20150317_007878	เปิดใช้งานเกราะป้องกันแท่นบูชา Malda  (2)	말다 제단 결계 작동(2)
ETC_20150317_007879	เอาชนะ Gesti	제스티 패퇴
ETC_20150317_007880	ค้นหาสถานที่ศักดิ์สิทธิ์ลับ	숨겨진 성소 발견
ETC_20150317_007881	เก็บรวบรวม Spiritually Enchanted Sap	영력이 깃든 수액 채취
ETC_20150317_007882	ตรวจสอบผลการะทบที่มีเสน่ห์กับ Panto spearman	판토 창병에게 부적 효과 확인
ETC_20150317_007883	ควบคุม Pantos เพื่อเอาชนะ Large Panto Spearman	판토를 조종하여 대형 판토 투창병 처치
ETC_20150317_007884	Panto กลายเป็นมิตรมากขึ้น	우리 편이 된 판토
ETC_20150317_007885	จับตาดูการเคลื่อนไหวที่น่าสงสัย	수상한 움직임
ETC_20150317_007886	จับตาดูการเคลื่อนไหวที่น่าสงสัย (1)	수상한 움직임 포착(1)
ETC_20150317_007887	จับตาดูการเคลื่อนไหวที่น่าสงสัย (2)	수상한 움직임 포착(2)
ETC_20150317_007888	จับตาดูการเคลื่อนไหวที่น่าสงสัย (3)	수상한 움직임 포착(3)
ETC_20150317_007889	จับตาดูการเคลื่อนไหวที่น่าสงสัย (4)	수상한 움직임 포착(4)
ETC_20150317_007890	จับตาดูการเคลื่อนไหวที่น่าสงสัย (5)	수상한 움직임 포착(5)
ETC_20150317_007891	การจู่โจมของ Maegro	메로그들의 기습
ETC_20150317_007892	Load of Bramble, Gaigalas	브람블의 부하, 가이갈라스
ETC_20150317_007893	สร้าง enhanced thorn pollen stimulant ในการผสมกับ Maegro's Mspittle และ Pollen stimulant	메로그의 침과 가시 꽃가루 각성제를 혼합해서 강화된 가시 꽃가루 각성제 만들기
ETC_20150317_007894	Molich คนรับใช้ของ Bramble	브람블의 부하, 몰렉
ETC_20150317_007895	ลงโทษ Bramble	브람블 처단
ETC_20150317_007896	เปิดใช้งาน Obelisk	오벨리스크 작동(4)
ETC_20150317_007897	อย่าหลงเชื่อเล่ห์เหลี่ยมของ Beholder	주시자의 간계에 흔들리지 않기
ETC_20150317_007898	ทางเข้าไม่เปิด (1)	열리지 않는 포탈(1)
ETC_20150317_007899	เอาชนะมอนสเตอร์ที่มีปฏิกิริยาตอบสนองกับพลังของแท่นบูชา	제단의 힘에 반응한 몬스터 처치
ETC_20150317_007900	แผนของ Bishop (1)	주교의 계획(1)
ETC_20150317_007901	ได้รับ Spirit Essences	영혼의 정수 획득하기
ETC_20150317_007902	มองหาคัมภีร์ที่สมบูรณ์แบบสำหรับวิญญาณของ Bishop	주교의 영혼을 담을 온전한 경전 수색
ETC_20150317_007903	อุปกรณ์ที่น่าสงสัยของ Main Chamber (1)	본당의 수상한 장치들(1)
ETC_20150317_007904	ปล่อยอุปกรณ์ของ Maven	메이번의 장치 해제하기
ETC_20150317_007905	แผนของ Bishop (3)	주교의 계획(3)
ETC_20150317_007906	ใช้ไอเทม soul summon bible ในการเปิดคลัง	인벤토리를 열어 영혼 소환 성서 아이템 사용하기
ETC_20150317_007907	สิ่งที่ถูกขโมยไปของ Mayvern	빼앗긴 메이번의 물건
ETC_20150317_007908	ใส่ Relic of Mercy เข้าไปในแท่นบูชา	자비의 성유물을 제단에 끼워넣기
ETC_20150317_007909	ใส่ Relic of Salvation เข้าไปในแท่นบูชา	구원의 성유물을 제단에 끼워넣기
ETC_20150317_007910	ใช้ Orb of Divine Detection เพื่อค้นหา Graceful Relics	성력 탐지 구슬을 이용해서 은혜의 성물 찾기
ETC_20150317_007911	คุกคาม Priest	위협받고 있는 사제
ETC_20150317_007912	ได้รับรายงานการวิจัยจาก priest ใน Grand Corridor	대회랑에 있는 사제에게 연구 보고서 받아오기
ETC_20150317_007913	ได้รับรายงานการวิจัยจาก priest ใน Penitence Route	참회로에 있는 사제에게 연구 보고서 받아오기
ETC_20150317_007914	ได้รับรายงานการวิจัยจาก priest ใน Sanctuary	지성소에 있는 사제에게 연구 보고서 받아오기
ETC_20150317_007915	ค้นหาสิ่งที่ Mayvern ซ่อนไว้ในการใช้แก้ไขอุปกรณ์ของเขา	메이번의 장치를 풀어 메이번이 숨겨놓은 물건을 찾기
ETC_20150317_007916	ค้นหากุญแจในการปลดปล่อยอุปกรณ์ของ Mayvern ที่ใช้กับกระดานชนวน	석판을 사용해 메이번의 장치를 해제하고 열쇠를 찾기
ETC_20150317_007917	เอกสารที่กระจัดกระจายใน Grand Corridor (2)	대회랑에 흩어진 문서(2)
ETC_20150317_007918	เฝ้าสังเกตผลกระทบของน้ำยา	약 효과 지켜보기
ETC_20150317_007919	เก็บรวบรวมสมุนไพร	약재 구하기
ETC_20150317_007920	การจู่โจมของปีศาจ	마족의 기습
ETC_20150317_007921	เฝ้าดูปฏิกิริยาของผู้แสวงบุญต่อเนื้อสัตว์	순례자에게 고기를 먹이고 반응 관찰하기
ETC_20150317_007922	ทำแท่นบูชาให้บริสุทธิ์	정화의 제단 기동시키기
ETC_20150317_007923	Bishop ผู้เย็นชา (1)	차갑게 식은 주교(1)
ETC_20150317_007924	Bishop ผู้เย็นชา (2)	차갑게 식은 주교(2)
ETC_20150317_007925	ค้นหาสูตรที่เขียนวิธีการเปลี่ยนเป็นมอนสเตอร์	몬스터로 변할 수 있는 방법이 적힌 레시피를 찾기
ETC_20150317_007926	ป้องกันการโจมตีมอนสเตอร์ในขณะที่การยา	약이 완성 될 때 까지 동안 몬스터 공격을 막기
ETC_20150317_007927	อุปกรณ์ที่บอกตำแหน่งปิศาจของ Mayvern	마족에게 메이번의 장치 위치 알려주기
ETC_20150317_007928	แก้ไขอุปกรณ์ลับของ Maven	메이번의 비밀 장치 풀기
ETC_20150317_007929	ปลดผนึกของ Candlestick ฝั่งซ้าย	왼쪽 결계 촛대의 봉인을 해제하기
ETC_20150317_007930	ปลดผนึกของ Candlestick ฝั่งขวา	오른쪽 결계 촛대의 봉인를 해제하기
ETC_20150317_007931	หาเส้นทางที่ซ่อนอยู่โดยใช้กุญแจ	열쇠를 사용해서 숨겨진 통로 찾기
ETC_20150317_007932	การโจมตีอย่างรวดเร็ว	급습
ETC_20150317_007933	จงต่อสู้กับ Priest of Evidence และได้รับชัยชนะ	증명의 사제와 싸워 이기기
ETC_20150317_007934	ปิดกั้นมุมถนน	길목 차단
ETC_20150317_007935	ค้นหาสิ่งต่างๆที่มหาวิหาร (1)	대성당 물건 찾기(1)
ETC_20150317_007936	ค้นหาสิ่งต่างๆที่มหาวิหาร	대성당 물건 찾기
ETC_20150317_007937	หนังสือ Petrified ที่ขูดขีด	석화된 책 탁복
ETC_20150317_007938	เควส Buff	퀘스트 버프
ETC_20150317_007939	ย้ายไปที่ Fallen Worry Forest ผ่าน Gate RouteและSpineheart Dale	관문로와 가시마음골을 지나 낙우림으로 이동
ETC_20150317_007940	ย้ายไปที่ Leaf Veil Plateau	너울 고원으로 이동하기
ETC_20150317_007941	ฉันจะย้ายไปที่ Fedimian	페디미안으로 이동하기
ETC_20150317_007942	ได้รับหนังจาก Jukopus	유코푸스로부터 가죽 획득
ETC_20150317_007943	ได้รับหนังจาก Vubbe Thief	부베 약탈자로부터 가죽 구하기
ETC_20150317_007944	Counter Share Section พื้นที่หมายเลข 15	15번지역 카운터공유 세션
ETC_20150317_007945	โรมมิ่ง AI	로밍AI
ETC_20150317_007946	ใช้ EXP Card	경험치 카드 사용
ETC_20150317_007947	Defense Share Section	디펜스 공용 세션
ETC_20150317_007948	ตัวอย่างทั่วไป (1)	심플예제(1)
ETC_20150317_007949	ตัวอย่างทั่วไป (2)	심플예제(2)
ETC_20150317_007950	ตัวอย่างทั่วไป (3)	심플예제(3)
ETC_20150317_007951	ตัวอย่างชั่วคราว (1)	중간예제(1)
ETC_20150317_007952	ตัวอย่างชั่วคราว (2)	중간예제(2)
ETC_20150317_007953	ตัวอย่างสุดท้าย (1)	단계예제(1)
ETC_20150317_007954	การจัดการการดรอป	드랍 관리
ETC_20150317_007955	Klaipeda Manager	클라페다매니저
ETC_20150317_007956	โซนกิจกรรม	존 이벤트 보상 프로퍼티
ETC_20150317_007957	รางวัล Treasure Drop	트레저 드랍보상
ETC_20150317_007958	มันหายไปเมื่อ NPC จากไป	퀘스트NPC PC 없을 때 사라지기
ETC_20150317_007959	NPC สำหรับสีร่างกาย	NPC 바디 칼라브랜드 용
ETC_20150317_007960	Monster Summoner	주기적 몬스터 소환 SSN
ETC_20150317_007961	ผลกระทบมอนสเตอร์และสีที่เปลี่ยนแปลงไป	주기적 몬스터 이팩트 및 색 변환
ETC_20150317_007962	ตรวจสอบการสังหารของคุณกับ NPC	퀘스트 아군 NPC의 킬체크 공유
ETC_20150317_007963	รอยแยกปรากฎ	분할 나타나기
ETC_20150317_007964	Follower Vitri	팔로워 비트리
ETC_20150317_007965	สุสานหลวง 32 Boowook	왕릉32부우크
ETC_20150317_007966	สุสานหลวง 32 Cube	왕릉32큐브
ETC_20150317_007967	เดิมพัน	말뚝
ETC_20150317_007968	การประชุมกลุ่ม Tomb Cube	왕릉미션 큐브 세션
ETC_20150317_007969	Royal Rumble หมายเลข 37 เขตซากโบราณ	유적지대 37번 로얄럼블
ETC_20150317_007970	Defense หมายเลข 40 เขตซากโบราณ	유적지대 40번 디펜스
ETC_20150317_007971	Defense_Monster หมายเลข 40 เขตซากโบราณ	유적지대 40번 디펜스_몬스터
ETC_20150317_007972	เริ่มนับถอยหลังการสังหาร (การอัตวินิบาตกรรม)	카운트 다운 킬(자살용)
ETC_20150317_007973	Essence of Fire [ความสำเร็จ Highlander]	불의 정수[하이랜더 전직]
ETC_20150317_007974	Second Thorn Gate (3)	두번째 가시 관문(3)
ETC_20150317_007975	การรบกวนการดำเนินงาน (3)	작전 방해(3)
ETC_20150317_007976	พลังงานสมบูรณ์ (1)	완전한 힘(1)
ETC_20150317_007977	เหล่ามอนสเตอร์จะหายไปอัตโนมัติหากไม่มีผู้เล่นอยู่บริเวณใกล้เคียง	몬스터가 주변에 PC가 없으면 자동으로 사라지기
ETC_20150317_007978	Counting บทสนทนา NPC	NPC 대사 카운팅
ETC_20150317_007979	มีเวลา 1 ชั่วโมงสำหรับแต่ละภารกิจ	1시간별 미션
ETC_20150317_007980	ผู้จัดการสถานที่ร้องเรียน	의뢰소매니저
ETC_20150317_007981	จำนวนร้านค้าที่ตั้งขาย	상점 판매 카운트 설정
ETC_20150317_007982	เซสชั่นวัตถุ Smart Gen	세션 오브젝트 스마트젠
ETC_20150317_007983	Smart Mongen	스마트 몬젠
ETC_20150317_007984	สำหรับมอนสเตอร์หลบซ่อนการเรียกตัว Smart Zen	스마트젠 소환 은신 몬스터용
