SKILL_20150317_000001	Attack	공격
SKILL_20150317_002964	Possession: Enhance	포제션: 강화
SKILL_20150317_002965	ความเสียหายของ [Possession] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [포제션] 대미지가 상승합니다.
SKILL_20150317_002966	Possession: Enhance 2	포제션: 강화 2
SKILL_20150317_002967	เพิ่มความเสียหายของ [Possession] ให้เป็น Circle ที่ 3 ของ Sadhu	[포제션] 대미지가 사두 3서클 수준으로 강화됩니다.
SKILL_20150317_002968	Body Basic Attack: Enhance	유체 기본 공격: 강화
SKILL_20150317_002969	ความเสียหายโจมตีพื้นฐานเมื่ออยู่ในสถานะออกจากร่างสูงขึ้นตามเลเวล Attribute	특성 레벨당 유체 상태에서의 기본 공격 대미지가 상승합니다.
SKILL_20150317_002970	Ectoplasm Attack: Enhance 2	영체 공격: 대미지 2서클화
SKILL_20150317_002971	เพิ่มความเสียหายของ [Ectoplasm Attack] ให้เป็น Circle ที่ 2 ของ Sadhu	[영체 공격] 대미지가 사두 2서클 수준으로 강화됩니다.
SKILL_20150317_002972	Ectoplasm Attack: Enhance 3	영체 공격: 대미지 3서클화
SKILL_20150317_002973	เพิ่มความเสียหายของ [Ectoplasm Attack] ให้เป็น Circle ที่ 3 ของ Sadhu	[영체 공격] 대미지가 사두 3서클 수준으로 강화됩니다.
SKILL_20150317_002974	Restoration: Enhance	리스토레이션: 강화
SKILL_20150317_002975	เอฟเฟกต์การฟื้น HP ของ [Restoration] เพิ่มขึ้นตามเลเวล Attribute	특성 레벨당 [리스토레이션]의 HP 회복력 증가 효과가 상승합니다.
SKILL_20150317_002976	Restoration: Enhance 2	리스토레이션: 강화 2
SKILL_20150317_002977	เอนชานท์เอฟเฟกต์เพิ่มการฟื้น HP ของ [Aukuras] ให้เป็น Circle ที่ 2 ของ Paladin	[리스토레이션]의 HP 회복력 증가 효과가 팔라딘 2서클 수준으로 강화됩니다.
SKILL_20150317_002978	Restoration: Enhance 3	리스토레이션: 강화 3
SKILL_20150317_002979	เอนชานท์เอฟเฟกต์เพิ่มการฟื้น HP ของ [Aukuras] ให้เป็น Circle ที่ 3 ของ Paladin	[리스토레이션]의 HP 회복력 증가 효과가 팔라딘 3서클 수준으로 강화됩니다.
SKILL_20150317_002980	Smite: Enhance	스마이트: 강화
SKILL_20150317_002981	ความเสียหายของ [Smite] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [스마이트] 대미지가 상승합니다.
SKILL_20150317_002982	Smite: Enhance 2	스마이트: 강화 2
SKILL_20150317_002983	เพิ่มความเสียหายของ [Smite] ให้เป็น Circle ที่ 2 ของ Paladin	[스마이트] 대미지가 팔라딘 2서클 수준으로 강화됩니다.
SKILL_20150317_002984	Smite: Enhance 3	스마이트: 강화 3
SKILL_20150317_002985	เพิ่มความเสียหายของ [Smite] ให้เป็น Circle ที่ 3 ของ Paladin	[스마이트] 대미지가 팔라딘 3서클 수준으로 강화됩니다.
SKILL_20150317_002986	Embowel: Enhance	임바우얼: 강화
SKILL_20150317_002987	ความเสียหายของ [Embowel] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [임바우얼] 대미지가 상승합니다.
SKILL_20150317_002988	Embowel: Enhance 2	임바우얼: 강화 2
SKILL_20150317_002989	เพิ่มความเสียหายของ [Embowel] ให้เป็น Circle ที่ 2 ของ Barbarian	[임바우얼] 대미지가 바바리안 2서클 수준으로 강화됩니다.
SKILL_20150317_002990	Embowel: Enhance 3	임바우얼: 강화 3
SKILL_20150317_002991	เพิ่มความเสียหายของ [Embowel] ให้เป็น Circle ที่ 3 ของ Barbarian	[임바우얼] 대미지가 바바리안 3서클 수준으로 강화됩니다.
SKILL_20150317_002992	Stomping Kick: Enhance	스톰핑 킥: 강화
SKILL_20150317_002993	ความเสียหายของ [Stomping Kick] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [스톰핑 킥] 대미지가 상승합니다.
SKILL_20150317_002994	Earth Wave: Enhance	어스 웨이브: 강화
SKILL_20150317_002995	ความเสียหายของ [Earth Wave] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [어스 웨이브] 대미지가 상승합니다.
SKILL_20150317_002996	Earth Wave: Enhance 2	어스 웨이브: 강화 2
SKILL_20150317_002997	เพิ่มความเสียหายของ [Earth Wave] ให้เป็น Circle ที่ 2 ของ Cataphract	[어스 웨이브] 대미지가 캐터프렉트 2서클 수준으로 강화됩니다.
SKILL_20150317_002998	Earth Wave: Enhance 3	어스 웨이브: 강화 3
SKILL_20150317_002999	เพิ่มความเสียหายของ [Earth Wave] ให้เป็น Circle ที่ 3 ของ Cataphract	[어스 웨이브] 대미지가 캐터프렉트 3서클 수준으로 강화됩니다.
SKILL_20150317_003000	Steed Charge: Enhance	스티드 챠지: 강화
SKILL_20150317_003001	ความเสียหายของ [Steed Charge] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [스티드 챠지] 대미지가 상승합니다.
SKILL_20150317_003002	Steed Charge: Enhance 2	스티드 챠지: 강화 2
SKILL_20150317_003003	เพิ่มความเสียหายของ [Steed Charge] ให้เป็น Circle ที่ 2 ของ Cataphract	[스티드 챠지] 대미지가 캐터프렉트 2서클 수준으로 강화됩니다.
SKILL_20150317_003004	Steed Charge: Enhance 3	스티드 챠지: 강화 3
SKILL_20150317_003005	เพิ่มความเสียหายของ [Steed Charge] ให้เป็น Circle ที่ 3 ของ Cataphract	[스티드 챠지] 대미지가 캐터프렉트 3서클 수준으로 강화됩니다.
SKILL_20150317_003006	Doom Spike: Enhance	둠 스파이크: 강화
SKILL_20150317_003007	ความเสียหายของ [Doom Spike] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [둠 스파이크] 대미지가 상승합니다.
SKILL_20150317_003008	Doom Spike: Enhance 2	둠 스파이크: 대미지 2서클화
SKILL_20150317_003009	เพิ่มความเสียหายของ [Doom Spike] ให้เป็น Circle ที่ 2 ของ Cataphract	[둠 스파이크] 대미지가 캐터프렉트 2서클 수준으로 강화됩니다.
SKILL_20150317_003010	Doom Spike: Enhance 2	둠 스파이크: 강화 2
SKILL_20150317_003011	เพิ่มความเสียหายของ [Doom Spike] ให้เป็น Circle ที่ 3 ของ Cataphract	[둠 스파이크] 대미지가 캐터프렉트 3서클 수준으로 강화됩니다.
SKILL_20150317_003012	Zombify: Large Zombie	좀비 만들기: 대형 좀비
SKILL_20150317_003013	โอกาสเกิดซอมบี้ขนาดใหญ่เพิ่มขึ้น 1% ตามเลเวล Attribute เมื่อทำให้มอนสเตอร์ขนาดใหญ่เป็นซอมบี้	대형 몬스터를 좀비로 만들었을 때 대형 좀비가 나올 확률이 특성 레벨 당 1% 증가합니다.
SKILL_20150317_003014	Zombify: Wheelchair Zombie	좀비 만들기: 휠체어 좀비
SKILL_20150317_003015	โอกาสเกิด Wheelchair Zombie เพิ่มขึ้น 1% ตามเลเวล Attribute เมื่อสร้างซอมบี้	좀비가 만들어질 때 휠체어 좀비가 나올 확률이 특성 레벨 당 1% 증가합니다.
SKILL_20150317_003016	Flare Shot: Enhance 3	플레어 샷: 강화 3
SKILL_20150317_003017	เพิ่มความเสียหายของ [Flare Shot] ให้เป็น Circle ที่ 3 ของ Scout	[플레어 샷] 대미지가 스카우트 3서클 수준으로 강화됩니다.
SKILL_20150317_003018	Astral Body Explosion: Enhance 2	유체 폭발: 강화 2
SKILL_20150317_003019	เพิ่มความเสียหายของ [Astral Body Explosion] ให้เป็น Circle ที่ 2 ของ Sadhu	[유체 폭발] 대미지가 사두 2서클 수준으로 강화됩니다.
SKILL_20150317_003020	Astral Body Explosion: Enhance 3	유체 폭발: 강화 3
SKILL_20150317_003021	เพิ่มความเสียหายของ [Astral Body Explosion] ให้เป็น Circle ที่ 3 ของ Sadhu	[유체 폭발] 대미지가 사두 3서클 수준으로 강화됩니다.
SKILL_20150317_003022	Use One-handed Swords	한손검 사용
SKILL_20150317_003023	สามารถใช้อาวุธประเภท [One-handed Sword] ได้	[한손검] 계열 무기가 착용 가능해집니다
SKILL_20150317_003024	Use Two-handed Swords	양손검 사용
SKILL_20150317_003025	สามารถใช้อาวุธประเภท [Two-handed Sword] ได้	[양손검]계열 무기가 착용 가능해집니다
SKILL_20150317_003026	Use One-handed Spears	한손창 사용
SKILL_20150317_003027	สามารถใช้อาวุธประเภท [One-handed Spear] ได้	[한손창]계열 무기가 착용 가능해집니다
SKILL_20150317_003028	Use Two-handed Spears	양손창 사용
SKILL_20150317_003029	สามารถใช้อาวุธประเภท [Two-handed Spear] ได้	[양손창]계열 무기가 착용 가능해집니다
SKILL_20150317_003030	Use Bows	활 사용
SKILL_20150317_003031	สามารถใช้อาวุธประเภท [Bow] ได้	[활]계열 무기가 착용 가능해집니다
SKILL_20150317_003032	Use Crossbows	크로스보우 사용
SKILL_20150317_003033	สามารถใช้อาวุธประเภท [Crossbow] ได้	[크로스보우]계열 무기가 착용 가능해집니다
SKILL_20150317_003034	Use Rods	로드 사용
SKILL_20150317_003035	สามารถใช้อาวุธประเภท [Rod] ได้	[로드]계열 무기가 착용 가능해집니다
SKILL_20150317_003036	Use Staff	스태프 사용
SKILL_20150317_003037	สามารถใช้อาวุธประเภท [Staff] ได้	[스태프]계열 무기가 착용 가능해집니다
SKILL_20150317_003038	Use Maces	메이스 사용
SKILL_20150317_003039	สามารถใช้อาวุธประเภท [Mace] ได้	[메이스]계열 무기가 착용 가능해집니다
SKILL_20150317_003040	Use Wands	완드 사용
SKILL_20150317_003041	สามารถใช้อาวุธประเภท [Wand] ได้	[완드]계열 무기가 착용 가능해집니다
SKILL_20150323_003042	Pommel Beat	포멀비트
SKILL_20150323_003043	Double Slash	더블슬래쉬
SKILL_20150323_003044	Skull Swing	스컬 스윙
SKILL_20150323_003045	เปิดร้านซ่อมความคงทนของไอเทม	장비 내구도 수리 상점 개설
SKILL_20150323_003046	Base Camp	거점 설치
SKILL_20150323_003047	สร้างเบสแคมป์เพื่อสมาชิกปาร์ตี้ ใช้ร้านส่วนตัวได้และระยะเวลาบัฟเพิ่มขึ้น	파티원들에게 거점을 설치합니다. 개인상점이 이용가능하고 버프시간이 증가합니다.
SKILL_20150323_003048	Refreshment Table	배식대 설치
SKILL_20150323_003049	Snow Rolling	스노우 롤링
SKILL_20150323_003050	Swell Brain	스웰 브레인
SKILL_20150323_003051	Rain	레인
SKILL_20150323_003052	Rain	레인.
SKILL_20150323_003053	Summon Familiar	사역마 소환
SKILL_20150323_003054	Summon suicidal troop	자폭병 소환.
SKILL_20150323_003055	Gem Roasting	젬 로스팅
SKILL_20150323_003056	เปิดร้านเอนชานท์ Gem ลดการปรับโทษจาก Gem ที่เอนชานท์	젬을 강화시켜주는 상점을 개설합니다. 강화된 젬은 패널티 능력치가 감소합니다.
SKILL_20150323_003057	ผสมอาวุธสองชิ้นเพื่อเปลี่ยนออพชั่นพื้นฐาน ออพชั่นมีโอกาสดีขึ้นหรือแย่ลงกว่าเดิมก็ได้ อาวุธที่ถูกใช้เป็นวัตถุดิบจะถูกทำลาย	두 개의 무기를 합성하여 기본 성능을 변화시킵니다. 성능이 더 좋아질 수도 나빠질 수도 있습니다. 재료로 사용된 무기는 소멸됩니다.
SKILL_20150323_003058	ผลิต Potion ผ่านการเล่นแร่แปรธาตุ	연금술로 물약을 제조합니다.
SKILL_20150323_003059	Item Awakening	아이템 어웨이크닝
SKILL_20150323_003060	Knockback Shot	넉백 샷
SKILL_20150323_003061	Dual Shot	듀얼 샷
SKILL_20150323_003062	Break Pavise	파비스 깨기
SKILL_20150323_003063	Crossbow Moving Shot	석궁 무빙샷
SKILL_20150323_003064	Conceal	은폐
SKILL_20150323_003065	Continuous-type Trap	연타형 트랩
SKILL_20150323_003066	Spike Shooter	스파이크 슈터
SKILL_20150323_003067	Collar Bomb	인질 폭탄
SKILL_20150323_003068	Growling	그로울링
SKILL_20150323_003069	Capture	노획
SKILL_20150323_003070	Evasion	이베이션
SKILL_20150323_003071	Vendetta	벤데타
SKILL_20150323_003072	Lachrymator	최루
SKILL_20150323_003073	Backstab	백스텝
SKILL_20150323_003074	Fade	페이드
SKILL_20150323_003075	Guardian Saint	수호성인
SKILL_20150323_003076	Revive	리바이브
SKILL_20150323_003077	Exorcise	엑소사이즈
SKILL_20150323_003078	God Finger Flick	탄지신통
SKILL_20150323_003079	Golden Bell Shield	금종조
SKILL_20150323_003080	Discerning Evil	디서닝 이블
SKILL_20150323_003081	Resetting	리셋팅
SKILL_20150323_003082	Death Sentence	죽음의 선고
SKILL_20150323_003083	ป้องกันสถานะโจมตีไม่ได้หนึ่งครั้ง	전투불능상태를 한번 막음.
SKILL_20150323_003084	Throw left-hand weapon	왼손 장비 던지기
SKILL_20150323_003085	Resist Elements	레지스트 엘리멘츠
SKILL_20150323_003086	อัตราคริติคอลสูงขึ้นเมื่อโจมตีจากด้านหลัง	뒤쪽에서 공격시 크리티컬 확률이 높음.
SKILL_20150323_003087	ความเสียหายและ SP ลดลงต่อเนื่อง	지속적인 대미지와 SP 감소
SKILL_20150323_003088	ยกเลิกสถานะผิดปกติ	해로운 효과를 해제
SKILL_20150323_003089	SP ของตัวเองลดลงต่อเนื่อง	주기적인 SP감소상태
SKILL_20150323_003090	Throw right-hand weapon	오른손 장비 던지기
SKILL_20150323_003091	อัตราหลบหลีกลดลง	회피율 감소
SKILL_20150323_003092	อัตราหลบหลีกเพิ่มขึ้น	회피율 상승
SKILL_20150323_003093	Equip virtual weapon	가상무기장착
SKILL_20150323_003094	Repair Armor	방어구손질
SKILL_20150323_003095	Companion ขู่คำรามอย่างน่ากลัว มอนสเตอร์ที่เข้ามาใกล้มีโอกาสติด Fear	컴패니언이 무섭게 으르렁거림. 근처에 온 몬스터는 공포에 걸릴 수 있습니다.
SKILL_20150323_003096	Elementalist: Resistance	엘리멘탈리스트: 저항
SKILL_20150323_003097	Carve World Tree: Pull	세계수 조각: 끌어당김
SKILL_20150323_003098	ดึงศัตรูที่อยู่ภายในขอบเขตสกิล [Carve World Tree]	스킬 [세계수 조각] 범위안에 있는 적을 끌어 당깁니다.
SKILL_20150323_003099	Resist Elements: Resistance	레지스트 엘리멘츠: 저항
SKILL_20150323_003100	การต้านทานธาตุไฟ, น้ำแข็ง, สายฟ้าเมื่อใช้สกิล [Resist Elements] เพิ่มขึ้น 5 ส่วนการต้านทานธาตุพิษ, ดินลดลง 5 ต่อเลเวล Attribute	스킬 [레지스트 엘리멘츠] 사용 시 불, 얼음, 전기속성 저항이 특성 레벨 당 5 증가하고 독, 땅속성 저항이 특성 레벨 당 5 감소합니다.
SKILL_20150323_003101	เพิ่มความเสียหายของ [Meteor] ให้เป็น Circle ที่ 2 ของ Elementalist	[메테오] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003102	เพิ่มความเสียหายของ [Meteor] ให้เป็น Circle ที่ 3 ของ Elementalist	[메테오] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003103	เพิ่มความเสียหายของ [Prominence] ให้เป็น Circle ที่ 2 ของ Elementalist	[홍염] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003104	เพิ่มความเสียหายของ [Prominence] ให้เป็น Circle ที่ 3 ของ Elementalist	[홍염] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003105	เพิ่มความเสียหายของ [Hail] ให้เป็น Circle ที่ 2 ของ Elementalist	[헤일] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003106	เพิ่มความเสียหายของ [Hail] ให้เป็น Circle ที่ 3 ของ Elementalist	[헤일] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003107	เพิ่มความเสียหายของ [Electrocute] ให้เป็น Circle ที่ 2 ของ Elementalist	[일렉트로큐트] 대미지가 엘리멘탈리스트 2서클 수준으로 강화됩니다.
SKILL_20150323_003108	เพิ่มความเสียหายของ [Electrocute] ให้เป็น Circle ที่ 3 ของ Elementalist	[일렉트로큐트] 대미지가 엘리멘탈리스트 3서클 수준으로 강화됩니다.
SKILL_20150323_003109	Swell Left Arm: Enhance	왼팔 강화: 강화
SKILL_20150323_003110	เอฟเฟกต์เพิ่มการโจมตีของ [Swell left Arm] สูงขึ้นตามเลเวล Attribute	특성 레벨당 [왼팔 강화] 공격력 강화 효과가 상승합니다.
SKILL_20150323_003111	Swell Left Arm: Enhance 2	왼팔 강화: 강화 2
SKILL_20150323_003112	เสริมเอฟเฟกต์เพิ่มพลังโจมตีของ [Swell Left Arm] ให้เป็น Circle ที่ 2 ของ Thaumaturge	[왼팔 강화] 공격력 증가 효과가 쏘마터지 2서클 수준으로 강화됩니다.
SKILL_20150323_003113	Swell Left Arm: Enhance 3	왼팔 강화: 강화 3
SKILL_20150323_003114	เสริมเอฟเฟกต์เพิ่มพลังโจมตีของ [Swell Left Arm] ให้เป็น Circle ที่ 3 ของ Thaumaturge	[왼팔 강화] 공격력 증가 효과가 쏘마터지 3서클 수준으로 강화됩니다.
SKILL_20150323_003115	Thrust: Bleeding	쓰러스트: 출혈
SKILL_20150323_003116	เมื่อใช้ [Thrust] กับศัตรูที่ติด Stun จะได้รับเอฟเฟกต์เลือดออกเพิ่มเติม	스턴이 걸린 적에게 [쓰러스트]를 사용하면 출혈 효과가 추가로 부여됩니다.
SKILL_20150323_003117	Cross Guard: Debuff	크로스 가드: 디버프
SKILL_20150323_003118	ศัตรูที่ถูกขัดขวางโดย [Cross Guard] จะอ่อนแอต่อการโจมตีแทงชั่วคราว	[크로스 가드]에 막힌 적은 잠시 동안 찌르기 공격에 취약해집니다.
SKILL_20150323_003119	Fire Property: Explosion	불 속성: 폭발
SKILL_20150323_003120	การโจมตีธาตุไฟใส่ศัตรูที่พลังป้องกันอ่อนแออาจทำให้เกิดระเบิดหรือได้รับ– Splash ได้	방어력 약화된 적을 불 속성 공격으로 마무리 하면 폭발이 일어나 스플래시 피해를 입힙니다.
SKILL_20150323_003121	Ice Property: Slow	얼음 속성: 둔화
SKILL_20150323_003122	การโจมตีธาตุน้ำแข็งใส่ศัตรูที่พลังป้องกันอ่อนแอจะทำให้การเคลื่อนไหวของศัตรูโดยรอบช้าลง	방어력 약화된 적을 얼음 속성 공격으로 마무리 하면 주변 적들의 움직임이 느려집니다.
SKILL_20150323_003123	Deprotected Zone: Sword Attack	디프로텍티드 존: 검 공격
SKILL_20150323_003124	เมื่อใช้ดาบโจมตีศัตรูที่ติด [Deprotected Zone] พลังป้องกันจะยิ่งลดลง	[디프로텍티드 존]에 걸린 적에게 검 공격 시, 방어력이 더욱 약해집니다.
SKILL_20150401_003125	[Woodfung] กายภาพ, ตี, ความเสียหายไร้ธาตุ	[우드펑] 물리, 타격, 무속성 1회 공격
SKILL_20150401_003126	[Velleg] กายภาพ, ตี, โจมตีธาตุมืด	[벨레그] 물리, 타격, 암속성 1회 공격
SKILL_20150401_003127	ปืนพกมือขวา (เฉพาะปืนพก)	권총 오른손(권총 전용)
SKILL_20150401_003128	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}ใช้ด้ามมีดตีศัตรู{nl}สร้างความเสียหายเพิ่ม เมื่อโจมตีศัตรูในสถานะ Stun และมีโบนัสเพิกเฉยต่อพลังป้องกันของมอนสเตอร์ขนาดเล็กและกลาง	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}칼의 손잡이로 적을 때립니다.{nl}스턴상태의 적을 공격하면 추가대미지를 주고, 소, 중형 몬스터에게 방어력 무시 보너스가 있습니다.
SKILL_20150401_003129	โจมตี: #{SkillAtkAdd}#{nl}เพิกเฉยพลังป้องกันเป้าหมายขนาดเล็ก, กลาง:  #{CaptionRatio}#{nl}Splash: #{SkillSR}#	공격력 #{SkillAtkAdd}#{nl}소, 중형 대상 방어력 무시 #{CaptionRatio}#{nl}스플래시 #{SkillSR}#
SKILL_20150401_003130	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}เฉือนศัตรูไปทางซ้ายและขวา{nl}สร้างความเสียหายเพิ่ม เมื่อโจมตีศัตรูที่อยู่ในสถานเลือดออก	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}적을 좌우로 베어 버립니다.{nl}출혈 상태의 적을 공격하면 추가대미지를 줍니다.
SKILL_20150401_003131	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl} ขว้างโล่ของตัวเองสร้างความหายให้กับศัตรู โล่ที่ตกลงบนพื้น ต้องเก็บขึ้นมาถึงจะใช้ใหม่ได้	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}자신의 방패를 던져 적에게 피해를 줍니다. 실드랍에 쓰인 방패는 지면에 떨어져 있으며, 이를 주워야 재사용이 가능합니다.
SKILL_20150401_003132	เปลี่ยนเป็นท่าตั้งโล่ การบล็อกกับการต้านทานคริติคอลเพิ่มขึ้น แต่อานุภาพการโจมตีพื้นฐานลดลง	방패를 앞세우는 스탠스로 전환합니다. 블럭과 치명타 저항이 증가하지만, 기본 공격의 위력이 감소합니다.
SKILL_20150401_003133	บล็อก: +#{CaptionRatio}#{nl}การต้านทานคริติคอล: +#{CaptionRatio2}#{nl}การโจมตี: -#{CaptionTime}#%	블럭 #{CaptionRatio}# 증가{nl}치명타 저항 #{CaptionRatio2}# 증가{nl}공격력 #{CaptionTime}#%감소
SKILL_20150401_003134	{#DD5500}{ol}[Physical] - [Strike] - [Slash]{/}{/}{nl}ใช้ขอบโล่โจมตีและเฉือนศัตรู	{#DD5500}{ol}[물리] - [타격] - [베기]{/}{/}{nl}방패 모서리로 공격 후, 칼로 베어버립니다.
SKILL_20150401_003135	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}ใช้หลังมีดตีและผลักศัตรูออกไป ศัตรูจะตกอยู่ในสถานะ Armor Break (มอนสเตอร์ติดถาวร)	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}적을 칼등으로 후려쳐 옆으로 밀쳐냅니다. 적은 아머 브레이크 상태가 됩니다. (몬스터에게는 영구 지속)
SKILL_20150401_003136	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}สร้างความเสียหายให้กับศัตรูด้วยการแทงอย่างรุนแรง{nl}โบนัสโจมตีต่อเนื่องจะถูกใช้ตามขนาดของศัตรู	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적을 강하게 찔러 피해를 줍니다.{nl}적 크기에 따라 연타 보너스가 적용 됩니다.
SKILL_20150401_003137	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}สร้างความเสียหายให้กับศัตรูด้วยการปาหอกของตัวเอง หอกที่ปาจะตกอยู่บนพื้น ต้องเก็บขึ้นมาถึงจะใช้ใหม่ได้	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}자신의 창을 던져 적에게 피해를 줍니다. 투창에 쓰인 창은 지면에 떨어져 있으며, 이를 주워야 재사용이 가능합니다.
SKILL_20150401_003138	Slithering	회피이동
SKILL_20150401_003139	โจมตี: #{SkillAtkAdd}#{nl}Splash: #{SkillSR}#{nl}ใช้ได้ในขณะขี่	공격력 #{SkillAtkAdd}#{nl}스플래시 #{SkillSR}#{nl}탑승 상태에서 사용 가능
SKILL_20150401_003140	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}รวบรวมพลังและใช้อาวุธตีลงบนพื้นเพื่อโจมตีเป้าหมาย	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}힘을 모아 무기로 지면을 내려쳐 적을 공격합니다.
SKILL_20150401_003141	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}พุ่งไปข้างหน้าเต็มแรงและผลักเป้าหมายออกไป	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}전방으로 힘차게 돌진하여 대상을 밀어 내버립니다.
SKILL_20150401_003142	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}รวบรวมพลังและแทงศัตรูอย่างแรง	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}힘을 모아 적을 강하게 찌릅니다.
SKILL_20150401_003143	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}ควงหอกเหนือศีรษะพร้อมกับโจมตีศัตรูที่อยู่ด้านหน้าอย่างต่อเนื่อง	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}창을 머리위로 돌리면서 전방에 있는 적에게 연속된 공격을 합니다.
SKILL_20150401_003144	โจมตี: #{SkillAtkAdd}#{nl}ระยะเวลาสูงสุด: 10 วินาที{nl}Splash: #{SkillSR}#{nl}ใช้ได้ในขณะขี่	공격력 #{SkillAtkAdd}#{nl}최대 지속시간 10초{nl}스플래시 #{SkillSR}#{nl}탑승 상태에서 사용 가능
SKILL_20150401_003145	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}มัดศัตรูด้วยเชือกแล้วลากไปมา{nl}สร้างความเสียหายให้ศัตรูทุกครั้งที่เคลื่อนที่ และหลังจากแก้มัด ศัตรูจะตกอยู่ในสถานะเลือดออก	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}적을 줄로 묶어서 끌고 다닙니다.{nl}이동할 때 마다 적에게 피해를 주고, 풀려난 후 적은 출혈 상태에 빠집니다.
SKILL_20150401_003146	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}แทงศัตรูอย่างแรงแล้วถีบให้กระเด็นออกไป	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적을 강하게 찌른 뒤 발로 차버립니다.
SKILL_20150401_003147	ทำให้ใช้การโจมตีแทงของตัวเองอย่างต่อเนื่อง	자신의 찌르기 공격을 연타로 적용시킵니다.
SKILL_20150401_003148	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}สร้างความเสียหายทำให้เป้าหมายตกลงพื้นอย่างแรงในขณะกระโดดหรืออยู่บนอากาศ	{#DD5500}{ol}[물리] - [타격]{/}{/}{nl}점프 중이거나 공중에 있을 때, 강하게 착지하여 대상에게 피해를 줍니다.
SKILL_20150401_003149	Weapon Maintenance	무기 손질
SKILL_20150401_003150	เปิดร้านเพื่อซ่อมแซมอาวุธ เพิ่มพลังโจมตีให้กับอาวุธที่ซ่อม	무기를 손질할 수 있는 상점을 개설합니다. 손질된 무기에는 공격력이 더해집니다.
SKILL_20150401_003151	การโจมตีเพิ่มขึ้นเท่ากับ เลเวลสกิล×จำนวนดาวของอาวุธ{nl}จำนวนการโจมตี: #{CaptionRatio2}#{nl}ระยะเวลา: 4 ชั่วโมง	[스킬레벨]×[무기의 별 개수]{nl}만큼 공격력 증가{nl}공격 #{CaptionRatio2}# 횟수{nl}지속시간 4시간
SKILL_20150401_003152	Armor Maintenance	방어구 손질
SKILL_20150401_003153	เปิดร้านเพื่อซ่อมแซมอุปกรณ์ป้องกัน ซ่อมได้เฉพาะท่อนบน, ท่อนล่าง, โล่ และเพิ่มพลังป้องกันกายภาพให้กับอุปกรณ์ที่ซ่อม	방어구를 손질할 수 있는 상점을 개설합니다. 상의, 하의, 방패만 가능하며 손질된 방어구에는 물리 방어력이 더해집니다.
SKILL_20150401_003154	ป้องกันกายภาพ: +#{CaptionRatio}#{nl}จำนวนการยิง: #{CaptionRatio2}#{nl}ระยะเวลา: 4 ชั่วโมง	물리 방어력 #{CaptionRatio}# 증가{nl}피격 #{CaptionRatio2}# 횟수{nl}지속시간 4시간
SKILL_20150401_003155	เปิดร้านเพื่อซ่อมแซมอุปกรณ์ ไอเทมจะถูกซ่อมให้มีค่าสูงกว่าค่าความคงทนสูงสุด	장비를 수리해주는 상점을 개설합니다. 최대 내구도보다 더 높은 수치로 수리가 가능합니다.
SKILL_20150401_003156	ซ่อมเกิน #{CaptionRatio}# ความคงทน	내구도 #{CaptionRatio}# 초과 수리
