ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20150323_004024	Moon Thistle	달엉겅퀴
ITEM_20150323_004025	สมุนไพรจำเป็นในการรักษาคำสาปแช่งของแนกทิส	나크티스의 저주를 치료하는데 필요한 약재
ITEM_20150323_004026	เนื้อยัดไส้ที่เต็มไปด้วยยาที่รักษาคำสาปนิสัยตะกละมีผลบังคับซึ่งต้องทำการป้อนให้กับผู้แสวงบุญที่ถูกสาป	탐식의 저주를 풀어주는 약을 잔뜩 바른 고기. 저주받은 순례자에게 억지로 먹이자.
ITEM_20150323_004027	เนื้อดิบที่เต็มไปด้วยหยดเลือด	피가 뚝뚝 떨어지는 몬스터의 생 고기. 
ITEM_20150323_004028	Demonic Research: Transformation	마족의 연구, 변신편
ITEM_20150323_004029	เอกสารเก่าแก่ที่แสดงถึงวิธีการแปลงร่างเป็นปีศาจ	마족으로 변할 수 있는 방법이 적혀 있는 아주 오래된 문서.
ITEM_20150323_004030	วัสดุจำเป็นเพื่อทำให้ปีศาจเปลี่ยนเป้าหมาย(จำเป็นมาก)	마족으로 변신할 수 있는 스크롤을 만드는데 필요한 재료. 많은 양이 필요하다.
ITEM_20150323_004031	ม้วนกระดาษที่ใช้แปลงร่างเป็นปีศาจได้ทุกเวลา ชนิดของปีศาจขึ้นอยู่กับวัสดุที่ใช้สร้าง	언제든지 마족으로 변신할 수 있는 스크롤. 단, 재료로 쓰인 마족으로만 가능하다.
ITEM_20150323_004032	Demon Lord of Curses, Naktis	저주의 마군주 나크티스
ITEM_20150323_004033	วรรณกรรมที่เกี่ยวกับคำสาปแช่งและเจ้าแห่งปีศาจNaktisที่คอยควบคุมเหล่ามนุษย์	저주와 관련된 마군주에 대한 문헌. 나크티스 관련 내용을 심도있게 다루고 있다.
ITEM_20150323_004034	Dorjen's Signature Mead	도르젠의 역작
ITEM_20150323_004035	วัตถุที่ถูกร้องขอโดย Peltasta Master	펠타스타 마스터가 부탁한 재료
ITEM_20150323_004036	ดอกไม้หินที่มีราคาแพงมากถูกค้นพบที่ Petrifying Frost ในเมืองpetrified ที่จัตุรัสVerkti	석화된 도시 베르크티 광장에서 석화서리에 노출되어 돌이되어버린 꽃이다. 외부에서 값비싸게 팔려나간다고 한다.
ITEM_20150323_004037	Monster Secretion Gland	몬스터의 분비샘
ITEM_20150323_004038	ต่อมคัดหลั่งของมอนสเตอร์ของผู้ติดตามBlut	블룻의 수하인 몬스터의 분비샘입니다.
ITEM_20150323_004039	Hauberk's Thick Mane	하우벅의 무성한 갈기
ITEM_20150323_004040	ส่วนหนึ่งของร่างกาย Hauberk ที่ถูกขู่เข็ญโดยลูกน้องของเขาเมื่อครั้นที่เหล่าลูกน้องได้ทำการทรยศ	하우벅의 종자들이 하우벅을 배신하며 갈취한 하우벅의 신체 일부입니다.
ITEM_20150323_004041	ลูกแก้วที่ใช้โดย Kupole Norgaile เพื่อใช้ในการซักถามปีศาจ	큐폴 노르가일레가 마족을 심문할때 사용하던 구슬입니다.
ITEM_20150323_004042	Sleeping Hauberk's Seal Fragment	잠든 하우벅의 봉인조각
ITEM_20150323_004043	จิตวิญญาณที่ฉีกขาดบางส่วนของเจ้าแห่งปีศาจHauberk	마군주 하우벅의 찢겨진 영혼의 일부입니다.
ITEM_20150323_004044	Evening Star Key	저녁별 열쇠
ITEM_20150323_004045	คริสตัลแห่งความสุขโดยเทพธิดาVakarineที่ทำขึ้นเพื่อ Kupole Zydrone และต่อมาZydroneได้ทำการแก้ไขเพื่อให้มนุษย์สามารถใช้งานได้	여신 바카리네가 큐폴 지드로네를 위해 자신의 공간의 권능을 부여한 수정입니다. 지드로네에 의해 인간이 사용할 수 있도록 변환되었습니다.
ITEM_20150323_004046	Hauberk's Soul Fragment	하우벅의 영혼조각
ITEM_20150323_004047	อัญมณีที่สร้างโดยHauberkเพื่อมอบพลังบางส่วนของเขาให้แก่เหล่าบริวาร	하우벅이 자신의 힘을 부하들에게 나눠주기 위해 만든 보석입니다.
ITEM_20150323_004048	Night Star Spectral Orb	저녁별 분광구
ITEM_20150323_004049	ลูกแก้วปีศาจที่สร้างโดยKupole Daivaเพื่อใช้ตรวจหาปีศาจHauberk	큐폴 다이바가 마족들을 감시하기 위해 만든 분광구입니다. 사용하면 숨어있는 하우벅을 찾을 수 있습ㄴ디ㅏ.
ITEM_20150323_004050	Evening Star Rune	저녁별 룬
ITEM_20150323_004051	รูนแห่งความสุขที่ถูกสร้างโดยเทพธิดาVakarineเพื่อใช้ดูดซึมจิตวิญญาณของปีศาจ	여신 바카리네의 권능이 담긴 룬입니다. 마족의 영혼을 흡수하는 룬입니다.
ITEM_20150323_004052	Mark of Condemned Criminals	사형수의 징표
ITEM_20150323_004053	สัญลักษณ์แห่งความผิดพลาดที่ถูกมอบให้แก่มอนสเตอร์ชั่วร้ายในคุกปีศาจ	큐폴들이 마족 수감소의 악질 몬스터들에게 부여한 사형수의 징표입니다.
ITEM_20150323_004054	Hauberk's Seal Fragment	하우벅 봉인조각
ITEM_20150323_004055	ชิ้นส่วนผนึกที่ประกอบด้วยจิตวิญญาณของHauberk	하우벅의 영혼이 봉인되어있는 조각입니다.
ITEM_20150323_004056	Kupole Necklace	큐폴의 목걸이
ITEM_20150323_004057	สร้อยคอที่อยู่ในความครอบครองของ Kupoles	큐폴들이 소지했던 목걸이 입니다.
ITEM_20150323_004058	Trace of Transference	전이의 흔적
ITEM_20150323_004059	คริสตัลพลังงานของมอนสเตอร์ที่ผ่านรอยแยกของมิติมาได้	마족 몬스터들이 전이틈새를 넘어오면서 부여받은 힘의 결정체 입니다.
ITEM_20150323_004060	Empty Soul	텅 빈 영혼
ITEM_20150323_004061	ความว่างเปล่าที่เทพธิดาVakarineใช้เพื่อสำหรับเรียกDionysกลับคืนมา	여신 바카리네가 디오니스를 회복시키기 위해 부탁한 텅 빈 영혼입니다.
ITEM_20150323_004062	Personal Keepsake	인간의 유품
ITEM_20150323_004063	ของที่ระลึกของผู้คนที่ถูกฆ่าอย่างโหดเหี้ยมหลังจากที่เข้าไปที่คุกปีศาจ	마족 수감소에 들어와 마족들에게 무참히 살해당한 인간들의 유품입니다. 
ITEM_20150323_004064	Mark of Star	별의 징표
ITEM_20150323_004065	คริสตันเวทมนตร์ของDionysที่แยกส่วนออกจากDionyตอนคลุ้มคลั่ง	광포해진 디오니스에게서 떨어져나온 디오니스의 마력결정체 입니다.
ITEM_20150323_004066	กรงเล็บที่ฝังอยู่กับปีศาจยามที่Dionysโจมตี	디오니스가 마족들을 공격하면서 그들에게 박힌 발톱
ITEM_20150323_004067	Demon Teeth	마족의 이빨
ITEM_20150323_004068	ได้รับจากKupole Sigitaโดยการจัดการกัลเหล่าปีศาจในคุกปีศาจทั้ง 4	큐폴 시기타의 부탁으로 마족수감소 4 구역의 마족을 처치하고 얻었습니다.
ITEM_20150323_004069	ชิ้นส่วนเกราะFormineที่ใช้ป้องกันหน้าอก	포마인 아머의 재료. 가슴 앞쪽을 방어하는 부분이다.
ITEM_20150323_004070	ชิ้นส่วนเกราะFormineที่ใช้ป้องกันไหล่(หนึ่งข้าง)	포마인 아머의 재료. 어깨쪽을 보호해 준다.
ITEM_20150323_004071	ชิ้นส่วนเกราะFormineที่ใช้ป้องกันส่วนหลัง	포마인 아머의 재료. 등쪽에 덧대는 부분이다.
ITEM_20150323_004072	ชิ้นส่วนเกราะFormineที่ใช้ป้องกันส่วนเอว	포마인 아머의 재료. 허리를 둥그렇게 감싸는 부분이다.
ITEM_20150323_004073	Kindling	불쏘시개
ITEM_20150323_004074	ฟืนของมอนสเตอร์ที่ถูกทำให้แห้งสนิทมีประโยชน์ในการรักษาแผลไฟไหม้	몬스터가 들고 있던 불쏘시개. 일반 나무보다 잘 말라서 불을 유지하기에 좋다.
ITEM_20150323_004075	ของเหลวเย็นที่หายากซึ่งสามารถพบได้จากมอนสเตอร์ใช้สำหรับทำให้แท่นบูชาเย็น	몬스터들로부터 드물게 얻을 수 있는 차가운 체액. 이걸로 제단을 식히자.
ITEM_20150323_004076	Theophilis' Bag	테오필리스의 가방
ITEM_20150323_004077	Picture Fragment	그림 조각
ITEM_20150323_004078	Empty Frame	빈 액자
ITEM_20150323_004079	Fedimian Suburbs Warp Scroll	페디미안 외곽 워프 주문서
ITEM_20150323_004080	ใบวาร์ปที่ใช้กลับมาหา Pardoner Master ที่ Crystal Brook (โปรดทราบ! สามารถใช้งานได้เฉพาะเมื่อมีปัญหาที่ Sanctum เท่านั้น ดังนั้นควรเก็บไว้เท่าที่จำเป็นต่อการใช้งาน)	수정 개울의 파드너 마스터 앞으로 워프 시켜 주는 주문서. 성소가 문제가 생겼을 때에만 사용 가능하니 무리한 사재기는 의미 없음을 알려 둡니다.
ITEM_20150323_004081	Strong Rope	질긴 끈
ITEM_20150323_004082	เชือกที่แข็งแกร่งที่ได้รับจากมอนสเตอร์ มันจะมีประโยชน์ที่จะผูกบางสิ่งบางอย่าง	몬스터로부터 얻은 질긴 끈. 무언가를 묶을 때 쓸 만 하다.
ITEM_20150323_004083	ขนมปังแข็งที่มีบางคนซ่อนไว้ในหญ้า	누군가 풀더미에 숨겨 놓았던 건빵.
ITEM_20150323_004084	Scorpio Venom	스콜피오의 독액
ITEM_20150323_004085	พิษที่สกัดจากราศีพิจิก	스콜피오로부터 뽑아 낸 독액.
ITEM_20150323_004086	Sweet Herb	스위트 허브
ITEM_20150323_004087	ใบของสมุนไพรหวาน ประโยชน์เมื่อรับประทานร่วมกับยาขม	스위트 허브의 잎. 입에 쓴 약을 먹을 때 함께 먹으면 좋다.
ITEM_20150323_004088	Nutritious Tonic	자양강장제
ITEM_20150323_004089	ยาบำรุงมีคุณค่าทางโภชนาการโดยการเจือจางความเข้มข้นของ Baron ด้วยพิษราศีพิจิก	영주가 준 원액을 스콜피오의 독으로 희석한 자양강장제.
ITEM_20150323_004090	Brand New Rice Cake	막 얻은 새참 떡
ITEM_20150323_004091	A rice cake from Malus.	마류스가 건네 준 새참 떡.
ITEM_20150323_004092	Spoiled Rice Cake	상한 새참 떡
ITEM_20150323_004093	Pieces of a spoiled rice cake.	상해 버린 새참 떡.
ITEM_20150323_004094	Fresh Rice Cake	아직 신선한 새참 떡
ITEM_20150323_004095	เค้กข้าวที่ยังคงสดใหม่	상하지 않고 신선함이 유지되고 있는 새참 떡.
ITEM_20150323_004096	Well-Grown White Radish	잘 자란 순무
ITEM_20150323_004097	หัวผักกาดขาวสดที่โตเต็มที่ปราศจากตำหนิที่เก็บจากไร่	밭에서 방금 뽑은 신선한 무. 아무 이상 없이 잘 자란 것 같다.
ITEM_20150323_004098	Roughly Chopped Wood	대충 자른 목재
ITEM_20150323_004099	เศษไม้คุณภาพต่ำที่ได้จากเกวียนหรือกล่องไม้ที่กระจัดกระจายอยู่ทั่วทั้งฟาร์ม มันอาจจะมีประโยชน์ก็ได้นะ!	농장에 아무렇게나 놓인 수레나 나무상자에서 뜯어낸 저급의 목재. 얼기설기 엮으면 뭐라도 만들 수 있을 것 같기는 하다.
ITEM_20150323_004100	Shaman Doll from the Baron	남작이 준 주술 인형
ITEM_20150323_004101	ตุ๊กตาshamanที่ Baronมอบให้กลับArunasซึ่งหากมีการเผาไหม้ในขอบเขตเวทมนตร์จะสามารถลบกลิ่นอายแปลกได้	남작이 아루나스에게 주었다는 주술 인형. 이것을 마법진에서 태우면 이상한 기운이 사라진다고 한다.
ITEM_20150323_004102	First Empty bottle	첫 번째 빈 병
ITEM_20150323_004103	ขวดว่างเปล่าซึ่งมีประโยชน์หลากหลายที่ได้จากนักเวทฝึกหัด	수습 마법사가 건네 준 빈 병. 이모 저모 유용하게 쓰임새가 많다.
ITEM_20150323_004104	ขวดที่เต็มไปด้วยพลังงานมอนสเตอร์	몬스터의 기운이 가득 찬 병
ITEM_20150323_004105	ขวดที่เต็มไปด้วยการใช้พลังงานของมอนสเตอร์	몬스터의 기운이 가득 찬 병.
ITEM_20150323_004106	Yellow Ellom's Evil Energy	노란 엘룸의 사악한 기운
ITEM_20150323_004107	ขวดที่ 1/3ของขวดเต็มไปด้วยพลังงานชั่วร้ายของ Yellow Ellom	노란 엘룸의 사악한 기운 1/3이 찬 병
ITEM_20150323_004108	ขวดที่ 2/3ของขวดเต็มไปด้วยพลังงานชั่วร้ายของ Yellow Ellom	노란 엘룸의 사악한 기운 2/3이 찬 병
ITEM_20150323_004109	ขวดที่เต็มไปด้วยพลังงานชั่วร้ายของ Yellow Ellom	노란 엘룸의 사악한 기운이 가득 찬 병
ITEM_20150323_004110	Keposeed's Evil Energy	케포시드의 사악한 기운
ITEM_20150323_004111	ขวดที่ 1/3ของขวดเต็มไปด้วยพลังงานชั่วร้ายของ Keposeed	케포시드의 사악한 기운이 1/3 찬 병
ITEM_20150323_004112	ขวดที่ 2/3ของขวดเต็มไปด้วยพลังงานชั่วร้ายของ Keposeed	케포시드의 사악한 기운이 2/3 찬 병
ITEM_20150323_004113	ขวดที่เต็มไปด้วยพลังงานชั่วร้ายของ Keposeed	케포시드의 사악한 기운이 가득 찬 병
ITEM_20150323_004114	Second Empty Bottle	두 번째 빈 병
ITEM_20150323_004115	Poison Bottle	독약병
ITEM_20150323_004116	ขวดที่เต็มไปด้วยสารพิษที่รวบรวมมาจากมอนสเตอร์ที่ได้รับจากนักเวทฝึกหัด Limas	몬스터의 독을 모아 놓은 독액이라면서 수습 마법사 리마스가 건네 준 병.
ITEM_20150323_004117	Small Stone Statue's Head	작은 석상의 머리
ITEM_20150323_004118	หัวของรูปปั้นหินขนาดเล็ก	작은 석상의 머리 부분.
ITEM_20150323_004119	Small Stone Statue's Upper Body	작은 석상의 상반신
ITEM_20150323_004120	ร่างกายส่วนบนของรูปปั้นหินขนาดเล็ก	작은 석상의 상반신 부분.
ITEM_20150323_004121	Small Stone Statue's Lower Body	작은 석상의 하반신
ITEM_20150323_004122	ร่างกายส่วนล่างของรูปปั้นหินขนาดเล็ก	작은 석상의 하반신 부분.
ITEM_20150323_004123	Small Stone Statue's Wings	작은 석상의 날개
ITEM_20150323_004124	ปีกของรูปปั้นหินขนาดเล็ก	작은 석상의 날개 부분.
ITEM_20150323_004125	Blunt Wooden Piece	뭉툭한 나무 조각
ITEM_20150323_004126	ชิ้นส่วนไม้ที่ทื่อสำหรับใช้ในการเป็นหัวของค้อนไม้	나무 망치의 머리 부분으로 쓰일 나무 조각.
ITEM_20150323_004127	Wooden Rod Piece	막대 모양의 나무 조각
ITEM_20150323_004128	ก้านไม้ที่ใช้สำหรับทำด้ามค้อน	나무 망치의 손잡이 부분으로 쓰일 나무 조각.
ITEM_20150323_004129	Wooden Hammer	나무 망치★
ITEM_20150323_004130	ค้อนไม้ที่ใช้เพื่อเปิดถังเบียร์ ถ้าทำได้ไม่ดี จะไม่ทนนะ!	나무  술통을 여는 데 사용되는 나무 망치. 대충 만들어졌기 때문에 내구성은 좋지 않다.
ITEM_20150323_004131	Sticky Liquid	끈적이는 액체
ITEM_20150323_004132	ของเหลวเหนียวที่มอนสเตอร์คายออกยามเสียชีวิต อาจเป็นประโยชน์ใช้เป็นกาวที่มีความหนืดสูงได้!	몬스터들이 죽으면서 뱉아 낸 끈적이는 액체. 점도가 높아 접착제로 쓰이면 좋을 것 같다.
ITEM_20150323_004133	Seeds of Something	무언가의 씨앗
ITEM_20150323_004134	เมล็ดของบางสิ่งที่ได้รับจากมอนสเตอร์	몬스터에게서 얻은 무언가의 씨앗.
ITEM_20150323_004135	Bitter Drink	비터 드링크
ITEM_20150323_004136	เครื่องดื่มขมที่ขมมากๆ	비터 드링크. 맛이 쓰다.
ITEM_20150323_004137	Wooden Stick	목봉
ITEM_20150323_004138	ไม้เท้าที่ตัดมาจากรั้วที่อยู่บริเวณใกล้เคียง	주변의 울타리 등에서 잘라 낸 나무 봉. 
ITEM_20150323_004139	Stone	돌덩어리
ITEM_20150323_004140	หินแข็งที่ได้รับจากมอนสเตอร์	몬스터로부터 구한 딱딱한 돌덩어리.
ITEM_20150323_004141	Monster's Poison Jar	몬스터의 독 항아리.
ITEM_20150323_004142	Full Poison Jar	가득 찬 독항아리
ITEM_20150323_004143	เหยือกที่เต็มไปด้วยยาพิษจากมอนสเตอร์	몬스터의 독이 가득 담긴 항아리.
ITEM_20150323_004144	Plow ??	쟁기★
ITEM_20150323_004145	คันไถ	쟁기
ITEM_20150323_004146	Hoe ??	호미★
ITEM_20150323_004147	จอบ	호미
ITEM_20150323_004148	Spade ??	가래★
ITEM_20150323_004149	เสียม	가래
ITEM_20150323_004150	Pickaxe ??	곡괭이★
ITEM_20150323_004151	พลั่ว	곡괭이
ITEM_20150323_004152	Rake ??	쇠스랑★
ITEM_20150323_004153	คราด	쇠스랑
ITEM_20150323_004154	Horacius' Handwritten Recommendation	호라치우스의 자필 추천서
ITEM_20150323_004155	คำแนะนำที่เขียนด้วยลายมือจาก Horacius ใช้ในการชักชวนเกษตรกรที่หวาดระแวง	호라치우스가 써 준 추천서. 의심 많은 농민을 설득할 때 쓰인다.
ITEM_20150323_004156	Uprooted Dandelion	뿌리째 뽑힌 민들레
ITEM_20150323_004157	ดอกแดนดิไลที่ตายแล้วสามารถนำรากและใบมาใช้เป็นอาหารและยาได้	뿌리 째 온전히 뽑힌 민들레. 뿌리와 잎이 골고루 먹을거리와 약재에 쓰인다. 쓴 맛을 빼는 것이 관건.
ITEM_20150323_004158	Monster Meat	몬스터 살코기
ITEM_20150323_004159	เนื้อสดที่นำมาจากมอนสเตอร์	몬스터로부터 막 얻어 낸 신선한 살코기.
ITEM_20150323_004160	Perfectly Dried Jerky ??	잘 마른 육포★
ITEM_20150323_004161	เนื่อเหนียวที่ถูกทำให้แห้งโดยเครื่องอบแห้ง	건조기에 제대로 말린 쫀득한 육포.
ITEM_20150323_004162	หินแข็งที่ได้จากมอนสเตอร์เพื่อใช้ทำลายผนึก	몬스터로부터 구한 딱딱한 돌덩어리. 이것으로 봉인 마법진을 깰 수 있다고 한다.
ITEM_20150323_004163	Seed Bag	종자 주머니
ITEM_20150323_004164	ถุงเมล็ดพันธุ์ที่ถูกขโมยไปโดยมอนสเตอร์	몬스터들이 훔쳐 갔던 씨앗 주머니.
ITEM_20150323_004165	Lump of Meat	고기 덩어리
ITEM_20150323_004166	ก้อนเนื้อสัตว์จากแหล่งที่ไม่รู้จัก	무슨 고기인지 알 수 없는 고기의 덩어리.
ITEM_20150323_004167	บัญชีลายเซ็นของกลุ่มปฎิวัติ	거사에 동의하는 사람의 서명이 있는 연판장.
ITEM_20150323_004168	Small Statue	작은 여신상★
ITEM_20150323_004169	รูปปั้นเทพธิดาขนาดเล็กที่ถูกวางไว้ด้วยกัน โดยชิ้นส่วนสามารถพบได้ในสถานต่างๆ	여기저기사 찾아 낸 여신상의 조각을 겨우 이어붙여 복원한 작은 여신상.
ITEM_20150323_004170	Coarse Bark	성긴 나무 껍질
ITEM_20150323_004171	ผิวของ Tipio ที่ต้องการได้รับการฟื้นฟูจากผู้ช่วยของPeltasta	펠타스타 측의 협조를 구하는 댓가로 필요한 티피오의 껍질
ITEM_20150323_004172	Priest Yosana's Research	사제 요사나의 연구서
ITEM_20150323_004173	รายงานการวิจัยเขียน โดยบาทหลวง Yosana ประกอบด้วยงานวิจัยเกี่ยวกับชนิดของคำสาป	사제 요사나의 연구 보고서. 저주의 종류에 대해 적혀 있다.
ITEM_20150323_004174	Priest Roana's Research	사제 로아나의 연구서
ITEM_20150323_004175	รายงานการวิจัยเขียน โดยบาทหลวง Roana ประกอบด้วยงานวิจัยเกี่ยวกับวิธีทำคำสาป	사제 로아나의 연구 보고서. 저주가 어떻게 발현되는지에 대해 적혀 있다.
ITEM_20150323_004176	Priest Prosit's Research	사제 프로지트의 연구서
ITEM_20150323_004177	รายงานการวิจัยเขียน โดยบาทหลวง Prosit ประกอบด้วยงานวิจัยเกี่ยวกับผลของคำสาป	사제 프로지트의 연구 보고서. 저주가 인체에 미치는 영향에 대해 적혀 있다.
ITEM_20150323_004178	อนุสรณ์สถานซึ่งครั้งหนึ่งเคยเป็นสมบัติของโบสถ์ซึ่งเลิกใช้งานไปแล้ว	교단에서 귀중하게 여기는 성물. 안타깝게도 대성당의 여기저기에 방치되어 있다.
ITEM_20150323_004179	ลูกแก้วที่สามารถตรวจจับพลังศักดิ์สิทธิ์ซึ่งช่วยหาอนุสรณ์สถานอันแสนสวยงามได้	성력을 탐지할 수 있는 구슬. 이것으로 잘 안보이는 은혜의 성물을 찾을 수 있다고 한다.
ITEM_20150323_004180	Colifly Wing	콜리플라이의 날개
ITEM_20150323_004181	ตัวอย่างปีศาจที่จำเป็นในการเปิดเผยความลับของการสาปแช่ง	저주의 비밀을 풀기 위한 마족의 표본
ITEM_20150323_004182	Loftlem Core	로프틀렘의 핵
ITEM_20150323_004183	Priest Yosana's Research Data	사제 요사나의 연구 자료
ITEM_20150323_004184	รายงานผลการวิจัยเกี่ยวกับคำสาปแช่งที่เขียนโดยพระ Yosana ซึ่งได้สูญหายไปแล้ว	사제 요사나가 저주에 대해 정리한 연구 보고서. 한 눈 판 새에 사라졌다고 한다.
ITEM_20150323_004185	Scroll of Purification	정화의 스크롤
ITEM_20150323_004186	สามารถทำความสะอาดของเหลวปีศาจที่มีกลิ่นอายความศักดิ์สิทธิ์ของมหาวิหาร ลองใช้มันในปีศาจสิ!	마족의 체액을 대성당의 신성한 기운을 받아 정화시킬 수 있다고 한다. 마족에게 사용해 보자.
ITEM_20150323_004187	อนุสรณ์สถานศักดิ์สิทธิ์ของโบสถ์ซึ่งถูกซ่อนหลังจากตรวจพบพลังงานชัวร้าย	교단에서 중요하게 여기는 성물. 사악한 기운이 주변에 감지되면 스스로 모습을 감춘다고 한다. 
ITEM_20150323_004188	คำสาปที่มีการกระจายอย่างต่อเนื่อง ซึ่งไม่ได้ถูกทำลายในลักษณะปกติ	저주를 끊임없이 퍼뜨리고 있는 저주. 일반적인 방법으론 파괴가 불가능하다고 한다.
ITEM_20150323_004189	สำหรับทำหุ่นไล่กาและรั้วไม้ทนทาน	튼튼한 허수아비와 울타리를 만드는데 적합한 목재.
ITEM_20150323_004190	Mysterious Dagger	정체불명의 단검
ITEM_20150323_004191	กริชที่สร้างความแค้นเคืองแก้ผู้พบเห็น	기분을 나쁘게 만드는 단검
ITEM_20150323_004192	Pink Chupaluka Fur	분홍 츄파루카의 털
ITEM_20150323_004193	มอนสเตอร์ที่ใช้สำหรับการทำหุ่นไล่กา	허수아비 재료로 쓰일 몬스터
ITEM_20150323_004194	Ellom Leaves	엘롬의 잎사귀
ITEM_20150323_004195	ใบไม้บนหัวของ Ellum ซึ่งElly ต้องการ	엘롬 머리 위에 달려 있는 잎사귀. 엘리가 필요로 하고 있다.
ITEM_20150323_004196	Second Corrupted Soil Sample	두 번째 오염된 토양 표본
ITEM_20150323_004197	ตัวอย่างดินที่มีสิ่งเจือปนที่เก็บรวบรวมจากกระท่อมของชาวนา	농장지기의 오두막 근처에서 채취한 토양 표본. 굉장히 오염되어 있다.
ITEM_20150323_004198	First Corrupted Soil Sample	첫 번째 오염된 토양 표본
ITEM_20150323_004199	ตัวอย่างดินที่มีสิ่งเจือปนที่เก็บรวบรวมจากห้องทำงานร้าง	인적 없는 작업장 근처에서 채취한 토양 표본. 굉장히 오염되어 있다.
ITEM_20150323_004200	Tanu's Body Fluids	타누의 체액
ITEM_20150323_004201	ของเหลวที่สกัดจากอวัยวะของTanu ใช้ในพิธีกรรมบริสุทธิ์ของDruids	타누의 장기에서 추출한 체액. 드루이드의 정화의식에 쓰인다.
ITEM_20150323_004202	Sapling Branch	묘목의 가지
ITEM_20150323_004203	กิ่งไม้ที่นำมาจากต้นไม้อ่อนลึกลับซึ่งยังคงมีพลังบางส่วนอยู่	엘리가 신비한 묘목에서 떼어낸 가지. 묘목 본래의 힘보다는 약하지만 어느정도의 힘을 간직한 듯 보인다.
ITEM_20150323_004204	Mysterious Small Box	의문의 작은 상자
ITEM_20150323_004205	กล่องขนาดเล็กที่ล็อคหลวมสามารถพบได้ในพื้นดิน	흙더미에서 발견한 작은 상자. 자물쇠는 걸려 있지 않는 것 같다.
ITEM_20150323_004206	Miren's Old Bag	미렌의 낡은 봇짐
ITEM_20150323_004207	กระเป๋าสกปรกที่ซึ่งมีชื่อของMiren ปักอยู่ด้านใน	꽤나 꾀죄죄해 보이는 봇짐. 안쪽에 미렌의 이름이 수놓여 있다.
ITEM_20150323_004208	Leaf Nut Egg	리프넛의 알
ITEM_20150323_004209	ใบถั่วไข่เป็นวัสดุที่มีประโยชน์สำหรับAlchemy	리프넛 암컷이 품고 있던 알. 연금술에서 재료로 유용하게 쓰인다고 한다.
ITEM_20150323_004210	Parasitic Eggs	기생 알집
ITEM_20150323_004211	มอนสเตอร์ไข่พยาธิจากรากเถาองุ่น น่ารังเกียจมาก!	포도 넝쿨의 뿌리에서 기생하는 몬스터의 알집. 굉장히 징그럽다.
ITEM_20150323_004212	Golden Grapes	황금 포도
ITEM_20150323_004213	องุ่นสุกที่ยังคงมีสีเขียว	아직 덜 익어 녹색빛이 감도는 포도.
ITEM_20150323_004214	Drake Horn Piece	드레이크의 뿔조각
ITEM_20150323_004215	ชิ้นส่วนเขาที่ได้รับจากร่างกายของDrake นำมันไปให้แก่พนักงานส่วนตัวเพื่อเป็นหลักฐานซะ	드레이크의 사체에서 얻은 뿔조각이다. 토벌의 증거로 사병조장에게 건네주자.
ITEM_20150323_004216	Stolen Grain Bag	빼돌린 곡식 주머니
ITEM_20150323_004217	กระเป๋าใส่ข้าวที่ถูกขโมยซึ่งทหารที่Shaton ยึดไว้เป็นสินบน	샤튼가의 농장에 고용된 사병들이 뇌물로 빼돌린 곡식 주머니.
ITEM_20150323_004218	Druid's Antidote	드루이드의 해독제
ITEM_20150323_004219	ยาถอนพิษพิเศษของDruidใช้สำหรับแก้พิษจากองุ่น	포도의 독기를 중화시키기 위한 드루이드 특제 해독제
ITEM_20150323_004220	Obedience Stick	조련 막대
ITEM_20150323_004221	กิ่งไม้ที่ประกอบด้วยพลังของDruidic มันสามารถปราบมอนสเตอร์ได้	드루이드의 힘이 담겨 있는 나뭇가지. 이걸로 몬스터를 조련해서 데려올 수 있다고 한다.
ITEM_20150323_004222	Druid's Empty Stone Bowl	드루이드의 빈 돌그릇
ITEM_20150323_004223	ชามหินพิเศษสำหรับใช้ในพิธีกรรมของ Druid ซึ่งขณะนี้ว่างเปล่า	드루이드들이 의식에 주로 사용한다는 특별한 돌그릇. 현재는 아무것도 담겨 있지 않다.
ITEM_20150323_004224	Water-Filled Stone Bowl	물이 가득찬 돌그릇
ITEM_20150323_004225	ชามหินพิเศษสำหรับใช้ในพิธีกรรมของ Druid ซึ่งขณะนี้เต็มไปด้วยน้ำ	드루이드들이 의식에 주로 사용한다는 특별한 돌그릇. 물이 가득 담겨 있다.
ITEM_20150323_004226	Louis' Seed Bags	루이스의 씨앗 주머니
ITEM_20150323_004227	ถุงเมล็ดพันธุ์ที่สำคัญของLouisที่ถูกใช้เพื่อหลีกเลี่ยงทหาร	루이스가 사병들의 눈을 피해 몰래 가꿔 온 소중한 씨앗 주머니.
ITEM_20150323_004228	Bloody Necklace	피묻은 목걸이
ITEM_20150323_004229	สร้อยคอทองคำที่มีสัญลักษณ์ของครอบครัว Shaton มีร่องรอยของการสาดเลือด	샤튼가의 일원임을 상징하는 문장이 새겨진 금 목걸이. 피가 튄 흔적이 있다.
ITEM_20150323_004230	Stinger of Lauzinute	라우지누테의 독침
ITEM_20150323_004231	หางเหล็กที่พิสูจน์ความพ่ายแพ้ของ Lauzinute	라우지누테를 처치했음을 증명하는 꼬리독침
ITEM_20150323_004232	Valen's Medicine Bag	바렌의 약 주머니
