QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000285	"{nl}That's why we started to farm here and the crops made it well.{nl}Then, the monsters came after the crops and we lost control of the farm."	{nl}นั่นเป็นเหตุผลที่เราเริ่มต้นในฟาร์มนี้และเพราะปลูกได้ดี{nl}จากนั้นเหล่ามอนสเตอร์ก็เข้ามาและพวกเราสูญเสียการควบคุมในการทำฟาร์มไปในที่สุด
QUEST_LV_0400_20161005_000286	It seems like we'll be able to farm again thanks to you.{nl}I suppose it would be too much to ask you to stay with us?	มันดูเหมือนว่าเราสามารถทำฟาร์มได้อีกครั้ง ขอบคุณมากๆ{nl}ฉันคิดว่ามันอาจจะมากเกินไปที่จะขอให้คุณอยู่กับเราใช่หรือไม่?
QUEST_LV_0400_20161005_000287	{nl}Why don't you meet the people before you leave...{nl}I'm sure they'll have plenty to say to you.	{nl}ทำไมคุณไม่พบกับคนอื่นๆ ก่อนที่จะออกไปหล่ะ...{nl}ฉันแน่ใจว่าพวกเขาจะมีคำพูดมากมายที่อยากจะพูดกับคุณ
QUEST_LV_0400_20161005_000288	You've listened to all of the worries of the people here?	คุณได้รับฟังความกังวลของคนที่อยู่ที่นี่แล้วหรือ?
QUEST_LV_0400_20161005_000289	{nl}I'm sure there wasn't one story that wasn't heartbreaking.{nl}Some feel like life here is nothing but trouble.	{nl}ฉันแน่ใจว่านี่ไม่ใช่เรื่องเดียวที่ไม่เสียใจ{nl}บางครั้งรู้สึกว่าชีวิตที่นี่มีแต่ปัญหา
QUEST_LV_0400_20161005_000290	"{nl}Some people say that I don't know about the severity of this situation, but I assure you that I do.{nl}This type of life will not be sustainable without material help from someone else."	{nl}บางคนบอกว่าฉันไม่รู้ความรุนแรงของสถานการณ์นี้ แต่ฉันจะทำให้คุณมั่นใจว่าฉันจะทำ{nl}ชีวิตแบบนี้จะไม่ยั่งยืนหากปราศจากการช่วยเหลือจากใครบางคน
QUEST_LV_0400_20161005_000291	{nl}I am sorry for the children as they will not be able to see the outside world.{nl}I have of course considered moving somehwere else.	{nl}ฉันขอโทษสำหรับเด็กที่พวกเขาจะไม่สามารถที่จะเห็นโลกภายนอกได้{nl}แน่นอนว่าฉันคิดที่จะย้ายไปที่อื่น
QUEST_LV_0400_20161005_000292	"{nl}However, we don't know exactly where we are in the Great Woodlands so we can't simply pick a direction either.{nl}We don't have enough food or supplies and the monsters are a never ending threat."	{nl}อย่างไรก็ตาม พวกเราว่าเราอยู่ที่ไหนใน Great Woodlands ดังนั้นเราไม่มีทางเลือก{nl}เรามีอาหารหรือวัตถุดิบไม่เพียงพอและมอนสเตอร์ก็คุกคามเราอย่างไม่หยุดหย่อน
QUEST_LV_0400_20161005_000293	Really?	จริงหรือ?
QUEST_LV_0400_20161005_000294	{nl}Thank you.{nl}We would appreciate it if you could go to a major city for help.	{nl}ขอบคุณมาก{nl}เราจะซาบซึ้งใจหากคุณไปที่เมืองหลวงเพื่อให้การความช่วยเหลือ
QUEST_LV_0400_20161005_000295	I see that there are refugees that haven't been able to receive proper assistance.{nl}I shall ask the lords near Michekan if they can't offer some help.	ฉันเห็นผู้ลี้ภัยที่ยังไม่ได้รับความช่วยเหลือพี่เพียงพอ{nl}ฉันจะขอร้องท่านลอร์ดที่อยู่ใกล้ๆ  Michekan หากพวกเขาไม่สามารถให้ความช่วยเหลือในบางส่วนได้
QUEST_LV_0400_20161005_000296	How did it go?{nl}Is there a city willing to help us?	จะไปอย่างไร?{nl}มีเมืองที่ยินดีที่จะช่วยเราหรือ?
QUEST_LV_0400_20161005_000297	The Knight Commander at Klaipeda said that he'd request help from the other lords?{nl}That's just what I wanted to hear.	ผู้บัญชาการอัศวินที่ Klaipeda กล่าวว่าเขาจะร้องขอความช่วยเหลือจากผู้บัญชาการคนอื่นๆ หรือ?{nl}นั่นเป็นสิ่งที่ฉันต้องการได้ยิน
QUEST_LV_0400_20161005_000298	{nl}Thank you so much for going the extra bit for us.	{nl}ขอบคุณมากสำหรับการไปเพื่อพวกเรา
QUEST_LV_0400_20161005_000299	I shall ask the lords near Michekan Forest to aid the refugees.{nl}I'll try to make them hurry a bit as well.	ฉันจะขอให้ท่านลอร์ดที่อยู่ใกล้ Michekan Forest ช่วยเหลือผู้ลี้ภัย{nl}ฉันจะพยายามเร่งพวกเขาให้เร็วขึ้นอีกนิด
QUEST_LV_0400_20161005_000300	Aurlelse	Aurlelse
QUEST_LV_0400_20161005_000301	I think of the peaceful days before Medzio Diena every day.{nl}The Potato Dumplings I used to have with my wife were the best...	ฉันคิดถึงวันที่เงียบสงบก่อนเกิดเหตุการณ์ Medzio Diena อยู่ทุกวัน{nl}มันฝรั่งปั้นเป็นก้อนที่ฉันเคยกินกับภรรยาของฉันเป็นอะไรที่ดีที่สุดแล้ว...
QUEST_LV_0400_20161005_000302	I lost my wife to a large branch that crashed on top of the house that day.{nl}I am regretful that I wasn't even able to properly bury her.	ฉันสูญเสียภรรยาจากกิ่งไม้ขนาดใหญ่ที่พังมาทับหลังคาบ้านในวันนั้น{nl}ฉันเสียใจที่ไม่สามารถฝังศพเธอได้
QUEST_LV_0400_20161005_000303	Alex	Alex
QUEST_LV_0400_20161005_000304	I am also afraid that I'll be attacked like Mr. Curtis.	ฉันกลัวว่าจะถูกโจมตีเหมือนกับ Mr. Curtis
QUEST_LV_0400_20161005_000305	{nl}He was attacked by monsters a while ago when trying to drive them out of town.{nl}I can still see him in pain because of the wounds.	{nl}เขาถูกโจมตีเมื่อเข้าพยายามขับไล่มอนสเตอร์ที่ผ่านมาออกไปจากเมือง{nl}ฉันยังคงเห็นเขาเจ็บปวดเพราะบาดแผล
QUEST_LV_0400_20161005_000306	"If it wasn't for Medzio Diena, I would have married my love and be living a happy life..."	ถ้ามันไม่ใช่เพราะ Medzio Diena ฉันคงจะได้แต่งงานกับคนรักของฉันและใช้ชีวิตอยู่อย่างมีความสุข...
QUEST_LV_0400_20161005_000307	Wickens	Wickens
QUEST_LV_0400_20161005_000308	It wasn't too long after I came here.{nl}Waltas was stealing for his wife and baby.	มันไม่นานนักหลังจากฉันมาที่นี่{nl}Waltas ถูกพรากภรรยาและลูกไป
QUEST_LV_0400_20161005_000309	{nl}He used to be someone that always looked out for other people...{nl}I realized that people change in harsh circumstances after seeing that.	{nl}เขาเคยเป็นคนที่มักจะทำเพื่อคนอื่นเสมอ...{nl}ฉันตระหนักว่าคนเราจะเปลี่ยนไปจหลังจากพบสถานการณ์ที่รุนแรง
QUEST_LV_0400_20161005_000310	I do somewhat understand why Waltas was stealing.	ผมค่อนข้างเข้าใจว่าทำไม Waltas ถึงถูกพรากไป
QUEST_LV_0400_20161005_000311	{nl}His wife had just given birth to their baby.{nl}But she wasn't able to feed the baby as she had been starving as well.	{nl}ภรรยาของเขาได้ให้กำเนิดลูก{nl}แต่เธอไม่สามารถให้นมลูกได้ขณะที่เธอหิวโหย
QUEST_LV_0400_20161005_000312	{nl}Waltas needed to get food for his wife and baby.	{nl}Waltas ต้องการอาหารสำหรับภรรยาและลูกของเขา
QUEST_LV_0400_20161005_000313	Myuse	Myuse
QUEST_LV_0400_20161005_000314	"Everyone at the refugee camp is grateful to Curtis, Aurlelse and Nagles.{nl}We wouldn't even be able to live like this if it wasn't for their help."	"ทุกคนในค่ายผู้ลี้ภัยรู้สึกขอบคุณ Curtis, Aurlelse และ Nagles{nl}พวกเราไม่สามารถมีชีวิตอยู่ได้ถ้าไม่ได้รับความช่วยเหลือจากพวกเขา"
QUEST_LV_0400_20161005_000315	"Although we have gotten it better, it is still a harsh life.{nl}It won't get any better if we don't get any help from the lords."	ถึงแม้ว่าพวกเราจะดีขึ้น แต่มันยังคงรุนแรง {nl}มันจะไม่ดีขึ้นถ้าพวกเราไม่ได้รับความช่วยเหลือจากลอร์ด
QUEST_LV_0400_20161005_000316	Liel	Liel
QUEST_LV_0400_20161005_000317	My mother... she gave me all of her blankets because she thought I would be cold.{nl}That's why she always has the cold and can't stop coughing...	แม่ของฉัน... ให้ผ้าห่มมาหมดเลยเพราะคิดว่าฉันจะหนาว{nl}นั่นเป็นเหตุผลที่เธอมักจะมีอาการหนาวตลอดเวลาและไม่สามารถหยุดอาการไอได้เลย...
QUEST_LV_0400_20161005_000318	{nl}I thought that less wind would come through the tent if I managed to stitch it and went to get some twine.{nl}There wasn't anything worth using in the refugee camp.	{nl}ฉันคิดว่าลมเล็กน้อยพัดเข้ามาในเต็นท์ หากฉันจัดการกับตะเข็บของมันและไปเอาเชือกมา{nl}ไม่มีอะไรที่ใช้ได้ในค่ายผู้ลี้ภัยนี้
QUEST_LV_0400_20161005_000319	{nl}Curtis said that there were moths that made their cocoons up there.{nl}He said that they would be extremely good for strong twine.	{nl}Curtis กล่าวว่ามีมอธที่ทำรังของพวกมันขึ้นที่นี่{nl}เขากล่าวว่ามันจะดีมากสำหรับเชือกที่แข็งแรง
QUEST_LV_0400_20161005_000320	I cannot tell my mother about it.{nl}She would forbid me from going out. No doubt about it.	ฉันไม่สามารถบอกแม่ของฉันได้เกี่ยวกับมัน{nl}เธอจะห้ามฉันไม่ให้ออกไปข้างนอก อย่างไม่ต้องสงสัย
QUEST_LV_0400_20161005_000321	{nl}I should have done this.{nl}My mother would be saddened if anything happens to me..	{nl}ฉันควรจะทำแบบนี้{nl}แม่ของฉันจะต้องเสียใจถ้ามีอะไรเกิดขึ้นกับฉัน...
QUEST_LV_0400_20161005_000322	My mother always has nightmares ever since we came here.{nl}She always calls out to my father asking him to not go.	แม่ของฉันมักจะฝันร้ายนับตั้งแต่เรามาที่นี่{nl}เธอมักจะเรียกพ่อของฉันเพื่อขอร้องไม่ให้เขาไป
QUEST_LV_0400_20161005_000323	{nl}Then she wakes up crying.{nl}It is so painful to watch.	{nl}จากนั้นเธอก็ตื่นขึ้นมาร้องไห้{nl}มันเจ็บปวดที่เห็นเช่นนั้น
QUEST_LV_0400_20161005_000324	I remember eating Potato Dumplings with my parents.{nl}They tasted so good...	ฉันจำได้ว่าการกินมันฝรั่งที่ปั้นเป็นก้อนกับพ่อแม่{nl}รสชาดมันดีขนาดไหน...
QUEST_LV_0400_20161005_000325	{nl}The sound of parents calling their children to dinner...{nl}The hard yet comfortable chairs...	Despite
QUEST_LV_0400_20161005_000326	Everything seemed impossible when we got here.{nl}Everyone was overwhelmed by the circumstances and there was nothing needed for survival... Not to mention the threat of monsters...	ทุกอย่างดูเหมือนเป็นไปไม่ได้เมื่อเรามาถึงที่นี่{nl}ทุกคนกำลังถูกบีบบังคับจากสถานการณ์และไม่มีอะไรเลยที่สามารถใช้เพื่อให้อยู่รอดได้... ไม่ต้องพูดถึงภัยคุกคามจากมอนสเตอร์...
QUEST_LV_0400_20161005_000327	"{nl}Despite all that, we were able to make it this far thanks to Aurlelse."	{nl}อย่างไรก็ตามทั้งหมดนั้น พวกเราขอขอบคุณ Aurlelse เป็นอย่างมาก
QUEST_LV_0400_20161005_000328	{nl}There had been a case of theft when food was scarce.{nl}I was one of the victims at the time.	{nl}มีการลักขโมยกันเกิดขึ้นเมื่ออาหารขาดแคลน{nl}ฉันเป็นหนึ่งในผู้ที่ตกเป็นเหยื่อในตอนนั้น
QUEST_LV_0400_20161005_000329	"{nl}People where incredibly angry at the time, including myself.{nl}When Waltas was discovered to be the criminal, we were just about to beat him."	{nl}ผู้คนต่างโกรธเกรี้ยวในช่วงเวลานั้น รวมทั้งตัวฉันเองด้วย{nl}เมื่อ Waltas ถูกพบว่าเป็นผู้ที่ทำผิดกฎหมาย พวกเราสามารถเอาชนะเขาได้
QUEST_LV_0400_20161005_000330	"{nl}However, Aurlelse gave him his food and defended him.{nl}Saying that he would have done the same if his baby was starving..."	{nl}อย่างไรก็ตาม Aurlelse ให้อาหารและปกป้องเขา{nl}บอกว่าเขาจะทำเช่นเดียวกันนี้หากลูกของเค้าอดอยาก...
QUEST_LV_0400_20161005_000331	{nl}He also persuaded us that we should stick together even when times were tough.{nl}We all felt so embarrassed by his deeds...	{nl}นอกจากนี้เขายังชักชวนให้พวกเราอยู่ด้วยกันในช่วงเวลาที่ยากลำบาก{nl}เราทุกคนรู้สึกอายเป็นอย่างมากในการกระทำของเขา...
QUEST_LV_0400_20161005_000332	{nl}We realized that simply protecting my own would not make matters better.{nl}That's when we started to collect our strength in order to overcome the situation.	{nl}เราตระหนักว่าเพียงแค่การปกป้องตัวเองไม่ได้ทำให้อะไรดีขึ้น{nl} นั่นคือเมือเราเริ่มสะสมความแข็งแกร่งเพื่อเอาชนะสถานการณ์ที่อยากลำบาก
QUEST_LV_0400_20161005_000333	"{nl}As a result of the actions that day, things are getting a bit better.{nl}If Aurlelse hadn't stepped forward that day, there may not be anyone left alive here."	{nl}อันเป็นผลมาจากการกระทำในวันนั้นบางสิ่งดีขึ้นเล็กน้อยที่{nl}ถ้า Aurlelse ไม่ได้เดินหน้าในวันนั้นอาจจะไม่มีใครเหลืออยู่ที่นี่อีกเลย
QUEST_LV_0400_20161005_000334	"If there wasn't someone as brave as Nagles, there may have been nobody here willing to fight the monsters.{nl}Nagles was the one that raised the walls and found the weapons."	หากไม่มีใครสักคนกล้าหาญเหมือนกับ Nagles อาจจะไม่มีใครในที่นี้ยินดีที่จะต่อสู้กับมอนสเตอร์{nl}Nagles เป็นคนหนึ่งที่ยกกำแพงและพบอาวุธเหล่านี้
QUEST_LV_0400_20161005_000335	Nagles	Nagles
QUEST_LV_0400_20161005_000336	We were able to live here this long thanks to Curtis.	เราสามารถที่จะอาศัยอยู่ที่นี่ได้ ต้องขอบคุณ Curtis
QUEST_LV_0400_20161005_000337	I thought of what I could do after seeing Curtis working so hard for the people here.{nl}That's why I thought about protecting them from the monsters.	ฉันคิดว่าสิ่งที่ฉันจะทำหลังจากที่ได้เห็น Curtis ทำงานอย่างหนักเพื่อคนที่นี่{nl}นั่นเป็นเหตุผลที่ฉันคิดเกี่ยวกับการปกป้องพวกเขาจากมอนสเตอร์
QUEST_LV_0400_20161005_000338	{nl}I also looked for anything that could be used as weapons around here.{nl}Surprisingly there was a worn down shack here with spears inside...	{nl}ฉันยังมองหาอะไรก็ได้ที่สามารถนำมาใช้เป็นอาวุธรอบบริเวณนี้{nl}น่าแปลก ที่มีการสวม โซ่ตรวนกับหอกที่อยู่ภายในด้วย
QUEST_LV_0400_20161005_000339	{nl}I gave the spears to young people like me and we started protecting the people.{nl}Then we raised the walls to make it harder for monsters to get in.	{nl}ฉันมอบหอกให้กับชายหนุ่มที่คล้ายฉันและพวกเขาเริ่มปกป้องผู้คน{nl}จากนั้นเรายกกำแพงเพื่อที่จะทำให้มันยากขึ้นสำหรับมอนสเตอร์ที่จะเข้ามาภายใน
QUEST_LV_0400_20161005_000340	{nl}We didn't have enough materials or experience to build proper walls so their quite shabby.{nl}They're still worth their weight in Talt though!	{nl}เราไม่มีวัสดุเพียงพอหรือประสบการณ์ที่จะสร้างกำแพงที่เหมาะสม{nl}เขายังคงมีความสำคัญใน Talt!
QUEST_LV_0400_20161005_000341	Heres	Heres
QUEST_LV_0400_20161005_000342	"Even if life here has gotten better, it's still unsafe.{nl}A time will come when it will become impossible for life to continue here without outside help."	แม้ว่าชีวิตจะดีขึ้นแต่มันก็ยังคงไม่ปลอดภัย{nl}เวลาที่จะมาถึงจะเป็นไปไม่ได้เลยที่จะสามารถดำรงชีวิตต่อไปได้หากปราศจากความช่วยเหลือจากภายนอก
QUEST_LV_0400_20161005_000343	"Even if we wish to go and ask for help, we can't do so.{nl}Monsters are a threat of course, but the real issue is about the food."	แม้เราปรารถนาที่จะไปขอความช่วยเหลือ แต่เราไม่สามารถทำได้{nl}มอนสเตอร์ทำการคุกคามอย่างแน่นอนแต่เหตุผลที่แท้จริงนั้นเกี่ยวกับอาหารนั่นเอง
QUEST_LV_0400_20161005_000344	{nl}We have no idea of telling how far deep we have gotten ourselves into the Great Woodlands.{nl}We don't know how much food we'll need to take to get to the next town.	{nl}เราไม่สามารถบอกได้ว่าอีกไกลแค่ไหนที่เราจะสามารถพาตัวเองเข้าไปที่ Great  Woodlands ได้{nl}เราไม่รู้ว่าอาหารปริมาณขนาดไหนที่เราต้องเตรียมไว้สำหรับการเดินทางไปอีกเมือง
QUEST_LV_0400_20161005_000345	Dreis	Dreis
QUEST_LV_0400_20161005_000346	We are unable to distribute food because we lost the farms to the monsters.{nl}We are unable of taking the farms back from them as well.	เราไม่สามารถที่จะแจกจ่ายอาหารได้เพราะเราสูญเสียฟาร์มให้กับมอนสเตอร์{nl}เราไม่สามารถนำฟาร์มกลับคืนมาได้เช่นกัน
QUEST_LV_0400_20161005_000347	There will be conflicts because of the lack of food soon if we don't do something about it.	จะมีความขัดแย้งเนื่องจากอาหารขาดแคลนในเร็วๆ นี้หากเราไม่สามารถทำอะไรกับมันได้
QUEST_LV_0400_20161005_000348	Phadia	Phadia
QUEST_LV_0400_20161005_000349	Monsters keep coming in even with the wall.{nl}They will continue to come here even if the people are standing guard with their weapons.	มอนสเตอร์สามารถข้ามกำแพงเข้ามาได้{nl}พวกมันยังคงเข้ามาอย่างต่อเนื่องถึงแม้ว่าผู้คนจะกำลังยืนป้องกันพร้อมกับอาวุธของเขา
QUEST_LV_0400_20161005_000350	"{nl}We all of our farmland to the monsters.{nl}Even if we manage to get it back, it won't be enough to feed us all."	{nl}ฟาร์มของพวกเราทั้งหมดเป็นของมอนสเตอร์{nl}แม้ว่าเราจะสามารถจัดการนำกลับมาได้ มันยังไม่เพียงพอที่จะเลี้ยงพวกเราทุกคน
QUEST_LV_0400_20161005_000351	{nl}It will only demoralize us even further.{nl}We won't be able to make it much more without the help from someone else.	{nl}มันทำให้พวกเราหมดกำลังใจมากยิ่งขึ้น{nl}เราไม่สามารถที่จะทำมันได้มากพอหากปราศจากความช่วยเหลือจากคนอื่น
QUEST_LV_0400_20161005_000352	You can't simply drink water from Michekan Forest because of the toxins.{nl}You'll suffer from stomache troubles if you do.	คุณไม่สามารถที่จะดื่มน้ำจาก Michekan Forest ได้เพราะมันมีสารพิษ{nl}คุณจะทรมานจากอาการปวดท้องหากคุณทำเช่นนั้น
QUEST_LV_0400_20161005_000353	"{nl}You have to drink it after purifying it with Randulin, but that's not easy to obtain either.{nl}You have to find it outside of the refugee camp where monsters are roaming around."	{nl}คุณจะดื่มมันได้หลังจากที่มันถูกทำให้บริสุทธิ์ด้วย Randulin แต่มันไม่ใช่เรื่องง่ายเลย{nl}คุณต้องไปหามันภายนอกค่ายผู้ลี้ภัยที่ซึ่งมีเหล่ามอนสเตอร์อยู่บริเวณรอบๆ
QUEST_LV_0400_20161005_000354	{nl}Nothing is easy here.	{nl}ไม่มีอะไรที่เป็นเรื่องง่ายสำหรับที่นี่
QUEST_LV_0400_20161005_000355	Wyatt	Wyatt
QUEST_LV_0400_20161005_000356	"I did think that he was bringing more food than the others.{nl}I asked Waltas, but he simply said that he had found food at an empty shelter."	ฉันคิดว่าเขากำลังนำอาหารมาได้มากกว่าคนอื่นๆ{nl}ฉันถาม Waltas แล้วแต่เขาตอบว่าเขาพบอาหารในที่รกร้างไม่มีใคร
QUEST_LV_0400_20161005_000357	{nl}I didn't know anything back then.{nl}I never dreamed that he would be stealing for our baby...	{nl}ฉันไม่รู้ว่าจะมีสิ่งใดกลับมาI{nl}ฉันไม่คิดไม่ฝันเลยว่าเขาทำการขโมยเพื่อลูกของเรา...
QUEST_LV_0400_20161005_000358	{nl}Aurlelse defended my husband when he was discovered to be the theif.{nl}We would have been thrown out if it wasn't for him.	{nl}Aurlelse ปกป้องสามีของฉันเมื่อเขาพบเจอกับโจร{nl}เราถูกแยกออกมา หากแต่ไม่ใช่เพื่อเขาเอง
QUEST_LV_0400_20161005_000359	{nl}I am still thankful for Aurlelse and his actions.{nl}I am also sorry for all the people that were victims back then...{nl}	{nl}ฉันยังคงรู้สึกขอบคุณ Aurlelse และการกระทำของเขา{nl}นอกจากนี้ฉันยังคงรู้สึกเสียใจกับทุกคนที่เป็นเหยื่อในครั้งนี้...{nl}
QUEST_LV_0400_20161005_000360	Waltas became a theif for our baby.{nl}I am not ashamed.	Waltas กลายเป็นโจรเพื่อลูกของเรา{nl}ฉันไม่รู้สึกผิดเลย
QUEST_LV_0400_20161005_000361	{nl}Aren't we in a situation where he had no other choice?	{nl}เราไม่ได้อยู่ในสถานการณ์ที่เขาสามารถเลือกได้ใช่มั้ย?
QUEST_LV_0400_20161005_000362	Waltas	Waltas
QUEST_LV_0400_20161005_000363	"Wyatt had to become a refugee late into her pregnancy, and had our baby as soon as we arrived here.{nl}There was only enough food to barely stave off starvation."	Wyatt ต้องกลายเป็นผู้ลี้ภัยในขณะที่เธอตั้งครรภ์อยู่และคลอดลูกของเราทันทีที่เรามาถึงที่นี่{nl}มีเพียงอาหารเพื่อประทังความหิวเท่านั้น
QUEST_LV_0400_20161005_000364	"{nl}We managed to scrape by, but the baby was unable to be fed since Wyatt wasn't getting enough nutrition.{nl}The baby kept crying for food but there was none to give...I didn't know what to do."	{nl}เราพยายามอดออมแล้วแต่ลูกของเรายังคงต้องการอาหารจนกระทั้ง Wyatt ได้รับสารอาหารไม่เพียงพอ {nl}ลูกร้องไห้เพื่อขออาหารแต่ก็ไม่มีอาหารที่สามารถให้เค้าได้...ฉันไม่รู้ว่าต้องทำอย่างไรแล้ว
QUEST_LV_0400_20161005_000365	{nl}That's why I stole food for my family...	{nl}นั่นเป็นเหตุผลว่าทำไมฉันต้องขโมยอาหารเพื่อครอบครัวของฉัน...
QUEST_LV_0400_20161005_000366	"{nl}However, my crimes were soon discovered by the rest of the people.{nl}Aurlelse defended me and my family just before I was beaten."	{nl}อย่างไรก็ตาม การกระทำความผิดของฉันได้ช่วยเหลือคนส่วนหนึ่ง{nl}Aurlelse เพียงแค่ช่วยปกป้องฉันและครอบครัวของฉันก่อนที่ฉันจะพ่ายแพ้
QUEST_LV_0400_20161005_000367	{nl}I am participating even more in order to right any wrongs and make up for my crimes.	{nl}ฉันกำลังพยายามแก้ไขสิ่งที่ผิดพลาดต่างๆ ให้ถูกต้องเพื่อทดแทนอาญกรรมที่ฉันได้ทำลงไป
QUEST_LV_0400_20161005_000368	We thought the food situation might get better since we managed to set up some farms but...{nl}We lost all of that to the monsters.	ฉันคิดว่าสถานการณ์เรื่องอาหารจะค่อยๆ ดีขึ้นตั้งแต่เรามีการจัดระบบต่างๆ ให้กับบางฟาร์ม แต่...{nl}เราสุญเสียทุกสิ่งไปให้กับมอนสเตอร์
QUEST_LV_0400_20161005_000369	{nl}I'm worried that life might get even worse.	{nl}ฉันกังวลว่าชีวิตอาจจะยิ่งเลวร้ายลงไปอีก
QUEST_LV_0400_20161005_000370	Ciatas	Ciatas
QUEST_LV_0400_20161005_000371	"We've been able to manage until now, but we don't know when we'll meet our limits."	พวกเราสามารถที่จะจัดการมันได้จนถึงขณะนี้ แต่พวกเราไม่รู้ว่าเมื่อใดที่ขีดจำกัดของเราจะหมดลง
QUEST_LV_0400_20161005_000372	Of course I want to go and ask for help.{nl}But we don't know where we are and the monsters are crawling all over the place...	แน่นอนว่า ฉันต้องการจะไปขอความช่วยเหลือ{nl}แต่เราไม่รู้ว่าที่ใดที่เราต้องไปและมีมอนสเตอร์ปรากฎตัวทั่วบริเวณอยู่เต็มไปหมด...
QUEST_LV_0400_20161005_000373	Rhupas	Rhupas
QUEST_LV_0400_20161005_000374	This place becomes really cold at night.{nl}You might even get frostbite if you don't wrap yourself up.	สถานที่นี้จะหนาวมากในเวลากลางคืน{nl}คุณอาจจะได้รับบาดแผลจากความหนาวนี้ได้หากคุณไม่ห่มผ้าให้แน่นหนา
QUEST_LV_0400_20161005_000375	I don't know how we'll survive if we lose the farms.	ฉันไม่รู้ว่าเราจะมีชีวิตรอดได้อย่างไรหากพวกเราสูญเสียฟาร์ม
QUEST_LV_0400_20161005_000376	Ohdette	Ohdette
QUEST_LV_0400_20161005_000377	Some people think that all we have to do is retake the farms but that's not true.{nl}We can't survive on the food from tha farms alone.	บางคนคิดว่าการเอาฟาร์มคืนมาเป็นทุกสิ่งที่เราควรทำแต่นั้นไม่ถูกต้อง{nl}เราไม่สามารถอยู่รอดได้เพียงแค่อาหารที่ได้รับจากฟาร์มเท่านั้น
QUEST_LV_0400_20161005_000378	{nl}Monsters will keep raiding us since they know there's food in the camp.	{nl}มอนสเตอร์จะทำการไล่ล่าพวกเราตั้งแต่พวกมันรู้ว่ามีอาหารในค่าย
QUEST_LV_0400_20161005_000379	We can't drive them out even if we arm everyone with weapons.{nl}They haven't been professionally trained.	เราไม่สามารถขับไล่มันออกไปได้แม้ว่าเราทุกคนมีอาวุธอยู่ในมือ{nl}เราไม่ได้รับการฝึกฝนแบบมืออาชีพ
QUEST_LV_0400_20161005_000380	Salewya	Salewya
QUEST_LV_0400_20161005_000381	"The people are getting worried.{nl}We somehow managed to get this far by sticking together, but there will be a time when that won't be enough..."	ผู้คนรู้สึกกังวลใจ{nl}เราจะจัดการสิ่งนี้ไปพร้อมๆ กัน แต่เวลาอาจจะไม่เพียงพอ...
QUEST_LV_0400_20161005_000382	{nl}That doesn't mean we have a way to survive if we leave this place.{nl}We don't have enough food to sustain the large population here moving at once either.	{nl}นั่นไม่ได้หมายความว่าพวกเรามีหนทางเพื่อให้อยู่รอดได้หากเรายังคงอยู่ที่นี่{nl}เราไม่มีอาหารเพียงพอที่จะประคับประคองกลุ่มคนขนาดใหญ่ในการเคลื่อนย้ายในครั้งเดียว
QUEST_LV_0400_20161005_000383	"There are times when I wish this was all a dream.{nl}However, it feels more realistic every time I seem to wish that."	บางครั้ง ฉันก็ปรารถนาให้นี่เป็นเพียงความฝัน{nl}อย่างไรก็ตาม มันให้ความรู้สึกสมจริงในทุกๆ ครั้งที่ฉันปรารถนา
QUEST_LV_0400_20161005_000384	Daniels	Daniels
QUEST_LV_0400_20161005_000385	Salewya wasn't always so dark.{nl}That happened after coming here.	Salewya ไม่ได้เลวร้ายเสมอ{nl}นั่นเกิดหลังจากมาที่นี่
QUEST_LV_0400_20161005_000386	{nl}It doesn't matter how much we tell her that we can overcome the difficulties here.	{nl}มันไม่สำคัญเท่าใดที่เราบอกเธอว่าเราสามารถเอาชนะความยากลำบากที่นี่ได้
QUEST_LV_0400_20161005_000387	Salewya sometimes says that this whole life seems to be like a dream.{nl}That she'll wake up in a warm and comfortable bed...	ในบางครั้ง Salewya ได้กล่าวไว้ว่าเหมือนชีวิตนี้เป็นความฝัน{nl}ที่เธอจะได้ตื่นขึ้นมาในเตียงอบอุ่นและสะดวกสบาย...
QUEST_LV_0400_20161005_000388	{nl}I'm afraid she'll keep denying reality.	{nl}ฉันกลัวว่าเธอจะปฏิเสธความจริง
QUEST_LV_0400_20161005_000389	"Hello there, are you trying to go in there?{nl}If so, could you please help me? It's a matter of life and death."	สวัสดี คุณกำลังพยายามที่จะไปที่นั่นหรือ?{nl}หากเป็นเช่นนั้น คุณสามารถช่วยฉันได้หรือไม่? มันเป็นเรื่องของความเป็นความตาย
QUEST_LV_0400_20161005_000390	{nl}Please help!	{nl}ช่วยด้วยได้โปรด!
QUEST_LV_0400_20161005_000391	Thank you so much for agreeing to help...{nl}I sent in a group of refugees that I organized into a group.{nl}None of them have been able to make it out even if it has been a few days.	ขอบคุณมากสำหรับการตกลงช่วยเหลือ...{nl}ฉันได้ขอความช่วยเหลือในกลุ่มผู้ลี้ภัยที่ฉันเป็นผู้ดูแล{nl}ไม่มีใครที่สามารถทำมันได้แม้ว่าจะใช้เวลาเพียงไม่กี่วัน
