ITEM_20150317_000001	Empty_helmet
ITEM_20150714_005217	Lv4 Critical Damage Potion
ITEM_20150714_005218	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 68  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005219	Lv5 Critical Damage Potion
ITEM_20150714_005220	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 80  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005221	Lv6 Critical Damage Potion
ITEM_20150714_005222	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 92  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005223	Lv7 Critical Damage Potion
ITEM_20150714_005224	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 104  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005225	Lv8 Critical Damage Potion
ITEM_20150714_005226	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 116  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005227	Lv9 Critical Damage Potion
ITEM_20150714_005228	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 116  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005229	Lv10 Critical Damage Potion
ITEM_20150714_005230	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 140  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005231	Lv11 Critical Damage Potion
ITEM_20150714_005232	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 152  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005233	Lv12 Critical Damage Potion
ITEM_20150714_005234	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 164  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005235	Lv13 Critical Damage Potion
ITEM_20150714_005236	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 176  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005237	Lv14 Critical Damage Potion
ITEM_20150714_005238	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 188  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005239	Lv15 Critical Damage Potion
ITEM_20150714_005240	ค่าความเสียหายจากคิติคอลเพิ่มขึ้น 200  หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005241	Lv1 Magic Amplification Potion
ITEM_20150714_005242	ขยายความแรงเวทเพิ่มขึ้น 10 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005243	Lv2 Magic Amplification Potion
ITEM_20150714_005244	ขยายความแรงเวทเพิ่มขึ้น 14 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005245	Lv3 Magic Amplification Potion
ITEM_20150714_005246	ขยายความแรงเวทเพิ่มขึ้น 18 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005247	Lv4 Magic Amplification Potion
ITEM_20150714_005248	ขยายความแรงเวทเพิ่มขึ้น 22 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005249	Lv5 Magic Amplification Potion
ITEM_20150714_005250	ขยายความแรงเวทเพิ่มขึ้น 26 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005251	Lv6 Magic Amplification Potion
ITEM_20150714_005252	ขยายความแรงเวทเพิ่มขึ้น 30 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005253	Lv7 Magic Amplification Potion
ITEM_20150714_005254	ขยายความแรงเวทเพิ่มขึ้น 34 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005255	Lv8 Magic Amplification Potion
ITEM_20150714_005256	ขยายความแรงเวทเพิ่มขึ้น 38 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005257	Lv9 Magic Amplification Potion
ITEM_20150714_005258	ขยายความแรงเวทเพิ่มขึ้น 42 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005259	Lv10 Magic Amplification Potion
ITEM_20150714_005260	ขยายความแรงเวทเพิ่มขึ้น 46 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005261	Lv11 Magic Amplification Potion
ITEM_20150714_005262	ขยายความแรงเวทเพิ่มขึ้น 50 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005263	Lv12 Magic Amplification Potion
ITEM_20150714_005264	ขยายความแรงเวทเพิ่มขึ้น 54 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005265	Lv13 Magic Amplification Potion
ITEM_20150714_005266	ขยายความแรงเวทเพิ่มขึ้น 58 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005267	Lv14 Magic Amplification Potion
ITEM_20150714_005268	ขยายความแรงเวทเพิ่มขึ้น 62 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005269	Lv15 Magic Amplification Potion
ITEM_20150714_005270	ขยายความแรงเวทเพิ่มขึ้น 66 หน่วยเป็นเวลา 180 วินาที {nl}คลิกขวาเพื่อใช้งาน คูลดาวน์ 60  วินาที
ITEM_20150714_005271	Revelation: Opposing Piece Collection
ITEM_20150714_005272	Revelation: Inside Piece Collection
ITEM_20150714_005273	Lv1 Gem Abrasive
ITEM_20150714_005274	Lv2 Gem Abrasive
ITEM_20150714_005275	Complex Gear
ITEM_20150714_005276	อุปกรณ์ที่ซับซ้อนซึ่งใช้กับเครื่องจักรที่ซับซ้อนที่คุณสามารถรับได้จาก Marionette ในตึกฝั่งตะวันตกอาคาร Roxona
ITEM_20150714_005277	Dullahan Armor Fragment
ITEM_20150714_005278	ชิ้นส่วนชุดเกราะของ Dullahan  {nl}ซึ่งได้รับจาก Dullahan ในตึกฝั่งตะวันตกอาคาร Roxona
ITEM_20150714_005279	ก้อนโลหะหนัก {nl}ซึ่งได้รับจาก Anchor
ITEM_20150714_005280	Velfiggy Bead
ITEM_20150714_005281	มีความแตกต่างระหว่างสีเล็กน้อยภายในลูกปัด {nl}ซึ่งได้รับจาก Velfiggy
ITEM_20150714_005282	Glyquare Core
ITEM_20150714_005283	มีการกลายพันธุ์ของ Nucl ซึ่งเป็นแหล่งพลังงานของมอนสเตอร์กลายพันธุ์ ประกอบไปด้วยพลังเวทมนตร์ขั้นสูงที่อาจระเบิดได้หากได้รับการจัดการแบบไม่ระมัดระวัง {nl}ได้รับจากหิน Orcas
ITEM_20150714_005284	บันทึกที่เขียนโดยครูของ Hones และ Laius ซึ่งดูเหมือนว่าจะมีข้อมูลที่สำคัญมาก
ITEM_20150714_005285	Carcashu Seeds
ITEM_20150714_005286	Glizardon Horn
ITEM_20150714_005287	Varb Hard Shell
ITEM_20150714_005288	Zinutekas Strong Horn
ITEM_20150714_005289	Monster Poison
ITEM_20150714_005290	Varb Resin
ITEM_20150714_005291	Zinutekas Tail Fragment
ITEM_20150714_005292	Boowook Activation Core
ITEM_20150714_005293	Scent Stone Powder
ITEM_20150714_005294	ประกอบได้ด้วยความเดือดดาลของเหล่าผู้แสวงบุญ
ITEM_20150714_005295	Petrified the advanced team's relics
ITEM_20150714_005296	Tasty Tablets
ITEM_20150714_005297	ลูกขนมอร่อยจากอัศวินแห่ง Kaliss ทำสำหรับคนงานของเมือง Petrified
ITEM_20150714_005298	Dark Crystal
ITEM_20150714_005299	Orb imbued with Aura
ITEM_20150714_005300	ลูกแก้วที่เก็บรวบรวมออร่าที่ซึ่งสามารถนำออกมาและใส่ได้ตามการใช้งาน
ITEM_20150714_005301	Wisdom Guiding Stone
ITEM_20150714_005302	อัญมณีลึกลับที่สามารถนำไปสู่เส้นทางที่ถูกต้อง
ITEM_20150714_005303	Eyes of Truth Fragment
ITEM_20150714_005304	ชิ้นส่วนที่แตกหักที่อยู่ภายใต้ดวงตาแห่งความจริงซึ่งใช้ได้เฉพาะการเก็บรวบรวมชิ้นส่วนทั้งหมด
ITEM_20150714_005305	Eyes of Truth
ITEM_20150714_005306	ไอเทมนี้ช่วยให้คุณเข้าถึงสสารแห่งวิญญาณซึ่งใช้กับมอนสเตอร์ที่ไม่มีเนื้อหนัง
ITEM_20150714_005307	Soul Crystal
ITEM_20150714_005308	มีอำนาจที่จะดึงดูดวิญญาณหลงทาง {nl}จำเป็นที่จะต้องหาจากความบาดหมางที่มากพอ
ITEM_20150714_005309	คลิกซ้ายเพื่อใช้งาน
ITEM_20150714_005310	บันทึกที่เขียนโดย Disciple Hones เกี่ยวกับครูของเขา อาจจะมีประโยชน์สำหรับการปลดอุปกรณ์ที่ติดตั้งที่หลุมฝังศพใต้ดินของ Ritinis สามารถอ่านได้
ITEM_20150714_005311	Spatial Magic Gem Fragment of Contract
ITEM_20150714_005312	ชิ้นส่วนก้อนหินเวทมนตร์ว่างเปล่าที่แตกสลายไปแล้วซึ่งต้องทำการฟื้นฟูการทำงานเพื่อให้มันสามารถทำงานได้อย่างถูกต้อง
ITEM_20150714_005313	หากคุณสามารถเก็บรวบรวมหินเวทมนตร์ได้มากพอ คุณจะสามารถหาสถานที่ซ่อนของอาจารย์
ITEM_20150714_005314	หินเวทมนตร์ที่ใช้สำหรับเคลื่อนย้ายคุณไปยังสถานที่ซ่อนของอาจารย์
ITEM_20150714_005315	Kupole Vita's Purification Powder
ITEM_20150714_005316	ผงที่ประกอบไปด้วยวิญญาณบริสุทธิ์อันศักดิ์สิทธิ์ที่ Vita มอบให้ เพื่อใช้ชำระล้างวิญญาณชั่วร้าย
ITEM_20150714_005317	Contract Binded Remains
ITEM_20150714_005318	ยังคงผูกติดอยู่กับการทำสัญญากับปีศาจ ไม่ฟรีแม้กระทั้งความตาย
ITEM_20150714_005319	Brooch with Valius' magic
ITEM_20150714_005320	You can feel Valius' magic
ITEM_20150714_005321	Evil Energy Suppressing Seal
ITEM_20150714_005322	ตราประทับที่สร้างขึ้นโดย Valius มีอำนาจในการหยุดยั้งพลังงานชั่วร้าย
ITEM_20150714_005323	ม้วนกระดาษเวทมนตร์ที่สามารถดูดซับเพทริไฟด์ฟรอสทที่อ่อนแอ
ITEM_20150714_005324	Symbol of Silt
ITEM_20150714_005325	มอนสเตอร์ที่เป็นสัญลักษณ์ณ์ของเกราะอันอ่อนแอ ความเร็วในการเคลื่อนที่เพิ่มขึ้นเล็กน้อย
ITEM_20150714_005326	เครื่องตรวจจับที่ Cryomancer Kostas ร้องขอซึ่งทำให้ Krio maenseo Costas กลายเป็นหิน มันอาจจะเสียหายแล้ว
ITEM_20150714_005327	Monster Stimulant
ITEM_20150714_005328	ใช้มันกับมอนสเตอร์ที่อยู่ในถนมหลักซึ่งจะทำให้เหล่ามอนสเตอร์บ้าคลั่ง
ITEM_20150714_005329	Improved Time Bomb
ITEM_20150714_005330	ระเบิดอันทรงพลังที่สามารถทำให้เกิดความโกลาหลครั้งใหญ่หลังจากใช้ไประยะเวลาหนึ่ง
ITEM_20150714_005331	Sticky Fluid
ITEM_20150714_005332	Processed Bomb
ITEM_20150714_005333	Hardened Explosives
ITEM_20150714_005334	Royal Army Propaganda
ITEM_20150714_005335	โฆษณาชวนเชื่อเพื่อส่งเสริมให้ยอมแพ้แก่กองทัพหลวงเมื่อมีการก่อกบฎ 600 ปีที่ผ่านมา
ITEM_20150714_005336	ชิ้นส่วนวิญญาณจากลอร์ดปีศาจ Hauberk
ITEM_20150714_005337	วิญญาณ Hauberk ที่ถูกแบ่งออกมาเพื่อใช้ในการหลบหนี
ITEM_20150714_005338	พื้นของป้อมปราการที่สร้างขึ้นในเวลานั้นถูกสร้างอย่างเร่งรีบและมีการใช้ระเบิด ทำให้ง่ายต่อการร้องเรียน
ITEM_20150714_005339	ข่าวลือเกี่ยวกับสุสานที่กำลังก่อสร้างที่สามารถได้ยินเสียงของกษัตริย์ในโบสถ์
ITEM_20150714_005340	Reaction Stone
ITEM_20150714_005341	ฆ่ามอนสเตอร์หินและตอบรับตำแหน่งในตลาดสินค้า
ITEM_20150714_005342	Velas Grass
ITEM_20150714_005343	หญ้าหอมแข็งแกร่งที่ดึงดูดมอนสเตอร์ นำมันถูลงไปบนวัตถุนี้จะทำให้มอนสเตอร์ที่อยู่รอบๆวัตถุนี้และปกป้องพวกเขาจากอันตราย
ITEM_20150714_005344	Damaged Artifacts
ITEM_20150714_005345	สิ่งประดิษฐ์ที่ได้รับความเสียหายอย่างรุนแรงซึ่งรูปทรงเปลี่ยนแปลงไป
ITEM_20150714_005346	Silt Crystal
ITEM_20150714_005347	คริสตัลที่พบในมอนสเตอร์หินที่ไปสัมผัสน้ำค้างแข็ง ในขณะที่เกิดกระบวนการสร้างภูมิค้มกันบนเพทริไฟด์ฟรอสท
ITEM_20150714_005348	Magic Catalyst
ITEM_20150714_005349	ตัวเร่งปฏิกิริยาแรงม้าที่ได้รับจากมอนสเตอร์ซึ่งสัมผัสกับไอน้ำ
ITEM_20150714_005350	คำสั่ง Pas-de-warp ที่ให้เพื่อเป็นต้นแบบในอนาคตซึ่งพร้อมช่วยเหลือคุณหากพบปัญหา แต่ไม่สามารถกักตุนไว้มากเกินไปได้
ITEM_20150714_005351	มอนสเตอร์มีการเก็บสะสมเครื่องมือมากมายที่ขโมยจากมนุษย์ซึ่งเป็นไปได้ที่จะทำการค้นหาเครื่องมือบางชิ้นที่นี่เมื่อทำการค้นหาอย่างถูกวิธี
ITEM_20150714_005352	Monster Leather Paper
ITEM_20150714_005353	เยื่อแผ่นบางๆที่ใช้แทนกระดาษ
ITEM_20150714_005354	Red Poison Bottle
ITEM_20150714_005355	มันสามารถเปลี่ยนของเหลวในร่างกายเป็นกรด โปรดอย่าสัมผัสมัน
ITEM_20150714_005356	Acidic Body Fluid
ITEM_20150714_005357	ของเหลวในร่างกายของมอนสเตอร์ที่กลายเป็นกรด จงจัดการกับมันอย่างระมัดระวัง
ITEM_20150714_005358	Diluent
ITEM_20150714_005359	วิธีการแก้ปัญหาที่สามารถทำให้วัสดุที่มีพิษเจือจางลงเพื่อใช้สำหรับขอบเขตที่ตั้งใจไว้
ITEM_20150714_005360	Paralysis Needle
ITEM_20150714_005361	เข็มที่สามารถทำให้มอนสเตอร์เป็นอัมพาตได้
ITEM_20150714_005362	Stiff Hair
ITEM_20150714_005363	แปรงแบบหยาบที่ทำจากผมแข็งๆของมอนสเตอร์
ITEM_20150714_005364	Rough Brush
ITEM_20150714_005365	แปรงแบบหยาบที่ใช้ทำความสะอาดสถานที่
ITEM_20150714_005366	Craute Grass Juice
ITEM_20150714_005367	ของเหลวที่สกัดได้จากหญ้า Craute ซึ่งมอนสเตอร์ชอบมาก
ITEM_20150714_005368	Bone Powder
ITEM_20150714_005369	ผงกระดูกที่พบบ่อยสามารถนำมาใช้เพื่อทำเป็นของเหลวเหนียวที่จะใช้ในการยึดติดกับพื้นผิว
ITEM_20150714_005370	Special Ink
ITEM_20150714_005371	หมึกที่ได้จากหัวหน้านักเล่นแร่แปรธาตุ
ITEM_20150714_005372	ชิ้นส่วนของหลุมฝังศพที่ด้านแห่งโชคชะตาจะหยุดและนำทางคุณ
ITEM_20150714_005373	ชิ้นส่วนของหลุมฝังศพส่วนผนังของกษัตริย์จะทำให้ชีวิตยืนยาว
ITEM_20150714_005374	ชิ้นส่วนของหลุมฝังศพ เมื่อชีวิตจะเป็นเรื่องง่าย หากคุณคาบช้อนเงินมาเกิด
ITEM_20150714_005375	ชิ้นส่วนของหลุมฝังศพที่ซึ่งหลังจากที่ความตายจางหายไป จะยังคงมีโลกอยู่เสมอ
ITEM_20150714_005376	Important Tombstone Rubbing
ITEM_20150714_005377	"ชิ้นส่วนของหลุดศพที่ออราเคิล Adrijus ที่อยู่น้ำตก Nuoridin มอบให้แก่คุณ มันถูกเขียนโดยออราเคิลอีกคนนานมาแล้วไว้ว่า ""หลังจากที่ความตายจางหายไป จะยังคงมีโลกอยู่เสมอ"""
ITEM_20150714_005378	Flat Stone
ITEM_20150714_005379	ชิ้นส่วนของหินที่ใช้ทำหัวพลั่วชั้นดี
ITEM_20150714_005380	Wooden Stick
ITEM_20150714_005381	ไม้ที่เหมาะสำหรับใช้ทำเป็นด้ามค้อน
ITEM_20150714_005382	Crude Shovel
ITEM_20150714_005383	พลั่วที่ทำขึ้นมาแบบหยาบๆดูเหมือนจะไม่ทนทาน และพร้อมจะพังเมื่อเกิดการใช้งาน
ITEM_20150714_005384	Transposed Small Inscription
ITEM_20150714_005385	จารึกเล็กๆที่ได้มาจากหลุมศพที่ผุพังที่สวนในวิหาร Namyu
ITEM_20150714_005386	Tombstone Fragment
ITEM_20150714_005387	ชิ้นส่วนหินที่น่าจะมาจากหลุมศพ
ITEM_20150714_005388	Hunting Basket
ITEM_20150714_005389	ตะกร้าที่เต็มไปด้วยกับดับที่ช่างตีเหล็กมอบให้คุณ หากเขย่ามัน มันอาจจะพังได้นะ!
ITEM_20150714_005390	Sticky Resin
ITEM_20150714_005391	ของเหลวเหนียวที่ได้รับจากมอนสเตอร์ซึ่งสามารถใช้เป็นกาวได้
ITEM_20150714_005392	Dry Bush
ITEM_20150714_005393	แปรงแห้งๆ ที่ถูกมัดรวมกันซึ่งดูเหมือนน่าจะเผาไหม้ได้อย่างดี
ITEM_20150714_005394	Gooey Oil
ITEM_20150714_005395	น้ำมันที่ได้จากมอนสเตอร์
ITEM_20150714_005396	บันทึกเกี่ยวกับจารึกบนหลุดฝังศพในซากปรักหักพังของวิหาร Namu ที่บันทึกโดย Itebaras
ITEM_20150714_005397	Bone Fragments
ITEM_20150714_005398	ชิ้นส่วนกระดูกจากนักธนู Halloventor มันสามารถนำมาใช้เป็นสารป้องกันการเกิดสนิมได้
ITEM_20150714_005399	Metal Plate
ITEM_20150714_005400	แผ่นโลหะที่ Justas ค้นหาอยู่
ITEM_20150714_005401	Rusty Metal Plate
ITEM_20150714_005402	แผ่นโลหะที่ Justas ค้นหาซึ่งขึ้นสนิมเนื่องจากถูกางทิ้งไว้ที่บ่อน้ำเป็นเวลานาน
ITEM_20150714_005403	Magnet on a Rope
ITEM_20150714_005404	เชือกและแม่เหล็กที่ Justas มอบให้ ถ้าคุณผูกมันไว้กับระบบลูกรอก คุณจะได้รับแผ่นโลหะที่ด้านล่างก็เป็นได้
ITEM_20150714_005405	Hallowventor Magician Inner Core
ITEM_20150714_005406	สารสกัดที่ได้จากมอนสเตอร์ที่พ่ายแพ้
ITEM_20150714_005407	Rust Powder
ITEM_20150714_005408	ผงสนิมที่หลุดออกแผ่นโลหะขึ้นสนิมซึ่งมอนสเตอร์บางตัวจะตอบสนองกับมัน
ITEM_20150714_005409	Bubbling Liquid
ITEM_20150714_005410	ของเหลวที่เป็นฟอง ที่สามารถนำมันไปผสมกับสารละลายที่เป็นกรดจะได้รับกรดสนิม
ITEM_20150714_005411	แผ่นโลหะที่ Alwida ต้องการ
ITEM_20150714_005412	น้ำกรดที่ Alwida มอบให้คุณ มันสามารถกัดกร่อนแผ่นโลหะได้
ITEM_20150714_005413	แผ่นโลหะสภาพดีที่ถูกวางใต้ต้นองุ่น
ITEM_20150714_005414	ไม้เท้าที่ได้จากมอนสเตอร์ มันเป็นโลหะชนิดพิเศษ
ITEM_20150714_005415	Strangly Energized Stone
ITEM_20150714_005416	หินที่มีออร่าปกติ สามารถนำมันมาขัดถูไม้จะสามารถสร้างแกนตรวจจับได้
ITEM_20150714_005417	Detection Rod
ITEM_20150714_005418	แกนตรวจจับที่สามารถหาแผ่นโลหะซึ่งทำแบบหยาบๆและดูเหมือนว่ามันจะถูกสร้างขึ้นได้ไม่นานนัก
ITEM_20150714_005419	แผ่นโลหะที่พบ ด้วยแกนตรวจจับ
ITEM_20150714_005420	บันทึกการวิจัยของ Demetrius
ITEM_20150714_005421	Alwida's Research Results
ITEM_20150714_005422	ผลงานวิจัยทั้งหมดของ Alwida
ITEM_20150714_005423	Food
ITEM_20150714_005424	Coagulant
ITEM_20150714_005425	สารสร้างตะกอนที่ช่างเหล็กมอบให้คุณ
ITEM_20150714_005426	Copy of the Nuoridin Falls Prophecy
ITEM_20150714_005427	สำเนาของคำทำนาย Nuoridin Falls ที่ Adrius มอบให้คุณ
ITEM_20150714_005428	Rubbing Tool Pouch
ITEM_20150714_005429	เครื่องมือสำหรับการจารึกจากหลุมฝังศพ
ITEM_20150714_005430	Ink Fixative
ITEM_20150714_005431	น้ำยาเคลือบตัวอักษรบนหลุมผังศพ
ITEM_20150714_005432	Rambear Fur
ITEM_20150714_005433	ขนสัตว์สีขาวที่ตัดจาก Rambear ซึ่งมีสีเทาแซมด้วย
ITEM_20150714_005434	Vaidotas' Special Incense Burner
ITEM_20150714_005435	ภาชนะที่ Vaidotas ใช้สำหรับจุดกำยานซึ่งกลิ่นของมันทำให้เหล่าVubbe อ่อนแอลงได้
ITEM_20150714_005436	สารเคมีที่ทำให้เหล่า Vubbes  เกิดภาพหลอน เพื่อกันพวกมันให้อยู่ห่างจากประตูทางเข้า
ITEM_20150714_005437	Moa Lump
ITEM_20150714_005438	ถุงที่มีกลิ่นแย่มากจาก Moa
ITEM_20150714_005439	Fisherman Eye
ITEM_20150714_005440	ตาของชาวประมงที่ให้ความรู้สึกเหมือนมันจ้องมองที่คุณตลอดเวลา
ITEM_20150714_005441	Ellom Essence
ITEM_20150714_005442	ส่วนประกอบที่ใกล้ตายที่ค่อนข้างเหนียวที่พบในร่างกายของ Ellom
ITEM_20150714_005443	Odd Fish Stringer
ITEM_20150714_005444	ทำจากส่วนประกอบของ Ellom และตาของชาวประมง
ITEM_20150714_005445	Spirit Eye
ITEM_20150714_005446	ดวงตาที่มองเห็นวิญญาณที่ซ่อนอยู่ มันถูกสร้างขึ้นโดย Bokor จากการร้องขอของผู้บัญชาการอัศวิน Uska ที่กำลังสืบสวนการหายตัวไปเกี่ยวกับการตลาด Klaipeda
ITEM_20150714_005447	Tini Essence
ITEM_20150714_005448	ส่วนผสมที่จำเป็นเพื่อทำตุ๊กตาฟาง
ITEM_20150714_005449	Orb of Comfort
ITEM_20150714_005450	ลูกแก้วที่เตรียมโดยหัวหน้า Bokor เพื่อปลอบจิตวิญญาณของคนที่ถูกฆ่าที่หมู่บ้าน Andale
ITEM_20150714_005451	Full Orb of Comfort
ITEM_20150714_005452	ลูกแก้วบรรเทาทุกข์ที่สามารถปลอบจิตวิญญาณของคนที่ถูกฆ่าที่หมู่บ้าน Andale
ITEM_20150714_005453	Power Crystal
ITEM_20150714_005454	คริสตัลที่ซึ่งมีพลังแห่งเทพธิดา  Saule เพื่อใช้ชำระล้างป่าหนาม
ITEM_20150714_005455	Frost Crystal
ITEM_20150714_005456	เครื่องมือเวทมนตร์ของหัวหน้า Cryomancer  มันสามารถตรึงวิญญาญของเหล่ามอนสเตอร์ได้
ITEM_20150714_005457	Frozen Soul Fragment
ITEM_20150714_005458	ส่วนของจิตวิญญาณมอนสเตอร์ที่ถูกผนึกไว้ในคริสตัลแข็ง
ITEM_20150714_005459	Pure Frost Crystal
ITEM_20150714_005460	ส่วนประกอบที่จำเป็นสำหรับการทดสอบของหัวหน้า Cryomancer
ITEM_20150714_005461	Zubeck's Orb
ITEM_20150714_005462	ลูกแก้วที่ทำโดย Zubeck ที่ใช้ค้นหาที่ซ่อนความลับของเขา
ITEM_20150714_005463	Goddess Austeja's Scripture
ITEM_20150714_005464	คัมภีร์ที่จำเป็นสำหรับการซ่อมแซมหอปิดผนึกในดินแดน Uskis
ITEM_20150714_005465	Bomb Weed
ITEM_20150714_005466	Resounding Bomb Materials
ITEM_20150714_005467	น้ำยาที่กองทัพหลวงใช้สร้างวัตถุระเบิดที่ส่งเสียงดังกึกก้อง
ITEM_20150714_005468	Resounding Bomb
ITEM_20150714_005469	ระเบิดที่มีพลังการทำลาสยล้างต่ำแต่สร้างเสียงรบกวนดังมาก
ITEM_20150714_005470	Dud Bomb
ITEM_20150714_005471	ระเบิดที่พบในพื้นที่ด่านหน้าซึ่งดูเหมือนว่ามันจะเป็นระเบิดด้าน
ITEM_20150714_005472	Dud Bomb Removal Tool Box
ITEM_20150714_005473	กล่องเครื่องมือที่ใช้สำหรับเคลื่อนย้ายระเบิด
ITEM_20150714_005474	Wedge Needle
ITEM_20150714_005475	ตัวอย่างของเข็มพิษที่ใช้ในการโจมตีพระซึ่งหัวหน้านักล่าสามารถค้นพบมันได้
ITEM_20150714_005476	ยาถอนพิษที่นักล่ามักจะพกติดตัวไว้เสมอ มันสามารถใช้รักษาพิษทั่วไปได้ทันที
ITEM_20150714_005477	Working Trap
ITEM_20150714_005478	กับดักสภาพสมบูรณ์ของ Evoniphon
ITEM_20150714_005479	Scripture Sheet
ITEM_20150714_005480	แผนคัมภีร์อันมีค่าของพระ Wiley ซึ่งหายไปในช่วงโกลาหล
ITEM_20150714_005481	Tempas Mushroom
ITEM_20150714_005482	เห็ดที่พบได้ในป่าหนาม ดูเหมือนว่าต้องทำให้สุกจะกินได้
ITEM_20150714_005483	Rocktor's Stony Leg
ITEM_20150714_005484	ชิ้นส่วนขาของ Rocktor สามารถนำมาใช้ในอาวุธได้
ITEM_20150714_005485	Chafperor Thorn Venom
ITEM_20150714_005486	หนามที่พบบนแขนของ Chafperor ซึ่งพิษไหลเยิ้มออกมากจากมัน
ITEM_20150714_005487	Toxic Thorn Tree Stump Goo
ITEM_20150714_005488	ต้นไม้หนามที่เติบโตบนพลังงานชั่วร้ายซึ่งหนามของมันมีพิษ
ITEM_20150714_005489	Spring Water Venom
ITEM_20150714_005490	น้ำจากฤดูใบไม้ผลิที่ถูกปนเปื้อนด้วยสารพิษ
ITEM_20150714_005491	Precipitation Bowl
ITEM_20150714_005492	ชามที่ใช้ในการสกัดสารพิษออกจากน้ำปนเปื้อน ซึ่งมันจะมีหลุดเพื่อใช้เก็บรวบรวมพิษดังกล่าว
ITEM_20150714_005493	Woodluwa Leaf
ITEM_20150714_005494	ใบทิ่อยู่ส่วนหัวของ Woodluwa มันสามารถนำมาใช้เป็นส่วนผสมของยาถอนพิษ
ITEM_20150714_005495	Chevas' Medicinal Herb
