QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150511_002004	"Name: Hayraven{nl}Sex: Male{nl}Occupation: Merchant{nl}List of items: luxurious goods, weapons {nl}{nl}In accordance with kingdom laws, you may enter."	ชื่อHayraven{nl}เพศ:ชาย{nl}อาชีพ: พ่อค้า{nl}รายชื่อไอเทม: สินค้าหรูหรา อาวุธ{nl}{nl}ถูกกฏหมายตามราชอาณาจักรกำหนด เจ้าเข้าไปได้
QUEST_20150511_002005	"If you're seeing this you either didn't pay me in full or did something I told you not to do. {nl}I have cursed this letter. {nl}I've no idea what's gonna happen to you from now on, but know that my curse is absolute."	หากเจ้าเห็นสิ่งนี้เจ้าอาจจะไม่ชดใช้ข้าได้ทั้งหมดหรือทำบางอย่างที่ข้าบอกเจ้าว่าอย่าทำ{nl}ข้าได้สาปจดหมายนี้ไว้ {nl}ข้าไม่สามารถบอกเจ้าได้ว่าจะมีอะไรเกิดขึ้นกับเจ้าหลังจากนี้ แต่รู้ไว้ว่าคำสาปของข้ามันเป็นจริงแน่นอน
QUEST_20150511_002006	The one who fell while researching. {nl}Return to the goddess by becoming a part of the canyon. {nl}The saddened mind breaks the gold stones of the canyon and the poured alcohol soaks into the ground on behalf of the tears.	มีใครคนหนึ่งที่ล้มเลิกการค้นหา {nl}และกลับไปที่หุบเขาเพื่อเข้าเฝ้าเทพธิดา{nl}ด้วยความคิดที่โศกเศร้าได้ทำให้หินสีทองนั้นแตกออกและเทเหล้ารดลงบนพื้นดินแทน้ำตา
QUEST_20150511_002007	"Eventually, Ruklys had failed. {nl}He was destroyed and broken by those who were jealous of him. {nl}He left the goddess in my hands. {nl}"	ในที่สุด Ruklys ก็พลาด{nl}เขาถูกทำลายด้วยผู้ที่มีความอิจฉาเขา{nl}เขาได้ทิ้งนักบวชเจ้าไว้ในมือของข้า
QUEST_20150511_002008	"Every object possess the inner strength of its possessor. {nl}And to add to the magical interpretations on that, they could also transform the shapes of their possessors. {nl}Objects belonging to demons could do it with relative ease. (The same applies to the sacred areas, but don't even dare doing that in those places.)"	ทุกวัตถุมันมีความแข็งแรงอยู่ภายใน {nl}เพิ่มพลังเวทย์เข้าไปในมันเพื่อเปลี่ยนรูปร่าง{nl}วัตถุที่อยู่ในตัวของปีศาจสามารถทำมันขึ้นมาได้ (เหมือนกับเขตแดนศักดิ์สิทธิ์ แต่มันทำไม่ได้กับสถานที่นั้น)
QUEST_20150511_002009	But that's still just a theory despite the efforts of many frontiers. {nl}The possessor's inner strength and interpretations can never be fully understood if it were not for the possessor himself. {nl}That's why we hope for the blessing from the goddess or the wisdom from the possessor for the knowledge we lack.	แต่ที่ยังคงเป็นเพียงทฤษฎีแม้ว่าจะลองทำในหลายๆที่{nl}มันเข้าใจได้ยากหากไม่เคยได้ลองใช้ด้วยตัวเอง{nl}นั่นเป็นเหตุผลที่เราขอพรจากเทพธิดาหรือความรู้ในการทำมันพวกเราขาดความรู้
QUEST_20150511_002010	"I shall name you Revelator, my representative sent out to seek help from others. {nl}We can't be deceived any more. {nl}We have to protest against the violence behind the mask that claims to protect us."	ข้าจะเผยชื่อเจ้า ผู้หยั่งรู้ ตัวแทนของข้าจะส่งไปช่วยค้นหาจากสิ่งต่างๆ {nl}พวกเราไม่สามารถตัดสินใจอะไรได้มากกว่านี้{nl}พวกเราจะต่อต้านความรุนแรงภายใต้หน้ากากและจะปกป้องมัน
QUEST_20150511_002011	We believe your help is the main factor to our success so that our efforts will not have been in vain.	พวกเราเชื่อว่าการช่วยเหลือของเจ้าจะเป็นปัจจัยหลักให้ประสบความสำเร็จและมันจะไม่สูญเปล่า
QUEST_20150511_002012	We've finally arrived in front of the Zachariel's Royal Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it. {nl}I believe only this place can answer the question I've had in my mind for a long time.	พวกเรามาถึงสุสานหลวง Zachariel แล้ว{nl}เขาเป็นกษัตริย์คนแรกของอาณาจักรนี้ที่ใช้คนจำนวนมากในการสร้าง{nl}พวกเราเชื่อว่ามันเป็นสถานที่ที่สามารถให้คำตอบกับคำถามที่อยู่ในใจข้าเป็นเวลานานได้
QUEST_20150511_002013	"What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter."	อะไรคือสิ่งที่เขาพยายามที่จะปกป้องด้วยสุสานหลวงขนาดใหญ่นี้?{nl}คำตอบอยู่ด้านในแล้ว แต่ชั้นบรรยากาศภายในมันทำให้ข้าลังเล
QUEST_20150511_002014	"There's something inside the dark tomb.{nl}As I advanced inside, the large stone statues all turned to look down at me and then chased me out. {nl}I guess the great king in the past is still the great king in the present. {nl}I better investigate from the pillar outside of the Royal Mausoleum."	บางสิ่งอยู่ในสุสานมืด{nl}ข้าเข้าไปด้านใน รูปปั้นขนาดใหญ่หันมองลงมาที่ข้า ทำให้ข้าต้องออกมา{nl}ข้าเดาว่ากษัตริย์ที่ยิ่งใหญ่ในอดีตนั้นปัจจุบันก็ยังเป็นเช่นนั้น{nl}ข้าคิดว่าเป็นการดีกว่าในการสำรวจเสาทางด้านนอกของสุสานหลวง
QUEST_20150511_002015	"With the help from a young, kind historian, I was able to find a big clue. {nl}Yes. The best place to hide a tree is in a forest. {nl}Ruko Plateau and King's Plateau... I'm so close I can almost touch it. {nl}I'm confident the goddess sent him to me. May the blessing of the goddess always be with us!"	การช่วยเหลือจากชายหนุ่ม ข้าสามารถหาเบาะแสขนาดใหญ่ได้{nl}ใช่มันเป็นสถานที่สุดยอดที่ซ่อนอยู่ในป่า{nl}Ruko Plateau และ กษัตริย์ Plateau... ข้าเกือบสัมผัสได้ {nl}ข้ามั่นใจเทพธิดาที่ส่งเขามาให้ข้า อาจจะมีคำอวยพรจากเทพธิดามาให้เรา
QUEST_20150511_002016	Some pillars unlock the tomb{nl}and some altars lock it.{nl}The magical energy that surrounds{nl}the tomb moves by a key.{nl}But none among us can be that key. {nl}We were not Chosen.	เสาสุสานบางอันนั้นถูกปลดออก{nl}และบางแท่นบูชานั้นถูกล๊อค{nl}พลังเวทย์นั้นมีอยู่รอบๆ{nl}หลุ่มศพเคลื่อนไหวได้โดยกุญแจ{nl}แต่ไม่มีใครในหมู่เราที่มีกุญแจ{nl}พวกเราไม่ได้รับเลือก
QUEST_20150511_002017	"The curse disturbs the rules of the universe that are being controlled by the goddess through human greed. {nl}These rules in the human world get influenced by the personalities of each person, their abilities and their potential power. {nl}The cases when these abilities get released depend on the conditions above."	คำสาปได้รบกวนกฏของจักรวาลและเริ่มควบคุมโดยเทพธิดาส่งผ่านที่ถึงมนุษย์อันโลภมาก{nl}กฏในโลกมนุษย์ได้รับอิทธิพลโดยบุคลิกของแต่ละคน ความสามารถและพรสวรรค์ของพวกเขา{nl}กรณีนี้จะได้รับความสามารถจะถูกปลดปล่อยขึ้นอยู่กับเงื่อนไขด้านบน
QUEST_20150511_002018	"According to the old writing left on the Great Cathedral, that is using a small part of the goddess' abilities secretly. {nl}Some people say that after seducing the weak minds of people, the demons used them for the source of the curse. {nl}May the goddess bless you!"	ตามที่เขียนความเก่าแก่ไว้ที่  Great Cathedral มันเป็นส่วนเล็กของความสามารถเทพธิดา{nl}บางคนกล่าวว่าหลังจากจิตใจที่อ่อนแอของผู้คน พวกปีศาจใช้โอกาสนี้ในการใช้คำสาป{nl}เทพธิดาคุ้มครอง!
QUEST_20150511_002019	There are two ways to release the curse: {nl}Remove the curse using a greater power or eliminate its caster. {nl}	มีสองทางที่จะปลดปล่อยคำสาป{nl}กำจัดออกโดยพลังที่เหนือกว่าหรือกำจัดผู้ร่าย
QUEST_20150511_002020	"Removing the curse using a greater power: {nl}This way depends on whether the power that overwhelms the curse comes from good or evil and from darkness or light.{nl}{nl}The most important factor for eliminating the caster: {nl}Even after eliminating the caster, the curse may not be removed due to other factors.{nl}{nl}I have no doubt that the power of the goddess is stronger."	กำจัดคำสาปด้วยพลังที่เหนือกว่า: ขึ้นอยู่กับพลังคำวาปมาจากสิ่งที่ดีหรือความชั่วร้ายและมาจากด้านมืดหรือด้านสว่าง{nl}{nl}มันเป็นสิ่งสำคัญมากสำหรับปัจจัยในการจำกัดผู้ร่าย: {nl}แม้ว่าหลังจากผู้ร่ายได้ถูกทำลายแล้ว คำสาปยังไม่หายไปจากปัจจัยนี้{nl}{nl}ข้ามีข้อสงสัยกับพลังของเทพธิดานี้ว่าแข็งแกร่งหรือไม่
QUEST_20150511_002021	"There are mainly two ways to spread the curse. {nl}First, using equipment and uttering simple words. It sounds easy but it is, in fact, the hardest way. {nl}Therefore, from the example of the Pilgrim's Way, we mainly use the cursed ones as the mediums to spread the curse."	ในสองทางที่ยกคำสาปออก{nl}อันดับแรกใช้อุปกรณ์และเปล่งคำง่ายๆ ออกเสียงง่ายๆแต่มันเป็นปัจจัยที่ยากมากในวิธีนี้ {nl}ดังนั้นจากตัวอย่างเส้นทางเหล่านักบวช พวกเราใช้คำสาปขนาดกลางในการแยกคำสาป
QUEST_20150511_002022	"When a caster makes a curse, the caster has a tremendous influence on the mind of the victim. Their ego usually can't endure the feeling of guilt this causes. {nl}It seems the magic that was used on the cursed city of Ruklys is of a higher level than the one used on Naktis. We need to look into it more."	เมื่อผู้ร่ายใช้คำสาป ผู้ร่ายจะมีอิทธิพลสำหรับจิตใจของเหยื่อ พวกเขามักจะไม่ทนกับความรู้สึกของคำสาป{nl}เหมือนเวทมนตร์คำสาปของ Ruklys จะดูเหนือกว่าของ Naktis พวกเราต้องการให้มองมันมากกว่านี้
QUEST_20150511_002023	Varkis' Complete Research Materials	Varkisทำการวิจัยวัสดุสำเร็จ
QUEST_20150511_002024	First Research Material{nl}-{nl}We've finally arrived in front of the Great King Zachariel's Royal Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it.{nl}I believe only this place can answer the question I've had in my mind for a long time.	เบื้องต้นการวิจัยวัสดุ{nl}-{nl}กวเรามาถึงด้านหน้าของสุสานหลวง Zachariel{nl}เขาเป็นกษัตริย์ของราชอาณาจักรที่ใช้คนจำนวนมากในการสร้างมัน{nl}พวกเราเชื่อว่ามันเป็นสถานที่ที่สามารถตอบคำถามที่ค้างคาใจข้าอยู่มาเป็นระยะเวลานานได้
QUEST_20150511_002025	"What was he trying to protect with this gigantic Royal Mausoleum? {nl}The answer must be inside, but the bleak atmosphere the interior exudes makes me hesitate to enter."	อะไรคือสิ่งที่เขาพยายามที่จะปกป้องด้วยสุสานหลวงขนาดใหญ่นี้?{nl}คำตอบอยู่ด้านในแล้ว แต่ชั้นบรรยากาศภายในมันทำให้ข้าลังเล
QUEST_20150511_002026	"Second Research Material{nl}-{nl}There's something inside the dark tomb.{nl}As I advanced inside, the large stone statues all turned to look down at me and then chased me out. {nl}I guess the great king in the past is still the great king in the present. {nl}I better investigate from the pillar outside of the Royal Mausoleum."	การวิจัยวัสดุลำดับที่สอง{nl}-{nl}บางสิ่งอยู่ในสุสานมืด{nl}ข้าเข้าไปด้านใน รูปปั้นขนาดใหญ่หันมองลงมาที่ข้า ทำให้ข้าต้องออกมา{nl}ข้าเดาว่ากษัตริย์ที่ยิ่งใหญ่ในอดีตนั้นปัจจุบันก็ยังเป็นเช่นนั้น{nl}ข้าคิดว่าเป็นการดีกว่าในการสำรวจเสาทางด้านนอกของสุสานหลวง
QUEST_20150511_002027	"Third Research Material{nl}-{nl}With the help from the young, kind historian, I was able to find a big clue. {nl}Yes. The best place to hide a tree is in a forest. {nl}Ruko Plateau and the King's Plateau... I'm so close I can almost touch it. {nl}I'm confident the goddess sent him to me. May the blessing of the goddess always be with us!"	การวิจัยวัสดุลำดับที่สามl{nl}-{nl}การช่วยเหลือจากชายหนุ่ม ข้าสามารถหาเบาะแสขนาดใหญ่ได้{nl}ใช่มันเป็นสถานที่สุดยอดที่ซ่อนอยู่ในป่า{nl}Ruko Plateau และ กษัตริย์ Plateau... ข้าเกือบสัมผัสได้ {nl}ข้ามั่นใจเทพธิดาที่ส่งเขามาให้ข้า อาจจะมีคำอวยพรจากเทพธิดามาให้เรา
QUEST_20150511_002028	Fourth Research Material{nl}-{nl}Some pillars unlock the Royal Mausoleum and some altars lock it. {nl}The magical energy that surrounds the tomb moves by the key. {nl}But none can be that key. {nl}We are not chosen.	การวิจัยวัสดุลำดับที่สี่{nl}-{nl}เสาสุสานบางอันนั้นถูกปลดออก{nl}และบางแท่นบูชานั้นถูกล๊อค{nl}พลังเวทย์นั้นมีอยู่รอบๆ{nl}หลุ่มศพเคลื่อนไหวได้โดยกุญแจ{nl}แต่ไม่มีใครในหมู่เราที่มีกุญแจ{nl}พวกเราไม่ได้รับเลือก
QUEST_20150511_002029	"A wish would come true if we make a pot and put the wish in it. {nl}I understand that it's tradition, but for now, restoring Fedimian back to its former glory is more important than that."	ความปรารถนาที่แท้จริงถ้าเราทำหม้อและในความปรารถนาเข้าไป{nl}ข้าเข้าใจว่ามันเป็นประเพณี แต่บัดนี้ Fedimianได้ฟื้นฟูกลับมาใหม่แล้วมันเป็นรุ่งเรืองเหมือนในอดีต
QUEST_20150511_002030	I cannot guarantee the safety of other Holy Relics or the keys so you best hurry.	ข้าไม่สามารถรับรองความปลอดภัยของนักบวชธาตุศักดิ์สิทธิ์หรือกุญแจดังนั้นเจ้าควรเร่งมือให้มากกว่านี้
QUEST_20150511_002031	"I'm just listening! I'm not going to do what you say! {nl}I don't think wheat will grow here no matter what kind of magic you use. {nl}I need to look for my son's body, so you better keep it short!"	ข้าแค่ฟังเฉยๆ! ข้าจะไม่ทำตามที่เจ้าพูด{nl}ข้าไม่คิดว่าข้าวสาลีมันจะเติบโตจากเวทมนตร์ที่เจ้าใช้ {nl}ข้าต้องการมองหาร่างของลูกชายข้า เจ้ารักษามันให้ดี
QUEST_20150511_002032	The picture of the essence is drawn on the old surface.	ภาพที่สำคัญวาดลงบนพื้นผิวเก่าๆ
QUEST_20150511_002033	The Eternal Adventure	การผจญภัยชั่วนิรันดร์
QUEST_20150714_002034	"Well, you're a new face. Did Julian send you?"	ดี เจ้าเป็นหน้าใหม่สินะ  Julian ส่งเจ้ามาเหรอ?
QUEST_20150714_002035	Yeah. There's something weird about Goddess Laima. {nl}No one seems to know when she disappeared. {nl}To be honest nobody seems to really know whether or not she actually is a goddess.	ใช่ มันมีบางสิ่งที่แปลกเกี่ยวกับเทพธิดา Laima{nl}ด้วนความสัตย์จริง ดูเหมือนไม่มีใครรู้ว่านางหายไป{nl}ไม่มีใครรู้ว่านางนั้นยังอยู่หรือไม่
QUEST_20150714_002036	She has never appeared before. {nl}Although I've read somewhere that she does appear every now and then...	นางไม่เคยปรากฏก่อนหน้านี้{nl}ถึงแม้ข้าจะพอรู้บ้างแต่เหมือนนางจะปรากฏไปทุกๆที่แล้ว
QUEST_20150714_002037	"Even though it would be bad for my business, {nl}I wish I could just live peacefully rather than live in fear of monsters coming at any moment."	ถึงแม้มันจะไม่มีกับเรื่องของข้า{nl}ข้าปรารถนาที่ว่าจะมีชีวิตอยู่แบบสงบสุขในช่วงเวลาอันเลวร้ายกับสัตว์ประหลาดในช่วงนี้
QUEST_20150714_002038	"Welcome! {nl}While I can do basic repairs, I don't have the materials to create anything. {nl}Take a look at what I have."	ยินดีต้อนรับ{nl}ข้าสามารถซ่อมแซมเบื้องต้นให้กับสิ่งของของเจ้าได้ ข้าไม่มีวัสดุที่จะสร้างอะไรได้หรอก {nl}ลองเข้ามาดูสิว่าข้ามีอะไรบ้าง.
QUEST_20150714_002039	"When all is said and done, I don't lie about my prices. {nl}Everything I sell is priced honestly and accordingly."	เมื่อไรที่ข้าพูดเกี่ยวกับทุกสิ่ง ข้าไม่โกหกเรื่องราคา{nl}ทุกสิ่งที่ขายนี้เป็นราคาที่ยุติธรรมและตรงไปตรงมา
QUEST_20150714_002040	Fire is a grace sent to us by Goddess Gabija. {nl} You won't become a great Pyromancer if you don't acknowledge that.	ไฟที่มีเจ้าภาพได้ส่งมาโดยเทพธิดา Gabija {nl}เจ้าจะไม่กลายเป็น  Pyromancer ถ้าเจ้าไม่ได้มีความรู้เกี่ยวกับมัน
QUEST_20150714_002041	The goddesses may be all gone but my powers are still doing fine. {nl} I'm sure it's proof that Goddess Gabija is at least safe somewhere.	ถึงเทพธิดาจะละทิ้งไป แต่พลังของข้ายังคงอยู่ดี{nl}ข้าแน่ใจว่ามันเป็นการพิสูจน์จากเทพธิดา Gabija ยังปลอดภัยในที่ไหนสักแห่ง
QUEST_20150714_002042	"Killing enemies one by one from a distance is the beauty of the bow and arrow. {nl}It doesn't matter how many shots you have to take, the shots that actually hit {nl}are the ones that count."	ฆ่าศัตรูทีละตัวทีละตัวจากระยะไกลมันคือความงดงามของธนูและลูกศร{nl}มันไม่สำคัญว่าเจ้าจะยิงไปกี่ดอก แต่การยิงที่แท้จริงคือการเข้าเป้าหรือไม่
QUEST_20150714_002043	Monk Lotze	Monk Lotze
QUEST_20150714_002044	I'll do whatever it takes to take back the monastery from the monsters.	ข้าจะทำทุกทางเพื่อเอาอารามคืนจากพวกสัตว์ประหลาด
QUEST_20150714_002045	I dislike those Hunters. {nl}Outsiders must not interfere with the affairs of the monastery.	ข้าไม่ชอบพวก Hunter เลย{nl}ข้างนอกนั้นพวกเขาไม่ควรมายุ่งกับที่วัด
QUEST_20150714_002046	Monk Zidas	Monk Zidas
QUEST_20150714_002047	It would do us good if everyone stopped being so stubborn. {nl}I am sure the Hunters will be a great help in retaking the monastery...	มันจะดีถ้าทุกคนเลิกปากแข็ง{nl}ข้ามั่นใจว่าพวก Hunter จะช่วยได้มากในการยึดอารามคืนมา
QUEST_20150714_002048	I don't like how everyone is insisting their opinions to be right. {nl}It would be great if we helped each other.	ข้าไม่ชอบเลยที่ทุกคนเอาแต่คิดว่าความเห็นของตนเองถูกต้อง{nl}มันจะยอดเยี่ยมกว่านี้ถ้าเราช่วยเหลือซึ่งกันและกัน
QUEST_20150714_002049	Monk Ortega	Monk Ortega
QUEST_20150714_002050	I don't like those Hunters. {nl}Especially the one called Natasha. I don't know why she is bothering Potos...	ข้าไม่ชอบพวก Hunter เลย{nl}โดยเฉพาะอย่างยิ่ง Natasha ข้าไม่เข้าใจว่าทำไมนางชอบไปรบกวน Potos
QUEST_20150714_002051	I'll make my preparations to retake the monastery from here. {nl}I could ask for the Hunters to lend me their power but... they're so cold-hearted.	ข้ากำลังเตรียมตัวของข้าให้พร้อมสำหรับการยึดอารามคืน {nl}ข้าอาจจะสอบถามพวก Hunter ว่าให้ข้ายืมพลังของพวกเขามาช่วยเหลือ...แต่ พวกเขาเลือดเย็น และไร้ความเมตตา
QUEST_20150714_002052	"According to the priests, Laima is the goddess of fate and foresight. {nl}If Laima really exists, wouldn't she know the world would turn out like this?"	ตามที่นักบวชกล่าวไว้ Laima เป็นเทพธิดาแห่งโชคชะตาและทำนายอนาคต{nl}ถ้า Laima มีอยู่จริงนางจะไม่รู้เหรอว่าโลกจากเปลี่ยนไปแบบนี้
QUEST_20150714_002053	"It's been a year since the civil war broke out. Prices in town have risen dramatically. {nl}Commander Ruklys has sent for aid, to restore the town's dwindling supplies."	ตั้งแต่สงครามกลางเมืองเกิดขึ้น ราคาสินค้าในเมืองก็สูงขึ้น{nl}นายพล Ruklys ได้ส่งการช่วยเหลือในการฟื้นฟูเมืองที่ขาดแคลนเสบียง
QUEST_20150714_002054	It's been a while since we've had any good news. {nl}There's talk about King Kadumel going after the commander.	เหมือนจะได้รับข่าวดี{nl}พูดถึงเกี่ยวกับกษัตริย์ Kadumel หลังจากสั่งการแล้วกำลังเดินทางไป
QUEST_20150714_002055	The guard posts have been reinforced in response to the king's forces movements in the country.	ค่ายคุ้มกันได้รับการสนับสนุนจากการตอบรับของกองทัพกษัตริย์ที่เคลื่อนกำลังเข้ามาในเขตแดน
QUEST_20150714_002056	"It's been confirmed that the king commands a large army. {nl}But if General Hayatin can muster enough volunteer soldiers,{nl}the incompetent king will likely surrender or retreat."	มันได้รับการยืนยันแล้วว่ากษัตริย์ได้สั่งเคลื่อนพลกองกำลังขนาดใหญ่{nl}แต่ถ้า General Hayatin สามารถรวบรวมอาสาสมัครทหารได้มากพอ{nl}กองทัพกษัตริย์อาจจะล่าถอยหรือยอมแพ้ไป
QUEST_20150714_002057	The city is running out of food and supplies. {nl}There are only mice in the food storage and the city... {nl}{nl}(The rest is illegible.)	เมืองที่กำลังขาดแคลนทรัพยากรและอาหาร{nl}มีแต่หนูอยู่ที่คลังอาหารและในเมือง {nl}{nl}(ส่วนที่เหลืออ่านไม่ออก)
QUEST_20150714_002058	"Rumor has it that Ruklys has heard about the citizens' harsh conditions {nl}and is negotiating with Kadumel for their amnesty. {nl}{nl}If the commander wants, we could just stand still..."	ข่าวลือเกี่ยวกับว่า Ruklys ใช้ความรุนแรงกับประชาชน {nl}และมีการ เจรจาต่อรองกับ Kadumel   เกี่ยวกับการนิรโทษกรรม{nl}{nl}ถ้าผู้นำต้องการแบบนั้น พวกเราคงต้องยืนหยัดในจุดยืนของเรา
QUEST_20150714_002059	Premier Eminent is in talks with Commander Ruklys. {nl}We may have to move to the Fortress of the Land and let the Royal Army claim the city.	องคมนตรีพูดกับนายพล Ruklys{nl}พวกเราอาจจะเคลื่อนกำลังพลไปยังป้อมปราการของดินแดนและปล่อยให้ กองทัพหลวงเข้าทำการยึดเมือง
QUEST_20150714_002060	"It's good news for our the civilians at least. {nl}Despite the town being conceded, the Fortress of the Land will not be taken as easily."	อย่างน้อยมันก็เป็นข่าวดีสำหรับชาวเมืองอย่างเรา{nl}ที่ถึงแม้เมืองจะตกอยู่ในมือผู้อื่นแต่ป้อมปราการนั้นไม่สามารถยึดไปได้ง่ายๆแน่นอน
QUEST_20150714_002061	"King Kadumel is keen on persecuting the townspeople and burning the Fortress of the Land.{nl}The premier is pushing Commander Ruklys to negotiate terms, {nl}ensuring that the civilians are safe from enemy forces."	กษัตริย์ Kadumel ได้ข่มเหงทำร้ายประชาชนและเผาป้อมปราการของดินแดน{nl}องคมนตรีได้ผลักดันให้Commander Ruklys เข้าเจรจา{nl}เพื่อให้มั่นใจว่าประชาชนทั้งหลายจะปลอดภัยจากกองกำลังของศัตรู
QUEST_20150714_002062	"Despite the Royal Army occupying the town, there has yet to be any threatening movement. {nl}What's going to happen to us..."	แม้จะมีกองทัพอยู่ในเมือง แต่เหมือนยังไม่มีความเคลื่อนไหวอื่น{nl}มันจะมีอะไรเกิดขึ้นกับพวกเรานะ...
QUEST_20150714_002063	"As promised, I will cast magic on you that will protect you from the Petrifying Frost. {nl}But if you leave this region, this magic won't be as effective so be careful."	ตามสัญญาข้าจะร่ายเวทมนตร์คุ้มกันเจ้าจากการโดนแช่แข็ง {nl}แต่ถ้าเจ้าออกจากขอบเขตนี้ไป เวทมนตร์นี้จะไม่มีผล ดังนั้นจงระวังให้มาก
QUEST_20150714_002064	"There has been no progress since Ruklys' group retreated to the Fortress of the Land. {nl}The priests under Maven's direction are reluctant to fight, {nl}and the king is hiring mages by paying them a hefty sum."	ยังไม่มีความคืบหน้าใดเนื่องจากกลุ่ม Ruklys ได้ถอยกลับไปที่ป้อมปราการ {nl}นักบวชที่อยู่ใต้การนำของMaven มีความลังเลและไม่อยากต่อสู้{nl}และกษัตริย์ได้ว่าจ้างนักเวทย์ด้วยเงินจำนวนมาก
QUEST_20150714_002065	But we expect little to no progress at all even after their participation.	แต่เราคาดหวังเล็กน้อยว่าจะไม่มีการเคลื่อนไหวใดๆแม้พวกเขาจะเข้ามาร่วมมือภายหลัง
QUEST_20150714_002066	How could this happen?! {nl}Lydia Schaffen is aiding Kadumel's forces!	ทำไมมันถึงเกิดเรื่องแบบนี้ขึ้น?{nl}Lydia Schaffen เข้าร่วมกองทัพของ Kadumel !
QUEST_20150714_002067	"Lydia Schaffen, a person I've only heard of in rumors, came to the city with her followers. {nl}The officers and soldiers expect she'll change the tide of the battle. {nl}His Majesty ordered us to support her to the best of our ability."	Lydia Schaffen ข้าได้ยินข่าวลือมาว่านางมาที่เมืองพร้อมผู้ติดตาม{nl}เจ้าหน้าที่และทหารทั้งหลายหวังว่านางจะสามารถเปลี่ยนสถานการณ์ในการสู้รบได้{nl}กษัตริย์มีรับสั่งให้พวกเราสนับสนุนและช่วยเหลือเธอให้ให้เต็มกำลังความสามารถที่สุดที่เรามี
QUEST_20150714_002068	"Commander Ruklys has fallen in battle, and the Fortress of the Land has been taken. {nl}Some people say he was killed by Lydia Schaffen's arrow,{nl}while others say by the royal magicians' magic. {nl}{nl}It is indeed sad news."	Commander Ruklys ได้พ่ายแพ้ในการสู้รบและป้อมปราการถูกยึด{nl}บ้างก็ว่าเขาถูกฆ่าโดยลูกศรของ Lydia Schaffen{nl}ขณะที่บางคนก็บอกว่าเค้าถูกฆ่าโดยนักเวทย์ของกองทัพหลวงแต่อย่างไรก็ตามการจากไปของเขานั้น {nl}มันเป็นข่าวที่น่าเศ้รา
QUEST_20150714_002069	Propaganda of the Kingdom	โฆษณาชวนเชื่อของราชอาณาจักร
QUEST_20150714_002070	"Surrender by throwing away your weapons.{nl}It is indeed your fault that you've created the Fortress of the Land to stand against the kingdom, {nl}but the merciful King Kadumel will spare you."	ยอมแพ้ซะโยนอาวุธทั้งหมดของเจ้าทิ้งไป{nl}มันเป็นความผิดพลาดของเจ้าที่สร้างป้อมปราการนี้ขึ้นเพื่อต่อกรกับราชอาณาจักร{nlแต่ด้วยความเมตตาของ King Kadumel เค้าจะไว้ชีวิตเจ้า
QUEST_20150714_002071	"Only Premier Eminent, the chancellor of the great kingdom will forgive your treason. {nl}Surrender. You've been misled by the criminal, Ruklys."	Premier Eminentของราชอาณาจักรจะยกโทษให้กับเจ้าที่เป็นกบฏ{nl}ยอมแพ้ซะ เจ้าถูกหลอกใช้ โดยเจ้าวายร้าย Ruklys
QUEST_20150714_002072	Long live the great Royal Army! {nl}Long live the great Premier Eminent!	ทหารทัพหลวงจงเจริญ{nl}Premier Eminentจงเจริญ
QUEST_20150714_002073	"Even Lydia Schaffen, a friend of Ruklys, sided with the Royal Army. {nl}No one will stand on your side. {nl}With your hands, collapse the Fortress of the Land, the proof of your treason, {nl}and wave the white flag. {nl}{nl}The faithful Premier Eminent shall forgive all."	แม้กระทั่ง Lydia Schaffen เพื่อนของ Ruklys ก็ร่วมมือกับกองทัพหลวง {nl}ไม่มีใครยืนอยู่ข้างเจ้าอีกแล้ว{nl}ด้วยน้ำมือของเจ้าและซากป้อมปราการที่พังทลายเป็นหลักฐานการก่อกบฏของเจ้า{nl}โบกสะบัดธงขาวซะ{nl}{nl}องคมนตรีจะยกโทษให้เจ้าทั้งหมด
QUEST_20150714_002074	"Are you going to die with Ruklys who misled you with his malicious tricks,{nl}to create the Fortress of the Land to stand against the kingdom? {nl}{nl}Or live a new life by serving the king until the end by following the way of Premier Eminent,{nl}who protected the kingdom from the rebellion?"	"เจ้ากำลังจะไปตายกับ Ruklys ด้วยแผนที่อันตรายของเขา,{nl}เพื่อสร้างป้อมปราการขึ้นมาต่อกรกับราชอาณาจักรงั้นหรือ?{nl}{nl}หรือจะมีชีวิตใหม่โดยรับใช้องค์กษัตริย์โดยปฎิบัติตามแนวทางของ Premier Eminent{nl}ใครที่จะปกป้อง ราชอาณาจักรจากการก่อกบฎ?"
QUEST_20150714_002075	Records of the Rebel Army	ประวัติของกองทัพกบฏ
QUEST_20150714_002076	"As I was retreating from the Royal Army, I encountered many demons. {nl}It doesn't make sense. Where did they come from?"	ขณะที่ถอนกำลังจากทัพหลวง ข้าพบปีศาจจำนวนมาก{nl}ไม่รู้ว่าพวกมันมาจากไหนกันนักหนา
