QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20150317_002443	Draw out the oil from the oil barrels	เทน้ำมันจากถังน้ำมัน
QUEST_LV_0200_20150317_002444	"Villager Darren suspects Brewer Dorjen is going to burn down the forest in anger towards the monsters. Before you pacify Dorjen, draw out the oil from the barrels near Micolas Brewery."	Villager Darren สงสัยว่าคนต้มเหล้า Dorjen เป็นผู้เผาป่าด้วยความโกรธที่มีต่อมอนสเตอร์ นำน้ำมันออกจากถังใกล้ๆโรงเหล้า Micolas ก่อนที่คุณจะจะทำให้เขาสงบลง
QUEST_LV_0200_20150317_002445	Talk to Brewer Dorjen	พูดคุยกับคนต้มเหล้า Dorjen
QUEST_LV_0200_20150317_002446	You've drawn out all the oil from the oil barrels you found. Talk to Brewer Dorjen.	คุณได้นำน้ำมันทั้งหมดออกจากถังน้ำมันที่คุณพบสำเร็จ พูดคุยกับคนต้มเหล้า Dorjen
QUEST_LV_0200_20150317_002447	Remove the oil from the containers	นำน้ำมันจากภาชนะบรรจุ
QUEST_LV_0200_20150317_002448	"Brewer Dorjen, is angry after he found out that his plan of burning the forest was foiled. Soothe Dorjen."	คนต้มเหล้า Dorjen โกรธหลังจากเขาพบว่าแผนในการเผาไหม้ป่าถูกขัดขวาง จงทำให้ Dorjen สงบลง
QUEST_LV_0200_20150317_002449	Bring back Dorjen's Signature Mead from the Honey Wine Warehouse	นำเหล้าที่เป็นสัญลักษณ์ของ Dorjen กลับมาจากคลังไวน์น้ำผึ้งด้วย
QUEST_LV_0200_20150317_002450	Brewer Dorjen can't calm himself down and told you to bring back his signature mead from the Honey Wine Warehouse.	คนต้มเหล้า Dorjen ไม่สามารถสงบลงด้วยตัวเข้าเองได้และบอกให้คุณนำเหล้าที่เป็นสัญลักษณ์ของ Dorjen กลับมาจากคลังไวน์น้ำผึ้งด้วย
QUEST_LV_0200_20150317_002451	You've brought the mead in good condition. Hand it over to Dorjen.	คุณได้นำเหล้าที่ดี ส่งมอบมันให้กับ Dorjen
QUEST_LV_0200_20150317_002452	Brewer Dorjen seems to trust you a lot now. Listen to what he has to say.	คนต้มเหล้า Dorjenดูเหมือนจะเชื่อคุณมากขณะนี้ จงฟังสิ่งที่เขาพูด
QUEST_LV_0200_20150317_002453	Defeat the monsters who ruined Dorjen's brewery	ปราบเหล่ามอนสเตอร์ซึ่งทำลายโรงเหล้าของ Dorjen
QUEST_LV_0200_20150317_002454	"Brewer Dorjen told you that if you could defeat the monsters that ruined his brewery, his anger may subside. Exact revenge on the monsters for Dorjen."	คนต้มเหล้า Dorjen บอกคุณว่าหากคุณสามารถปราบมอนสเตอร์ที่ทำลายโรงเหล้าของเขาได้ ความโกรธของเขาอาจจะบรรเทาลง แก้แค้นเหล้ามอนสเตอร์เพื่อ Dorjen
QUEST_LV_0200_20150317_002455	You've defeated the monsters as requested by Dorjen. Let Dorjen know about it.	คุณได้ทำการปราบมอนสเตอร์เหล่านั้นดังที่ Dorjen ร้องขอสำเร็จ แจ้งให้ Dorjen ทราบเกี่ยวกับมัน
QUEST_LV_0200_20150317_002456	Defeat Chupalukas who ruined the brewery business	ปราบ Chupalukas ที่ซึ่งทำลายการค้าเหล้า
QUEST_LV_0200_20150317_002457	Check the beehives at Rododun Apiary	ตรวจสอบรังผึ้งที่สถานที่เลี้ยงผึ้ง Rododun
QUEST_LV_0200_20150317_002458	Check the beehives at Rododun Apiary	ตรวจสอบรังผึ้งที่สถานที่เลี้ยงผึ้ง Rododun
QUEST_LV_0200_20150317_002459	Defeat Sparnas	ปราบ Sparnas
QUEST_LV_0200_20150317_002460	Defeat the Sparnas that occupied the Rododun Apiary	ปราบ Sparnas ที่ครอบครองสถานที่เลี้ยงผึ้ง Rododun
QUEST_LV_0200_20150317_002461	Check the mead storage boxes	ตรวจสอบกล่องเก็บเหล้า
QUEST_LV_0200_20150317_002462	You can smell some sweet fragrance from somewhere. Check the boxes with sweet fragrance.	คุณสามารถได้กลิ่นหอมหวานจากที่ไหนสักแห่ง ตรวจสอบกล่องที่มีกลิ่นหอมหวาน
QUEST_LV_0200_20150317_002463	It seems that a Biteregina came after the smell of honey. Defeat Biteregina.	ดูเหมือน Biteregina จะมาหลังจากที่ได้กลิ่นน้ำผึ้ง จงปราบ Biteregina
QUEST_LV_0200_20150317_002464	Talk to Kirina	พูดคุยกับ Kirina
QUEST_LV_0200_20150317_002465	Kirina seems to be afraid of something. Ask her what happened.	พูดคุยกับ Kirina  ดูเหมือนว่าจะกลัวอะไรบางอย่าง ถามเธอเกี่ยวกับสิ่งที่เกิดขึ้น
QUEST_LV_0200_20150317_002466	"Kirina is worried about the way back to the village. To make her comfortable, defeat the monsters nearby."	Kirina เป็นห่วงเกี่ยวกับทางกลับไปยังหมู่บ้าน ปราบเหล่ามอนสเตอร์บริเวณใกล้เคียงเพื่อให้เธอสะดวกขึ้น
QUEST_LV_0200_20150317_002467	You've defeated enough monsters nearby. Return to Kirina and soothe her.	คุณได้ทำการปราบเหล่ามอนสเตอร์บริเวณใกล้เคียงสำเร็จแล้ว จงกลับไปหา Kirinaและทำให้เธอสงบลง
QUEST_LV_0200_20150317_002468	Talk with Cleopas	พูดคุยกับ Cleopas
QUEST_LV_0200_20150317_002469	Cleopas seems to have some troubles. Listen to what happened to her.	Cleopas ดูเหมือนว่าจะมีปัญหาบางอย่าง จงฟังสิ่งที่เกิดขึ้นกับเธอ
QUEST_LV_0200_20150317_002470	Talk with Micolas	พูดคุยกับ Micolas
QUEST_LV_0200_20150317_002471	Talk with Micolas on behalf of Cleopas.	พูดคุยกับ Micolas  ในนามของ Cleopas
QUEST_LV_0200_20150317_002472	You heard why Micolas is angry. Tell Cleopas about it.	คุณเคยได้ยินว่าทำไม Micolas จึงโกรธ บอก Cleopas  เกี่ยวกับเรื่องนี้
QUEST_LV_0200_20150317_002473	Check with Cleopas whether she remembers something.	ตรวจสอบกับ Cleopas ว่าเธอจำบางสิ่งบางอย่างได้หรือไม่
QUEST_LV_0200_20150317_002474	Obtain the brewery device from Elite Chupalukas	ได้รับอุปกรณ์โรงเหล้าจาก Elite Chupalukas
QUEST_LV_0200_20150317_002475	Cleopas once saw the Elite Chupalukas licking the device recklessly. Check with the Elite Chuparuka whether it has the brewery device.	Cleopas เคยเห็น Elite Chupalukas เลียอุปกรณ์ ตรวจสอบกับ Elite Chuparuk ว่ามันมีอุปกรณ์โรงเหล้าหรือไม่
QUEST_LV_0200_20150317_002476	Hand the brewery device to Micolas	ส่งมอบอุปกรณ์โรงเหล้าให้กับ Micolas
QUEST_LV_0200_20150317_002477	Elite Chuparuka has the brewery device. Hand it over to Micolas.	Elite Chuparuka มีอุปกรณ์โรงเหล้า ส่งมอบมันให้กับ Micolas
QUEST_LV_0200_20150317_002478	Obtain %s by killing large Chupa Luca	ได้รับ %s โดยการสังหาร Chupa Luca ขนาดใหญ่
QUEST_LV_0200_20150317_002479	Micolas has a favor to ask of you. Listen to his story.	Micolas ต้องการความช่วยเหลือจากคุณ จงฟังเรื่องราวของเขา
QUEST_LV_0200_20150317_002480	Obtain Royal Jellies by defeating the monsters	ได้รับ Royal Jellies โดยการปราบเหล่ามอนสเตอร์
QUEST_LV_0200_20150317_002481	Micolas wants to give Royal Jellies to Cleopas as a way to apologize. Obtain Royal Jellies by defeating the monsters nearby.	Micolas ต้องการมอบ Royal Jellies ให้กับ Cleopas แทนคำขอโทษ ได้รับ Royal Jellies โดยการปราบเหล่ามอนสเตอร์บริเวณใกล้เคียง
QUEST_LV_0200_20150317_002482	Hand over the Royal Jellies to Cleopas	ส่งมอบ Royal Jellies ให้กับ Cleopas
QUEST_LV_0200_20150317_002483	Acquired all Royal Jellies. Hand them over to Cleopas.	คุณได้รับ Royal Jellies ทั้งหมดแล้ว ส่งมอบมันให้กับ Cleopas
QUEST_LV_0200_20150317_002484	Collect %s from monsters	รวบรวม%s จากเหล่ามอนสเตอร์
QUEST_LV_0200_20150317_002485	Talk to Maras	พูดคุยกับ Maras
QUEST_LV_0200_20150317_002486	Talk to Maras who is investigating at Three Brooks Wood	พูดคุยกับ Maras ผู้ซึ่งกำลังทำการตรวจสอบที่ Three Brooks Wood
QUEST_LV_0200_20150317_002487	Check the Sweet-smelling Beehives	ตรวจสอบรังผึ้งที่ส่งกลิ่นหอมหวาน
QUEST_LV_0200_20150317_002488	Maras wants you to check whether the monsters are going after honey or not. Obtain pieces of honey that would lure the monsters.	Maras ต้องการให้คุณทำการตรวจสอบเหล่ามอนสเตอร์กำลังจะไปที่ใดหลังจากได้รับน้ำผึ้ง ได้รับชิ้นส่วนน้ำผึ้งที่ใช้ในการล่อเหล่ามอนสเตอร์
QUEST_LV_0200_20150317_002489	You have obtained a piece of sweet honeycomb. Ask Maras what to do next.	คุณได้รับชิ้นส่วนรังผึ้ง สอบถาม Maras เกี่ยวกับสิ่งที่ต้องทำต่อไป
QUEST_LV_0200_20150317_002490	Obtain %s from beehives	ได้รับ %s จากรังผึ้ง
QUEST_LV_0200_20150317_002491	Ask how Maras will use the fragments of sweet honeycomb	สอบถาม Maras ถึงวิธีที่จะใช้ชิ้นส่วนของรังผึ้ง
QUEST_LV_0200_20150317_002492	Defeat the monsters who smelled the sweet fragrance	จงปราบมนอสเตอร์ซึ่งได้กลิ่นหอมหวาน
QUEST_LV_0200_20150317_002493	Maras suspects that the monsters are lured by the honey so he told you to check their reaction to the fragments of sweet honeycomb.	Maras สงสัยว่ามอนสเตอร์จะถูกล่อด้วยน้ำผึ้งดังนั้นเขาบอกให้คุณทำการตรวจสอบปฎิกิริยาของพวกมันต่อชิ้นส่วนรังผึ้ง
QUEST_LV_0200_20150317_002494	"The monsters did not show any peculiar response, even after smelling the fragments of sweet honeycomb. Tell Maras about this."	มอนสเตอร์ที่ไม่ได้แสดงการตอบสนองที่ใดๆแม้ได้รับกลิ่นชิ้นส่วนของรังผึ้งก็ตาม จงบอก Maras เกี่ยวกับเรื่องนี้
QUEST_LV_0200_20150317_002495	It seems that what the monsters were going after was not honey. Ask him whether he has a different idea.	ดูเหมือนว่ามอนสเตอร์กำลังไปหลังจากไม่ได้รับน้ำผึ้ง สอบถามเขาว่าเขามีความคิดที่แตกต่างกันหรือไม่
QUEST_LV_0200_20150317_002496	Check Bichiu Altar	ตรวจสอบแท่นบูชา Bichiu
QUEST_LV_0200_20150317_002497	"If they are not going after the honey, then there is only one possible culprit. Check the Bichiu altar where monsters often go."	ถ้าคุณไม่ได้ตั้งใจให้น้ำผึ้ง มีเพียงสิ่งเดียวที่คุณสงสัย ไปตรวจสอบแท่นบูชา Bichiu ที่มอนสเตอร์เหล่านั้นไปปล่อยๆ
QUEST_LV_0200_20150317_002498	Hand over the magic piece to Maras	ส่งมอบชิ้นเวทมนตร์กับ Maras
QUEST_LV_0200_20150317_002499	It seems that the monsters were lured to the magic piece at Bichiu Altar. Hand over the magic piece to Maras.	ดูเหมือนว่ามอนสเตอร์เหล่านั้นจะถูกล่อด้วยชิ้นเวทมนตร์ที่แท่นบูชา Bichiu ส่งมอบมันให้กับ Maras
QUEST_LV_0200_20150317_002500	Ask about the piece that was discovered at Bichiu Altar.	สอบถามเกี่ยวกับชิ้นส่วนที่ถูกค้นพบใน แท่นบูชา Bichiu
QUEST_LV_0200_20150317_002501	Check the Gaudezi Altar	ตรวจสอบแท่นบูชา Gaudezi
QUEST_LV_0200_20150317_002502	"Maras told you that she doesn't know this piece is, but there is one more altar like this up there so check the Gaudezi Altar."	Maras ไม่แน่ใจว่าชิ้นนี้คืออะไร แต่เขามีแท่นบูชามากกว่าหนึ่งแท่นดังนั้นทำการตรวจสอบแท่นบูชา Gaudezi
QUEST_LV_0200_20150317_002503	Talk to Lamar near Wood Watch Tower	พูดคุยกับ Lamar ที่อยู่ใกล้กับ Wood Watch Tower
QUEST_LV_0200_20150317_002504	You found the piece with the same shape at the Gaudezi Altar. Go to Lamar as Maras told you.	คุณพบชิ้นส่วนที่มีรูปร่างเหมือนกับที่แท่นบูชา Gaudezi จงไปหาLamarดังที่Marasได้บอกคุณ
QUEST_LV_0200_20150317_002505	Talk with Lamar	พูดคุยกับ Lamar
QUEST_LV_0200_20150317_002506	Talk with Lamar about the magic fragment at Gaudeji Altar.	พูดคุยกับ Lamar เกี่ยวกับชิ้นส่วนเวทมนตร์ที่แท่นบูชา Gaudeji
QUEST_LV_0200_20150317_002507	Talk with Raeli	พูดคุยกับ Raeli
QUEST_LV_0200_20150317_002508	The Priest Raeli told you to come to Swaying Arable Land and left. Follow her to Swaying Arable Land.	Priest Raeli บอกคุณให้มาที่พื้นที่ที่สามารถเพาะปลูกได้ และปล่อยทิ้งไว้ จงติดตามเธอไปที่พื้นที่ที่สามารถเพาะปลูกได้
QUEST_LV_0200_20150317_002509	Check the altar of Three Brooks Wood at the north	ตรวจสอบแท่นบูชาของThree Brooks Woodที่ตอนเหนือ
QUEST_LV_0200_20150317_002510	Check the altar of Three Brooks Wood at the north	ตรวจสอบแท่นบูชาของThree Brooks Woodที่ตอนเหนือ
QUEST_LV_0200_20150317_002511	Destroy Cyclops at the altar of Three Brooks Wood	ทำลาย Cyclop ที่แท่นบูชาThree Brooks Wood
QUEST_LV_0200_20150317_002512	Destroy Cyclops at the altar of Three Brooks Wood	ทำลาย Cyclop ที่แท่นบูชาThree Brooks Wood
QUEST_LV_0200_20150317_002513	Talk to Riesz	พูดคุยกับ Riesz
QUEST_LV_0200_20150317_002514	Riesz seems to have lost something and doesn't know what to do. Ask him what is he looking for.	Riesz  ดูเหมือนสูญเสียบางสิ่งบางอย่างไปและไม่รู้ว่าควรทำอย่างไร สอบถามเขาเกี่ยวกับสิ่งที่เขามองหา
QUEST_LV_0200_20150317_002515	Find the bag of farming tools at Shirsie Sunny Place	พบกระเป๋าเครื่องมือการเกษตรที่สถานที่ Shirsie Sunny
QUEST_LV_0200_20150317_002516	"Riesz encountered a Honeypin at Shirsie Sunny Place, so he ran away without his bag of farming tools. Retrieve his farming tools."	Riesz เผชิญหน้ากับ Honeypin ที่สถานที่ Shirsie Sunny ดังนั้นเขาหลบหนีโดยปราศจากกระเป๋าเครื่องมือการเกษตรของเขา จงนำกระเป๋าเครื่องมือการเกษตรกลับคืนมาให้เขา
QUEST_LV_0200_20150317_002517	Hand over the farming tools to Riesz	ส่งมอบกระเป๋าเครื่องมือการเกษตรกับ Riesz
QUEST_LV_0200_20150317_002518	You found the bag of farming tools. Give it back to Riesz.	คุณพบกระเป๋าเครื่องมือการเกษตร ส่งมอบมันให้กับ Riesz
QUEST_LV_0200_20150317_002519	Search for %s at Shirsie Sunny Place	ค้นหาสำหรับ %s ที่สถานที่ Shirsie Sunny
QUEST_LV_0200_20150317_002520	Defeat Honeypin	ปราบ Honeypin
QUEST_LV_0200_20150317_002521	Talk with Valda	พูดคุยกับ Valda
QUEST_LV_0200_20150317_002522	Valda has something to ask you. Listen to him.	Valda มีบางสิ่งที่ต้องการขอร้องคุณ จงฟังเขา
QUEST_LV_0200_20150317_002523	Collect the pieces of honeycomb	รวบรวมชิ้นส่วนของรังผึ้ง
QUEST_LV_0200_20150317_002524	"Maras asked Valda to collect the pieces of honeycomb, but the nearby monsters scare him from going. Collect the pieces of honeycomb at Saldus Bee Farm on behalf of Valda."	Maras ถาม Valda ในการเก็บรวบรวมชิ้นส่วนของรังผึ้ง แต่มอนสเตอร์ที่อยู่บริเวณใกล้เคียงทำให้เขาตกใจกลัวจากไป รวบรวมชิ้นส่วนของรังผึ้งที่ฟาร์มผึ้ง Saldus ในนามของ Valda
QUEST_LV_0200_20150317_002525	You've collected all pieces of honeycomb. Hand them over to Valda.	คุณได้ทำการรวบผรวมชิ้นส่วนทั้งหมดของรังผึ้งสำเร็จแล้ว ส่งมอบมันให้กับ Valda
QUEST_LV_0200_20150317_002526	Collect %s at the Saldus Bee Farm	รวบรวม %s ที่ฟาร์มผึ้ง Saldus
QUEST_LV_0200_20150317_002527	Riesz seems to have a problem. Find out what happened.	Riesz ดูเหมือนว่าจะมีปัญหา จงค้นหาว่าเกิดอะไรขึ้น
QUEST_LV_0200_20150317_002528	Sow seeds at Radanza Farm	หว่านเมล็ดพันธุ์ที่ฟาร์ม Radanza
QUEST_LV_0200_20150317_002529	"Riesz should be sowing seeds at the fields near the village, but he is scared of the monsters. Sow seeds at his farm for him."	Riesz ควรจะหว่านเมล็ดพันธุ์ที่ทุ่งนาใกล้หมู่บ้านแต่เขาหวาดกลัวเหล่ามอนสเตอร์ จงหว่านเมล็ดพันธุ์ที่ฟาร์มของเขาเพื่อเขาที
QUEST_LV_0200_20150317_002530	You've sowed all the seeds. Return to Riesz and let him know.	คุณได้หว่านเมล็ดพันธุ์ทั้งหมดสำเร็จ จงกลับไปหาRiesz และแจ้งให้เขาทราบ
QUEST_LV_0200_20150317_002531	Talk with Priest Raeli	พูดคุยกับ Priest Raeli
QUEST_LV_0200_20150317_002532	Priest Raeli seems to be quite angry. Meet Priest Raeli.	Priest Raeli ดูเหมือนจะค่อนข้างโกรธ ไปพบ Priest Raeli
QUEST_LV_0200_20150317_002533	Collect Bee Tree Branches	รวบรวม Bee Tree Branches
QUEST_LV_0200_20150317_002534	"To quell a possible insurgency of the villagers, Priest Raeli requested you obtain branches of bee trees. Collect the branches of bee trees near the village."	นักบวช Raeli ขอให้คุณนำกิ่งของ bee treeมาเพื่อระงับการประท้วงของชาวบ้าน รวบรวมกิ่งของ bee treeใกล้ๆหมูบ้าน
QUEST_LV_0200_20150317_002535	You've collected enough branches. Return to Priest Raeli.	คุณได้ทำการรวบรวมกิ่งสำเร็จแล้ว จงกลับไปหา Priest Raeli
QUEST_LV_0200_20150317_002536	Obtain %s using the branches	ได้รับ %s โดยใช้กิ่งไม้
QUEST_LV_0200_20150317_002537	It seems that Priest Raeli has something to say. Meet Priest Raeli.	ดูเหมือนนักบวช Raeli มีบางสิ่งที่พูด จงไปพบ Priest Raeli
QUEST_LV_0200_20150317_002538	Activate the Guardian Stone	เปิดใช้งานหินคุ้มกัน
QUEST_LV_0200_20150317_002539	Priest Raeli told you that more demons are incoming. Activate the Guardian Stone and stop the demons.	Priest Raeli บอกคุณว่าปีศาจมากมายกำลังจะมา จงเปิดใช้งานหินคุ้มกันและหยุดเหล่าปีศาจซะ
QUEST_LV_0200_20150317_002540	Stopped the monster attack. Return to Priest Raeli.	หยุดการโจมตีของมอนสเตอร์สำเร็จ จงกลับไปหา Priest Raeli
QUEST_LV_0200_20150317_002541	Ask Priest Raeli what to do with the branches.	สอบถาม Priest Raeli ว่าจะทำอะไรกับกิ่งไม้
QUEST_LV_0200_20150317_002542	Defeat the demons with the branches and collect the ashes of the demons	ปราบเหล่าปีศจด้วยกิ่งไม้และรวบรวมขี้เถ้าของปีศาจ
QUEST_LV_0200_20150317_002543	"Priest Raeli told you to use the branches to burn demons when their HP is below half, using the power of the Goddess Austeja, so you can get ashes from the demons."	Priest Raeli บอกให้คุณใช้กิ่งไม้ในการเผาปีศาจเหล่านั้นเมื่อHP ของพวกมันต่ำกว่าครึ่ง จงใช้อำนาจของเทพธิดา Austeja เพื่อให้คุณสามารถได้รับขี้เถ้าจากปีศาจ
QUEST_LV_0200_20150317_002544	You've collected the ashes of the demons. Talk to Priest Raeli.	คุณได้ทำการรวบรวมขี้เถ้าจากเหลาปีศาจสำเร็จ พูดคุยกับ Priest Raeli
QUEST_LV_0200_20150317_002545	คุณได้ทำการรวบรวมขี้เถ้าจากเหลาปีศาจสำเร็จ พูดคุยกับ Priest Raeli	Priest Raeli ทำลูกแก้วโดยใช้ขี้เถ้าของปีศาจ สอบถามเขาเกี่ยวกับสิ่งที่ต้องทำลูกแก้ว
QUEST_LV_0200_20150317_002546	Recharge the orb made of ash with holy energy	เพิ่มพลังลูกแก้วที่ทำจากขี้เถ้าด้วยพลังบริสุทธิ์
QUEST_LV_0200_20150317_002547	The land where the Goddess Austeja used to control is full of holy magic energies. Go to Palama cliffs and recharge the marble of ashes with the energies.	ดินแดนที่เทพธิดา Austeja ใช้ในการควบคุมเต็มไปด้วยพลังเวทมนตร์ศักดิ์สิทธิ์ จงไปที่หน้าผา Palama และเติมลูกแก้วขี้เถ้าด้วยพลังงาน
QUEST_LV_0200_20150317_002548	You've filled the orb made of ash with holy energy. Return to Priest Raeli.	คุณได้ทำการเติมพลังลูกแก้วขี้เถ้าด้วยพลังบริสุทธิ์สำเร็จแล้ว จงกลับไปหา Priest Raeli
QUEST_LV_0200_20150317_002549	The orb made of ash has gathered enough holy energy. Ask Priest Raeli what to do next with this.	ลูกแก้วที่ทำจากขี้เถ้าได้ทำการรวบรวมพลังงานบริสุทธิ์สำเร็จแล้ว สอบถาม Priest Raeli ว่าจะทำอย่างไรต่อไปกับเรื่องนี้
QUEST_LV_0200_20150317_002550	Restore the weakened seal tower	ซ่อมแซมหอคอยปิดผนึกที่อ่อนกำลัง
QUEST_LV_0200_20150317_002551	"Restore the weakened seal tower at Stulr Road. Demons may be there to break the seal, so you should hurry."	ซ่อมแซมหอคอยที่ปิดผนึกอ่อนกำลังที่ถนน Stulr  ปีศาจอาจจะมีการทำลายผนึกดังนั้นคุณควรเร่งซ่อมแซมซะ
QUEST_LV_0200_20150317_002552	Talk to Goddess Austeja	พูดคุยกับเทพธิดา Austeja
QUEST_LV_0200_20150317_002553	"As you restored the seal tower, Goddess Austeja has appeared. Listen to Goddess Austeja's story"	เทพธิดา Austeja ปรากฎตัวในขณะที่คุณซ่อมแซมหอคอยปิดผนึก จงฟังเรื่องราวของเทพธิดา Austeja
QUEST_LV_0200_20150317_002554	Listen to Goddess Austeja's story	จงฟังเรื่องราวของเทพธิดา Austeja
QUEST_LV_0200_20150317_002555	Goddess Austeja told you that the everything that is occurring at the apiary is the act of the demons that are trying to release the seal that is placed upon the Demon Lord.	เทพธิดา Austeja บอกคุณว่าทุกอย่างที่เกิดขึ้นในที่เลี้ยงผึ้งคือการกระทำของปีศาจที่กำลังพยายามที่จะปลดปล่อยผนึกที่เหนือลอร์ดปีศาจ
QUEST_LV_0200_20150317_002556	Priest Raeli is worrying about something. Ask her what to do.	นักบวช Raeli กำลังกังวลกับบางสิ่งบางอย่าง สอบถามเธอเกี่ยวกับสิ่งที่ต้องทำ
QUEST_LV_0200_20150317_002557	Check the large mutant plant	ตรวจสอบพืชกลายพันธุ์ขนาดใหญ่
QUEST_LV_0200_20150317_002558	The large plant looks somewhat dangerous. Inspect it.	พืชขนาดใหญ่ดูเหมือนค่อนข้างจะอันตราย จงตรวจสอบพวกมัน
QUEST_LV_0200_20150317_002559	The large mutant plant was a Kurmis. Report about it to Priest Raeli.	พืชกลายพันธุ์ที่มีขนาดใหญ่เป็น Kurmis รายงานเรื่องนี้กับ Priest Raeli
QUEST_LV_0200_20150317_002560	Check the weakened Seal Tower	ตรวจสอบหอคอยปิดผนึกที่อ่อนกำลัง
QUEST_LV_0200_20150317_002561	Check the Seal Tower that was weakened by demon attacks	ตรวจสอบหอคอยปิดผนึกที่อ่อนกำลังจากการถูกมอนสเตอร์โจมตี
QUEST_LV_0200_20150317_002562	Defeat Demon Lord Tautrimas	ปราบลอร์ดปีศาจ Tautrimas
QUEST_LV_0200_20150317_002563	The Demon Lord Tautrimas appeared to go after the weakened sealed tower. Defeat Demon Lord Tautrimas.	ลอร์ดปีศาจ Tautrimas ได้ปรากฎตัวหลังจากที่หอคอยปิดผนึกอ่อนกำลังลง จงปราบลอร์ดปีศาจ Tautrimas
QUEST_LV_0200_20150317_002564	Talk with Greedy Druva	พูดคุยกับ Druva ซึ่งเห็นแก่ตัว
QUEST_LV_0200_20150317_002565	Greedy Druva is looking for someone who can help him out. Talk with Greedy Druva.	Druva ซึ่งเห็นแก่ตัวกำลังมองหาใครบางคนที่สามารถช่วยเขาออก พูดคุยกับDruva ซึ่งเห็นแก่ตัว
QUEST_LV_0200_20150317_002566	Collect Oak Wood Planks	รวบรวมไม้กระดาน Oak Wood
QUEST_LV_0200_20150317_002567	Greedy Druva wants to put the scarecrow that would drive out the monsters. Collect the oak stems that will be the materials to make the scarecrow.	Druva ซึ่งเห็นแก่ตัวต้องการที่จะวางหุ่นไล่กาเพื่อขับไล่มอนสเตอร์เหล่านั้นให้ออกไป จงรวบรวมลำต้นของต้นโอ๊คที่จะใช้เป็นวัสดุในการทำหุ่นไล่กา
QUEST_LV_0200_20150317_002568	You've collected all the oak stems. Return to Greedy Druva.	คุณได้ทำการรวบรวมลำต้นต้นโอ๊คสำเร็จแล้ว จงกลับไปหาDruva
QUEST_LV_0200_20150317_002569	Collect %s near the village	รวบรวม%s ใกล้หมู่บ้าน
QUEST_LV_0200_20150317_002570	You've brought the oak stems as requested by Greedy Druva. Listen to the next story.	คุณได้นำลำต้นต้นโอ๊คดังที่Druvaร้องขอสำเร็จ จงฟังฟังเรื่องราวต่อไป
QUEST_LV_0200_20150317_002571	Place the scarecrow with the charm attached	างหุ่นไล่กาด้วยการร่ายเวทมตร์
QUEST_LV_0200_20150317_002572	Set up scarecrows with amulets on it in Druva's farm and observe the monsters' reactions. The farm is located on the left of Arkllui Crossroads.	ติดตั้งหุ่นไล่กาด้วยเครื่องรางบนมันในฟาร์มของDruvaและสังเกตปฏิกิริยาของมอนสเตอร์  ฟาร์มตั้งอยู่ทางซ้ายของทางแยก Arkllui
QUEST_LV_0200_20150317_002573	Talk to Ruined Bee Farmer Logen	พูดคุยกับเจ้าของฟาร์มผึ้งที่ถูกทำลาย Logen
QUEST_LV_0200_20150317_002574	It seems like Logen is in a bad mood. Ask him what's wrong.	ดูเหมือนว่า Logen จะอยู่ในอารมณ์ที่ไม่ค่อยดี สอบถามเขาเกี่ยวกับสิ่งที่ผิดปกติ
QUEST_LV_0200_20150317_002575	Bee Farmer Logen says his bee farm had to close down because of the monsters. Enact revenge against the monsters for Logen's sake.	เจ้าของฟาร์มผึ้งที่ถูกทำลาย Logen กล่าวว่าฟาร์มผึ้งของเขาต้องปิดตัวลงเพราะมอนสเตอร์เหล่านั้น ช่วยทำการแก้แค้นเหล่ามอนสเตอร์เพื่อประโยชน์ของ Logen
QUEST_LV_0200_20150317_002576	Defeated the monsters as Logen requested. Return to Logen.	จงปราบมนอสเตอร์ดังที่Logenร้องขอสำเร็จ จงกลับไปหา Logen
QUEST_LV_0200_20150317_002577	Talk to Priest Dazine	พูดคุยกับ Priest Dazine
QUEST_LV_0200_20150317_002578	Go to Priest Dazine in the Spring Light Woods.	จงไปหา Priest Dazineในป่า Spring Light
QUEST_LV_0200_20150317_002579	Collect the Fragmented Symbol of Austeja	รวบรวมชิ้นส่วนสัญลักษณ์ของ Austeja
QUEST_LV_0200_20150317_002580	"You need the Symbol of Austeja to cure the Revelators who are addled by the evil energy. First, collect the fragmented symbols of Austeja."	คุณจำเป็นต้องมีสัญลักษณ์ของ Austeja ในการฟื้นฟูRevelatorที่มึนงงโดยพลังชั่วร้าย จงรวบรวมชิ้นส่วนสัญลักษณ์ของ Austejaก่อน
QUEST_LV_0200_20150317_002581	Retrieve the Fragmented Symbol of Austeja	นำชิ้นส่วนสัญลักษณ์ของ Austeja กลับคืนมา
QUEST_LV_0200_20150317_002582	Restore the symbol at the Austeja Altar	ซ่อมแซมสัญลักษณ์ที่แท่นบูชา Austeja
QUEST_LV_0200_20150317_002583	Restore the fragments of the symbol at the Austeja Altar.	ซ่อมแซมชิ้นส่วนของสัญลักษณ์ที่แท่นบูชา Austeja
QUEST_LV_0200_20150317_002584	Restored the symbol at the Austeja Altar. Give it to Priest Dazine.	ซ่อมแซมสัญลักษณ์ที่แท่นบูชา Austeja สำเร็จ มอบมันให้กับ Priest Dazine
