QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150323_006415	The Paladin Master is at Gele Plateau.{nl}You can get there by riding the cable car.	Paladin Master อยู่ที่ Gele Plateau{nl}คุณจะไปที่นั่นได้ต้องใช้รถราง
QUEST_LV_0100_20150323_006416	This is one of the devices the first Paladin set in preparation for the demon invasion. {nl}Nefritas Cliff is covered with several of these devices.{nl}	นี่คือหนึ่งในอุปกรณ์ทั้งหมดที่ Paladin คนแรกใช้ในการเตรียมต่อสู้กับการรุกรานของปีศาจ{nl}Nefritas Cliff ถูกปกคลุมไปด้วยอุปกรณ์แบบนี้อีกหลายอัน{nl}
QUEST_LV_0100_20150323_006417	"You must find Goddess Saule...{nl}The colorful stream mentioned in the revelation may refer to the upper region of Veja Ravine. {nl}Well then, may the blessings of Goddess be with you."	คุณต้องตามหาเทพธิดา Saule...{nl}ลำธารหลากสีสันต์ที่ถูกกล่าวไว้ในพระคัมภีร์อาจจะกล่าวถึงภูมิภาคที่อยู่ด้านบนของ Veja Ravine ก็เป็นได้ {nl} เอาล่ะ ขอให้เทพธิดาประทานพรให้กับคุณ
QUEST_LV_0100_20150323_006418	This Divine Sphere is a holy weapon that will be used to fight against Gesti in Nefritas Cliff. {nl}It has been handed down since the times of the first Paladin.	Divine Sphere นี้ล่ะคืออาวุธศักดิ์สิทธิ์ที่จะถูกใช้ในการต่อกรกับ Gesti ใน Nefritas Cliff{nl}มันถูกเก็บรักษาไว้หลังจากครั้งที่ Paladin คนแรกเป็นผู้ใช้
QUEST_LV_0100_20150323_006419	Go. the Tenet Church is located in Tenet Garden.{nl}You must prevent the revelation from falling into the hands of Gesti.	ไปยัง Tenet Church ซึ่งถูกตั้งอยู่ใน Tenet Garden{nl}คุณต้องปกป้องพระคัมภีร์ไม่ให้ตกไปอยู่ในมือของ Gesti
QUEST_LV_0100_20150323_006420	Find Gesti. {nl}The Tenet Church is located within the Tenet Garden.	ตามหา Gesti {nl}Tenet Church ตั้งอยู่ภายใน Tenet Garden
QUEST_LV_0100_20150323_006421	"There is a way to stop it but only you can do it. {nl}Please, come to Karsta battlefield in Fedimian outskirt."	ยังมีทางที่จะหยุดมันได้ แต่ต้องเป็นคนเท่านั้นที่จะทำได้{nl} ได้โปรดไปหา Karsta Battlefield ใน Fedimian Outskirt
QUEST_LV_0100_20150323_006422	"You need to use the cable car to go from Srautas Gorge to Gele Plateau. {nl}I heard people used to hang baskets on ropes in the past, and use those to traverse the gorge. {nl}Well the cable car is scary enough for me. "	คุณจำเป็นต้องใช้รถรางในการไปจาก Srautas Gorge ถึง Gele Plateau {nl} ฉันได้ยินว่ามีคนใช้ตระก้าแขวนบนเชือกในสมัยก่อน และใช้วิธีนั้นในการไปมาที่ Gorge {nl} ซึ่งแค่รถรางนี่ก็น่ากลัวพอแล้วสำหรับฉัน
QUEST_LV_0100_20150323_006423	I came to protect this divine land from the demons. {nl}I heard that the Paladin Master is also in Gele Plateau. It must surely be a big problem. {nl}	ฉันมาเพื่อปกป้องดินแดนศักดิ์สิทธิ์นี้จากเหล่าปีศาจทั้งหลาย{nl}ฉันได้ยินว่า Paladin Master อยู่ใน Gele Plateau มันจะต้องเป็นปัญหาใหญ่แน่ๆ {nl}
QUEST_LV_0100_20150323_006424	I'm worried for my brother at Nefritas Cliff. {nl}I hope nothing happens to him.{nl}	ฉันกังวลเกี่ยวกับน้องชายที่อยู่ Nefritas Cliff มากๆ {nl} ฉันหยังว่าจะไม่เกิดอะไรขึ้นกับเขา {nl}
QUEST_LV_0100_20150323_006425	"We'll have to make do with the remaining dolls. {nl}Everyone's lives are at stake at Nefritas Cliff so we can't complain about this, right?"	เราต้องทำตุ๊กตาที่เหลือทั้งหมด{nl}ชีวิตของทุกคนอยู่ในเดิมพันที่ Nefritas Cliff ดังนั้นเรื่องแค่นี้เราจะบ่นไม่ได้ ใช่ไหมล่ะ
QUEST_LV_0100_20150323_006426	"And if you're talking about Rukas Plateau, it's been a while since we pulled out of that place as it {nl}wasn't worthy of research anymore. "	และถ้าคุณกำลังพูดถึง Rukas Plateau ล่ะก็ มันก็สักระยะหนึ่งแล้วที่เราออกมาจากสถานที่นั่น{nl} เพราะมันไม่คุ้มค่าที่จะทำงานวิจัยอีกต่อไป
QUEST_LV_0100_20150323_006427	"Understanding the root of everything becomes the power of Elementalist. {nl}Wind, Water, Fire, Earth. We pull the strongest powers from the simplest forms. "	การเข้าใจถึงจุดเริ่มต้นของทุกสิ่งจะกลายมาเป็นพลังของ Elementalist{nl}ลม น้ำ ไฟ ดิน เราใช้พลังงานที่แข็งแกร่งที่สุดจากสิ่งที่เรียบง่ายที่สุด
QUEST_LV_0100_20150323_006428	Bring the Seal Release Crystal and find Disciple of Gustas in Ramstis Ridge. {nl}He will teach you about the seal.	นำ Seal Release Crystal ไปและตามหาลูกศิษย์ของ Gustas ใน Ramstis Ridge{nl}เขาจะสอนคุณเกี่ยวกับผนึก
QUEST_LV_0100_20150323_006429	"The Netherbovines are becoming violent again? {nl}As long as us Rodeleros are standing ground, no monsters shall pass.{nl}"	Netherbovine กลับกลายมาดุร้ายอีกครั้งงั้นเหรอ {nl} ตราบใดที่พวกเราเหล่า Rodelero ยังยืนอยู่บนผืนดินนี้ จะไม่มีมอนสเตอร์หน้าไหนผ่านไปได้เด็ดขาด{nl}
QUEST_LV_0100_20150323_006430	"I used to live in the woods, but I came out here to do what I can. {nl}I will do anything that I can help with."	ฉันเคยอาศัยอยู่ในป่า แต่ฉันก็ออกมาเพื่อทำอะไรบางอย่างที่ฉันทำได้{nl}ฉันจะทำทุกอย่างเพื่อให้ความช่วยเหลือ
QUEST_LV_0100_20150323_006431	"Physical enhancing magic is a profound and mysterious field. {nl}If you make good use of it, you can easily distinguish friends from foes. "	การใช้เวทมนตร์เพื่อเพิ่มพลังให้กับร่างกายนั้นเป็นศาสตร์อันลึกซึ้งและลึกลับ{nl}ถ้าคุณใช้มันดีๆล่ะก็ คุณจะสามารถแบ่งแยกเพื่อนกับศัตรูได้อย่างง่ายดายเลยล่ะ
QUEST_LV_0100_20150323_006432	"When a seal is released, you must advance to the next seal in Ramstis Ridge."	เมื่อผนึกถูกปลดปล่อยแล้ว คุณต้องไปยังผนึกถัดไปที่ Ramstis Ridge โดยต่อเนื่อง
QUEST_LV_0100_20150323_006433	"Death may be the price that I pay for the sin I committed. {nl}Even if it is the curse of the demons, it is still for a sin I made."	ความตายคงเป็นราคาที่ฉันจ่ายสำหรับบาปที่ฉันได้ก่อมา{nl}ถึงแม้มันจะเป็นคำสาปของเหล่าปีศาจร้าย นั่นมันก็เป็นเพราะบาปที่ฉันก่อไว้อยู่ดี
QUEST_LV_0100_20150323_006434	I don't want to... die like this... {nl}Mother...	ฉันไม่อยาก...ตายแบบนี้...{nl}คุณแม่...
QUEST_LV_0100_20150323_006435	Wait. Aren't those Succubus Eyes? {nl}Wow. How did you get them... Can I take a look?	รอก่อน นั่นมันไม่ใช่ Succubus Eyes งั้นเหรอ{nl}ว้าว คุณได้พวกนั้นมาได้อย่างไรน่ะ...ขอฉันดูหน่อยได้ไหม
QUEST_LV_0100_20150323_006436	"I've heard about those eyes. {nl}A greedy Succubus tried to take one of the Great Cathedral's blessed necklaces, but ended up{nl}putting her own eyes into this one. {nl} "	ฉันได้ยินเรื่องเกี่ยวกับดวงตาเหล่านั้นมา{nl}Succubus จอมตะกละพยายามที่จะเอาหนึ่งในสร้อยคอของ Great Cathedral มา แต่สุดท้าย{nl} กลายเป็นต้องเอาดวงตาของหล่อนใส่ในนี้แทน{nl}
QUEST_LV_0100_20150323_006437	Did you know I used to be an aspiring alchemist? {nl}I can turn that back into a normal necklace. {nl}	คุณรู้หรือไม่ว่าฉันเคยเป็นนักเล่นแร่แปรธาตุที่มีชื่อเสียงนะ{nl}ฉันสามารถเปลี่ยนสร้อยคอนั่นให้กลายเป็นสร้อยคอธรรมดาได้{nl}
QUEST_LV_0100_20150323_006438	Done. {nl}I suppose you know about Maven's five necklaces?{nl}	เรียบร้อย{nl}ฉันควรจะบอกให้คุณรู้เกี่ยวกับสร้อยคอทั้ง 5 ของ Maven{nl}
QUEST_LV_0100_20150323_006439	They were created to remind people of the five sins. {nl}Naktis caused them to look like curses on the Pilgrim's Way.{nl}	พวกมันถูกสร้างขึ้นเพื่อเตือนผู้คนถึงบาปทั้ง 5 {nl}Naktis บันดาลให้พวกมันดูเหมือนคำสาปของ Pilgrim's Way{nl}
QUEST_LV_0100_20150323_006440	"Looks like the necklace belongs to you. {nl}If it wasn't for you, the teachings of Maven would have been left as a curse."	ดูเหมือนสร้อยคอจะเป็นของคุณ{nl}เพราะว่า ถ้ามันไม่ใช่ของคุณแล้วล่ะก็ สร้อยคอนี้ของ Maven จะเหลือเพียงแค่คำสาปหลังจากที่สวมใส่
QUEST_LV_0100_20150323_006441	"To be honest, I'd like go to Kvailas Forest rather than staying here. {nl}I want to see the source of evil with my own two eyes."	ด้วยความสัตย์จริงเลยนะ ฉันอยากไปยัง Kvailas Forest มากกว่าอยู่ที่นี่เสียอีก{nl}ฉันอยากเห็นต้นตอของความชั่วร้ายด้วยสองตาของฉันเอง
QUEST_LV_0100_20150323_006442	"Thank you. The tools are sold by the blacksmith in Klaipeda. {nl}But before that, there are stones in Stele Road that are known for their quality. Please retrieve {nl}some for me. "	ขอบคุณมากนะ เครื่องมือได้ถูกขายโดยช่างตีดาบใน Klaipeda แล้ว {nl} แต่ก่อนหน้านั้น มีหินที่อยู่ใน Stele Road ที่ว่ากันว่ามีคุณภาพที่ดีเยี่ยม ได้โปรดนำมา {nl}ให้ฉันสักนิด
QUEST_LV_0100_20150323_006443	Here you are. Please place this at the entrance of the Royal Mausoleum at Zachariel Crossroads. {nl}This should bring comfort to their souls.	เอานี่ไป ได้โปรดวางมันไว้ที่ทางเข้าของ Royal Mausoleum ที่ Zachariel Crossroad{nl}นี่คงจะพอเยียวยาเหล่าวิญญาณได้บ้าง
QUEST_LV_0100_20150323_006444	Hmm. You're really as good as they say. {nl}Rolandas is waiting for you in Akmens Ridge.	หืมม คุณนี่ดีอย่างที่เขาว่ากันจริงๆ {nl}Rolandas กำลังรอคุณอยู่ใน Akmens Ridge
QUEST_LV_0100_20150323_006445	Please be careful. {nl}A dark energy similar to the voice a while ago is covering the Thorn Forest. {nl}Especially the Kvailas Forest.. I have sharp ears for things like this..	ระวังตัวด้วย {nl}พลังแห่งความมืดค่อนข้างจะมีเสียงที่คล้ายกับกับตอนที่ปกคลุม Thorn Forest{nl}โดยเฉพาะ Kvailas Forest.. ฉันค่อนข้างจะหูดีกับเรื่องพวกนี้
QUEST_LV_0100_20150323_006446	The Necroventer that occupied Kule Peak is gone. {nl}Kule Peak should become peaceful again.	Necroventer ที่ยึดครอง Kule Peak ได้หายไปแล้ว{nl}Kule Peak น่าจะกลับมาสงบสุขอีกครั้งหนึ่ง
QUEST_LV_0100_20150323_006447	This was prepared for releasing the seals in Tiltas Valley. {nl}The sap was collected little by little over centuries. {nl}So please handle it with care.	นี่ได้ถูกเตรียมไว้สำหรับการปลดปล่อยผนึกใน Tiltas Valley{nl}โลหิตที่ถูกรวบรวมไว้ได้เพียงเล็กน้อยซึ่งผ่านมามากกว่าศตวรรษ{nl}ดังนั้นได้โปรดระมัดระวังด้วย
QUEST_LV_0100_20150323_006448	This is it. {nl}Bring the Seal Release Crystal to Ramstis Ridge. {nl}The Disciples of Gustas will welcome you there.	นี่ล่ะ{nl}นำ Seal Release Crystal ไปยัง Ramstis Ridge{nl} ลูกศิษย์ของ Gustas จะคอยต้อนรับคุณที่นั่น
QUEST_LV_0100_20150323_006449	"The day of discovering the true owner of the Great King's inheritance has finally come. {nl}Hurry, meet the Disciples of Gustas in Ramstis Ridge."	ในที่สุดวันที่จะค้นพบว่าใครคือผู้ที่เป็นเจ้าของอย่างแท้จริงมรดกของ Great King ก็มาถึง{nl}รีบหน่อย ไปพับกับลูกศิษย์ของ Gustas ใน Ramstis Ridge ซะ
QUEST_LV_0100_20150323_006450	My teacher is poisoned and cannot breathe. {nl}Please hurry and borrow an antidote from someone in Akmens Ridge.	อาจารย์ของฉันถูกวางยาและไม่สามารถหายใจได้{nl}ได้โปรดรีบไปนำยาต้านทานพิษจากใครสักคนที่ Akmens Ridge มาให้ที
QUEST_LV_0100_20150323_006451	I had no idea it came from Rukas Plateau. {nl}What is he trying to do by releasing the seal? {nl}	ฉันไม่รู้เลยว่ามันมาจาก Rukas Plateau {nl} เขากำลังพยายามจะปลดปล่อยผนึกเพื่ออะไรกันน่ะ {nl}
QUEST_LV_0100_20150323_006452	Follow the road on the right to go to Cobalt Forest. {nl}Our village priest there is waiting for you.	ตามถนนไปทางด้านขวาเพื่อไปยัง Cobalt Forest {nl}นักบวชประจำหมู่บ้านเรากำลังรอคุณอยู่
QUEST_LV_0100_20150323_006453	"When you have all materials ready, combine them at the Ershike Altar."	เมื่อคุณมีวัตถุดิบพร้อมแล้ว ผสมมันที่ Ershike Altar
QUEST_LV_0100_20150323_006454	The evil energy was first felt in Kvailas Forest. {nl}The force was very strong so it will remain this way for a while even if you defeat Bramble.	รู้สึกได้ถึงพลังแห่งความชั่วร้ายครั้งแรกตอนอยู่ใน Kvailas Forest {nl}พลังมันค่อนข้างจะรุนแรงมากและยังจะคงเป็นแบบนี้ไปเรื่อยๆ จนกว่าคุณจะกำจัดเจ้า Bramble ได้
QUEST_LV_0100_20150323_006455	The evil energy of Kvailas Forest is becoming stronger and our followers are becoming weak. {nl}I hope you can help us. {nl}	พลังความชั่วร้ายของ Kvailas Forest นั้นกำลังแข็งแกร่งขึ้นและมันทำให้เหล่าผู้ติดตามของพวกเรานั้นอ่อนแอมากขึ้นเช่นกัน{nl}ฉันหวังว่าคุณจะสามารถช่วยเราได้{nl}
QUEST_LV_0100_20150323_006456	Perhaps the source of evil in Kvailas Forest has become the forest itself? {nl}I only hope this is just an ill-founded worry.	บางทีแหล่งกำเนิดของพลังความชั่วร้ายใน Kvailas Forest อาจจะมาจากในป่าเองหรือเปล่า{nl} ฉันหวังว่าจะแค่คิดไปเองเท่านั้นนะ
QUEST_LV_0100_20150323_006457	Everything will be resolved when the evil energy deep inside Kvailas Forest is dealt with. {nl}It's a pity that everyone is only after what's right in front of them.	ทุกสิ่งจะกระจ่างเมื่อพลังความชั่วร้ายที่อยู่ใน Kvailas Forest นั้นถูกจัดการ {nl}มันน่าเศร้าที่ทุกคนได้เพียงแค่มองมันอยู่ตรงหน้าเท่านั้น
QUEST_LV_0100_20150323_006458	Kvailas Forest is the worst. {nl}The evil energy is unquestionably concentrated that even your lives are at stake.	ตอนนี้ Kvailas Forest ดูท่าจะแย่ที่สุดแล้วล่ะ{nl}พลังความชั่วร้ายมันแพร่ออกมารุนแรงแทบจะหายใจไม่ออกเลยทีเดียว
QUEST_LV_0100_20150323_006459	I miss my family in Cobalt Forest. {nl}And... I want to apologize to my brother for the fight we had.	ฉันคิดถึงครอบครัวของฉันใน Cobalt Forest {nl}และ...ฉันต้องการที่จะขอโทษน้องชายของฉันที่เราทะเลาะกันตอนนั้น
QUEST_LV_0100_20150323_006460	I remember singing and soaking my feet in the stream waters with my older brother in {nl}Cobalt Forest.	ฉันยังจำเสียงร้องฮัมเพลงและความรู้สึกเย็นของเท้าที่จุ่มลงในลำธารตอนที่อยู่กับพี่ชายของฉันใน {nl} Cobalt Forest ได้
QUEST_LV_0100_20150323_006461	"Can you inform the elderly in Vieta Gorge about this for me? {nl}If you veer left and move up from here, you'll quickly arrive there. "	คุณพอจะช่วยไปหาผู้เฒ่าใน Vieta Gorge เพื่อฉันหน่อยได้ไหม{nl}ถ้าคุณออกจากนี่แล้วตามทางไปด้านบน คุณจะไปถึงที่นั่นอย่างรวดเร็วเลย
QUEST_LV_0100_20150323_006462	The most important root must be somewhere in Kvailas Forest. {nl}Cutting off the head root should reduce the evil energy in this forest.	รากที่สำคัญที่สุดน่าจะอยู่ที่ไหนสักแห่งใน Kvailas Forest{nl}หากตัดรากที่เป็นรากที่สำคัญออกไปน่าจะช่วยลดพลังความชั่วร้ายในป่าได้
QUEST_LV_0100_20150323_006463	I knew it was Ebonypawn's poison. {nl}No one else would use a poison this strong.	ฉันรู้ว่ามันคือพิษของ Evoniphon {nl} ไม่มีใครใช้พิษได้เก่งเท่านี้แล้ว
QUEST_LV_0100_20150323_006464	Don't worry. I'll give you the recipe. {nl}Ridimed leaves from there will be enough to make it.	อย่ากังวลไปเลย เดี๋ยวฉันจะให้สูตรกับคุณ{nl}ถ้าคุณสามารถช่วยไล่ Ridimed ออกจากที่นี่ได้ล่ะก็นะ
QUEST_LV_0100_20150323_006465	Is the antidote ready yet? {nl}The situation's grave. He's gradually getting worse.	ยาแก้พิษพร้อมหรือยัง {nl} สถานการณ์ตอนนี้ไม่สู้ดีมากนัก เขากำลังแย่ขึ้นเรื่อยๆ แล้ว
QUEST_LV_0100_20150323_006466	Ebonypawn sure employed a vicious poison. {nl}We need to hunt him down before he causes more damage...	นี่ต้องเป็นพิษที่ถูกโจมตีจาก Evoniphon แน่นอนเลยล่ะ {nl} เราจำเป็นต้องจัดการเขาก่อนที่จะสร้างความเสียหายมากกว่านี้...
QUEST_LV_0100_20150323_006467	"Oh, is this the antidote? {nl}Thank you very much. I will let them take it right away. {nl}"	โอ้ว นี่มันยาแก้พิษไม่ใช่เหรอ {nl} ขอบคุณมากๆ เลยนะ ฉันจะเอาให้เขาเดี๋ยวนี้ล่ะ{nl}
QUEST_LV_0100_20150323_006468	"If it wasn't for you, many workers would have lost their lives for nothing. {nl}I will report about this to Sir Uska. {nl}No doubt about it... you were sent by the goddess!{nl}"	ถ้าไม่ได้คุณล่ะก็ คนทำงานมากมายคงต้องสูญเสียชีวิตไปโดยเปล่าประโยชน์{nl}ฉันจะรายงานเรื่องนี้ไปยัง Sir Uska {nl}ไม่ต้องเดาเลย...คุณต้องเป็นคนที่เทพธิดาส่งมาแน่ๆ ! {nl}
QUEST_LV_0100_20150323_006469	The monsters in the Owl Burial Ground should be a fair bet for you. Right?	คุณน่าจะพอจัดการกับพวกมอนสเตอร์ที่อยู่ใน Owl Burial Ground ได้ใช่ไหม
QUEST_LV_0100_20150323_006470	The Chaparition in Escanciu Village took a lot of lives. {nl}Please defeat that monster in the name of the Goddess.	Chaparition ใน Escanciu Village ได้พรากชีวิตไปมากมาย{nl}ได้โปรดกำจัดมอนสเตอร์แทนเหล่าเทพธิดาด้วยเถอะ
QUEST_LV_0100_20150323_006471	I'm sorry but can you burn this oration in front of the epitaph in Rukas Plateau? {nl}You have explored different areas of the valley. {nl}I think you are more than qualified to comfort their souls.	โทษทีนะ แต่คุณช่วยเผาคำปราศัยนี้ต่อหน้าคำจารึกบนหลุมที่ Rukas Plateau ได้ไหม{nl}เพราะคุณเป็นผู้ที่ตะเวนมาแล้วหลากหลายที่{nl}ฉันเลยคิดว่าคุณคือผู้ที่เหมาะสมที่สุดในการปลอบโยนเหล่าวิญญาณ
QUEST_LV_0100_20150323_006472	Try and perform a killing spree of the monsters in the Owl Burial Ground. {nl}Around 40 of them? I bet you can't do it.	ลองกำจัดเหล่ามอนสเตอร์ใน Owl Burial Ground ดูสิ{nl} น่าจะมีสัก 40 ตัวได้มั้ง พนันเลยว่าคุณทำไม่ได้หรอก
QUEST_LV_0100_20150323_006473	I'll go to Ramstis Ridge and release the seals	ฉันจะไปยัง Ramstis Ridge และปลดปล่อยผนึก
QUEST_LV_0100_20150323_006474	Let's go help Grita at Fedimian Suburbs	ไปช่วย Grita ที่ Fedimian Suburbs กันเถอะ
QUEST_LV_0100_20150323_006475	Breaking Seal/MAKING/20/TRACK_BEFORE/None/F_smoke011_blue/2.5/BOT	ทำลายผนึก/MAKING/20/TRACK_BEFORE/None/F_smoke011_blue/2.5/BOT
QUEST_LV_0100_20150323_006476	About the barriers in Nefritas Cliff	เกี่ยวกับบาเรียใน Nefritas Cliff
QUEST_LV_0100_20150323_006477	Owl Burial Ground Test	บททดสอบ Owl Burial Ground
QUEST_LV_0100_20150323_006478	Tyrant of the Srautas Gorge	ผู้ทรยศของ Srautas Gorge
QUEST_LV_0100_20150323_006479	Notice/Find the elderly in Vieta Gorge!#5	Notice/ตามหาผู้เฒ่าใน Vieta Gorge!#5
QUEST_LV_0100_20150323_006480	Curse of Laziness - Soul Attack	คำสาปของความเกียจคร้าน - วิญญาณโจมตี
QUEST_LV_0100_20150323_006481	Notice/!/A piece of paper fell#3	Notice/!/เศษกระดาษที่ร่วงหล่น#3
QUEST_LV_0100_20150323_006482	Notice/Mutated Tree Root Crystal is disappeared!#5	Notice/Mutated Tree Root Crystal หายไปแล้ว!#5
QUEST_LV_0100_20150323_006483	Give the portrait and handkerchief	มอบภาพถ่ายและผ้าเช็ดหน้าให้
QUEST_LV_0100_20150323_006484	It's frightening. Make a run for it!	มันน่ากลัวมาก วิ่งกันเถอะ
QUEST_LV_0100_20150323_006485	Leave your spot	ออกจากจุดนั้น
QUEST_LV_0100_20150323_006486	Notice/Witas is dead??{nl}Make him a grave#5	Notice/Witas ตายแล้วงั้นเหรอ {nl}สร้างหลุมศพให้กับเขาที#5
QUEST_LV_0100_20150323_006487	Show the Succubus Eyes	แสดง Succubus Eye ให้ดู
QUEST_LV_0100_20150323_006488	I can't lose this precious thing so I refuse.	ฉันไม่อยากสูญเสียของรักนี้ไป ฉันขอปฏิเสธ
QUEST_LV_0100_20150323_006489	About the reason of concern	เกี่ยวกับเหตุผลของความกังวล
QUEST_LV_0100_20150323_006490	Kvailas Forest is more urgent	Kvailas Forest นั้นเร่งรีบกว่า
QUEST_LV_0100_20150323_006491	Purify Kvailas Forest (1)	ชำระล้าง Kvailas Forest (1)
QUEST_LV_0100_20150323_006492	Purify Kvailas Forest (2)	ชำระล้าง Kvailas Forest (2)
QUEST_LV_0100_20150323_006493	Notice/Collected all the tree sap.{nl}Go to Ershike Altar and combine the materials!#5	Notice/รวบรวมยางไม้เรียบร้อยแล้ว{nl}ไปยัง Ershike Altar และผสมวัตถุดิบซะ?!#5
QUEST_LV_0100_20150323_006494	Combining materials/FLASK/3/TRACK_BEFORE/None	กำลังผสมวัตถุดิบ/FLASH/3/TRACK_BEFORE/None
QUEST_LV_0100_20150323_006495	Notice/Go to Priest Andale in Cobalt Forest!#5	Notice/ไปหา Andale Village Priestใน Cobalt Forest!#5
QUEST_LV_0100_20150323_006496	Ominous Energy at Ershike Altar	พลังชั่วร้ายที่ Ershike Altar
QUEST_LV_0100_20150323_006497	Taking out things/DRAW/3/TRACK_BEFORE/None	กำลังเอาบางสิ่งออกมา/DRAW/3/TRACK_BEFORE/None
QUEST_LV_0100_20150323_006498	Rolandas Jonas of Akmens Ridge	Rolandas Jonas แห่ง Akmens RIdge
QUEST_LV_0100_20150323_006499	To Kvailas Forest	ไปยัง Kvailas Forest
QUEST_LV_0100_20150323_006500	To Gele Plateau	ไปยัง Gele Plateau
QUEST_LV_0100_20150323_006501	The Suspicious Dagger (3)	มีดลึกลับ (3)
QUEST_LV_0100_20150323_006502	Do you know someone who is familiar with poison?	คุณพอจะรู้จักใครที่มีความรู้เกี่ยวกับพิษบ้างไหม
QUEST_LV_0100_20150323_006503	OK. (Stop the pursuit)	ตกลง(หยุดหว่านล้อม)
QUEST_LV_0100_20150323_006504	Ask about the antidote	ถามเกี่ยวกับยาแก้พิษ
QUEST_LV_0100_20150323_006505	Defeat Gazing Golem	กำจัด Gazing Golem
QUEST_LV_0100_20150323_006506	Collect stones from Stele Road	รวบรวมหินจาก Stele Road
QUEST_LV_0100_20150323_006507	Stonemason Pipoti wants to set up a memorial stone for his colleague and other explorers who lost their lives here. Bring him the stones from Stele Road.	Stonemason Pipoti ต้องการให้ช่วยจัดหินอนุสาวรีย์เพื่อเหล่าเพื่อของเขาและผู้ค้นหาอื่นๆ ที่เสียชีวิตที่นี่ นำหินจาก Stele Road กลับไปให้เขา
QUEST_LV_0100_20150323_006508	Install the Memorial Stone at the entrance of the Royal Mausoleum at Zachariel Crossroads.	ติดตั้งหินอนุสาวรีย์ที่ทางเข้าของ Royal Mausoleum ที่ Zachariel Crossroad
QUEST_LV_0100_20150323_006509	The entrance to the Royal Mausoleum is just the right place to commemorate the lives lost in this area. Install the memorial stone at the Royal Mausoleum entrance in Zachariel Crossroads.	ทางเข้าของ Royal Mausoleum เป็นสถานที่ที่เหมาะสำหรับการไว้อาลัยเหล่าผู้สูญเสียในบริเวณนี้ จัดตั้งหินอนุสาวรีย์ที่ทางเข้าของ Royal Mausoleum ใน Zachariel Crossroad
QUEST_LV_0100_20150323_006510	Pick up and retrieve the purifier tube on the way to district 7.	หยิบเอา Purifier Pipe กลับไปยัง District 7
QUEST_LV_0100_20150323_006511	Arrive at the Miners' Village	ถึงที่ Miners' Village
QUEST_LV_0100_20150323_006512	"You must enter the Crystal Mines but the Miners' Village, where the Crystal Mine is located, in under attack by the Vubbes. Go to the Miners' Village quickly!"	คุณจะต้องเข้าไปยัง Crystal Mine โดยผ่านทาง Miners' Village ซึ่งกำลังถูกโจมตีโดยพวก Vubbe อยู่ ไปยัง Miners' Village ก่อนเร็วเข้า
QUEST_LV_0100_20150323_006513	Treasure Hunter Eden of Stele Road is looking for someone who can deliver stones.	Treasure Hunter Eden แห่ง Stele Road กำลังมองหาใครสักคนที่จะช่วยเขาส่งหินอยู่
QUEST_LV_0100_20150323_006514	Talk to Grita at Fedimian Suburbs	ลองคุยกับ Grita ที่ Fedimian Suburbs
QUEST_LV_0100_20150323_006515	Grita is waiting at the Karsta Hall Site of the Fedimian Suburbs. Talk to Grita.	Grita กำลังรออยู่ที่  Karsta Hall Site ของ Fedimian Suburbs ลองคุยกับ Grita ดู
QUEST_LV_0100_20150323_006516	Came to Karsta Hall Site and Grita is waiting for you. Talk to Grita.	มาถึง Karsta Hall SIte และ Grita กำลังรอคุณอยู่ ลองคุยกับ Grita ดู
QUEST_LV_0100_20150323_006517	Goddess Gabija says you need to strengthen your powers at the Entrance of Kateen Forest. Pass through Tenet Garden and go to the Entrance of Kateen Forest.	เทพธิดา Gabija บอกว่าคุณจำเป้นต้องเพิ่มความแข็งแกร่งที่ทางเข้าของ Kateen Forest โดยสามารถไปยังที่นั่นได้โดยการเดินทางผ่าน Tenet Garden ก็จะถึงยังทางเข้าของ Kateen Forest
QUEST_LV_0100_20150323_006518	Missed Gesti again but got back the revelation safely. Go to the Paladin Master in Nefritas Cliff.	พลาดกับ Gesti อีกแล้วแต่ก็ยังดีที่พระคัมภีร์ยังปลอดภัยดี ไปหา Paladin Master ใน Nefritas Cliff
QUEST_LV_0100_20150323_006519	Watcher Allen is waiting for someone's help at Nefritas Cliff.	Watcher Allen กำลังรอความช่วยเหลือจากใครสักคนที่ Nefritas Cliff
QUEST_LV_0100_20150323_006520	Watcher Kenneth is waiting for someone's help at Nefritas Cliff.	Watcher Kenneth กำลังรอความช่วยเหลือจากใครสักคนที่ Nefritas Cliff
QUEST_LV_0100_20150323_006521	Follower Kayetonas at Nefritas Cliff is looking for someone who can fight with him.	Follower Kayetonas ที่ Nefritas Cliff กำลังมองหาใครสักคนไปช่วยเขาต่อสู้อยู่
QUEST_LV_0100_20150323_006522	The Paladin Master is waiting for you at Uzbaiga Hillside in Nefritas Cliff.	Paladin Master กำลังรอคุณอยู่ที่ Uzbaiga Hillside ใน Nefritas Cliff
QUEST_LV_0100_20150323_006523	The Paladin Master is waiting for your help at Nefritas Cliff.	Paladin Master กำลังรอความช่วยเหลือจากคุณอยู่ที่ Nefritas Cliff
